Phenotype,MAIN_CONDITION
Adrenal tumour,D44.1
all other cancers,C88.0
all other cancers,C88.2
all other cancers,C22.1
all other cancers,C75.1
all other cancers,C75.2
all other cancers,C75.3
all other cancers,C75.4
all other cancers,C75.5
all other cancers,C22.0
all other cancers,C22.2
all other cancers,C22.3
all other cancers,C22.4
all other cancers,C22.7
all other cancers,C22.9
all other cancers,C26.0
all other cancers,C26.1
all other cancers,C26.8
all other cancers,C26.9
all other cancers,C30.0
all other cancers,C30.1
all other cancers,C38.0
all other cancers,C38.1
all other cancers,C38.2
all other cancers,C38.3
all other cancers,C38.4
all other cancers,C38.8
all other cancers,C39.0
all other cancers,C39.8
all other cancers,C39.9
all other cancers,C75.0
all other cancers,C75.8
all other cancers,C75.9
all other cancers,C88.3
all other cancers,C88.4
all other cancers,C88.7
all other cancers,C88.9
all other cancers,C79.7
all other cancers,C79.5
all other cancers,C78.4
all other cancers,C78.5
all other cancers,C79.3
all other cancers,C79.4
all other cancers,C78.7
all other cancers,C78.0
all other cancers,C78.1
all other cancers,C78.3
all other cancers,C78.8
all other cancers,C79.0
all other cancers,C79.1
all other cancers,C79.2
all other cancers,C79.6
all other cancers,C79.8
all other cancers,C79.9
all other cancers,C78.6
all other cancers,C78.2
allergic rhinitis,J30.1
allergic rhinitis,J30.2
allergic rhinitis,J30.3
allergic rhinitis,J30.4
allergic rhinitis,J31.0
anxiety,F43.1
Bronchiectasis,Q33.4
cardiomyopathy,I25.5
cardiomyopathy,I42.3
cardiomyopathy,I42.5
cardiomyopathy,I42.7
cardiomyopathy,I42.8
cardiomyopathy,I42.9
cardiomyopathy,I42.0
cardiomyopathy,I42.6
cardiomyopathy,I42.1
cardiomyopathy,I42.2
cataract,H26.0
cataract,H26.2
cataract,H26.4
cataract,H26.8
cataract,H26.9
cataract,Q12.0
Chronic back pain,M54.5
Chronic kidney disease (CKD 3-5),N18.5
Chronic kidney disease (CKD 3-5),T82.4
Chronic kidney disease (CKD 3-5),Y60.2
Chronic kidney disease (CKD 3-5),Y61.2
Chronic kidney disease (CKD 3-5),Y84.1
Chronic kidney disease (CKD 3-5),Z49.1
Chronic kidney disease (CKD 3-5),Z49.2
Chronic kidney disease (CKD 3-5),Z99.2
Chronic kidney disease (CKD 3-5),N16.5
Chronic kidney disease (CKD 3-5),T86.1
Chronic kidney disease (CKD 3-5),Z94.0
Chronic kidney disease (CKD 3-5),N18.3
Chronic kidney disease (CKD 3-5),N18.4
Chronic kidney disease (CKD 3-5),N18.7
Chronic kidney disease (CKD 3-5),N18.8
Chronic kidney disease (CKD 3-5),N18.9
Chronic kidney disease (CKD 3-5),N18.6
Chronic liver disease,K74.3
Chronic liver disease,K75.4
Chronic liver disease,K70.1
Chronic liver disease,K70.2
Chronic liver disease,K70.3
Chronic liver disease,K71.7
Chronic liver disease,K74.0
Chronic liver disease,K74.1
Chronic liver disease,K74.2
Chronic liver disease,K74.4
Chronic liver disease,K74.5
Chronic liver disease,K74.6
Chronic liver disease,B15.0
