"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"34869","Erythromycin 500mg Tablet (C P Pharmaceuticals Ltd) Erythromycin 500mg Tablet Oral","05010500","13060201",,,"CPRDGold"
"21060","Metrolyl 200mg Tablet (Sandoz Ltd) Metronidazole 200mg Tablet Oral","01030700","05011100",,,"CPRDGold"
"63033","Clarithromycin 250mg tablets (Waymade Healthcare Plc) Clarithromycin 250mg Tablet Oral","05010500",,,,"CPRDGold"
"54903","Clarithromycin 125mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd) Clarithromycin 25mg/1ml Oral suspension Oral","05010500",,,,"CPRDGold"
"52481","Metronidazole 400mg tablets (Kent Pharmaceuticals Ltd) Metronidazole 400mg Tablet Oral","05011100",,,,"CPRDGold"
"52719","Clarithromycin 250mg tablets (Apotex UK Ltd) Clarithromycin 250mg Tablet Oral","05010500",,,,"CPRDGold"
"4951","Tetralysal 300 capsules (Galderma (UK) Ltd) Lymecycline 408mg Capsule Oral","05010300",,,,"CPRDGold"
"50779","Clindamycin 75mg/5ml oral solution Clindamycin hydrochloride 15mg/1ml Oral solution Oral","05010600","05040100",,,"CPRDGold"
"73278","Clindamycin 150mg capsules (Waymade Healthcare Plc) Clindamycin hydrochloride 150mg Capsule Oral","05010600","05040100",,,"CPRDGold"
"57267","Clarithromycin 125mg/5ml oral suspension (Waymade Healthcare Plc) Clarithromycin 25mg/1ml Oral suspension Oral","05010500",,,,"CPRDGold"
"34650","Clarithromycin 250mg tablets (A A H Pharmaceuticals Ltd) Clarithromycin 250mg Tablet Oral","05010500",,,,"CPRDGold"
"33686","Erythromycin 250mg gastro-resistant capsules (A A H Pharmaceuticals Ltd) Erythromycin 250mg Gastro-resistant capsule Oral","05010500","13060201",,,"CPRDGold"
"615","Clindamycin 150mg capsules Clindamycin hydrochloride 150mg Capsule Oral","05010600","05040100",,,"CPRDGold"
"45260","Metronidazole 200mg tablets (A A H Pharmaceuticals Ltd) Metronidazole 200mg Tablet Oral","05011100",,,,"CPRDGold"
"41604","Erythromycin 500mg Tablet (Hillcross Pharmaceuticals Ltd) Erythromycin 500mg Tablet Oral","05010500","13060201",,,"CPRDGold"
"29327","Metronidazole 400mg tablets (Actavis UK Ltd) Metronidazole 400mg Tablet Oral","05011100",,,,"CPRDGold"
"40784","Clarithromycin 500mg tablets (Sandoz Ltd) Clarithromycin 500mg Tablet Oral","05010500",,,,"CPRDGold"
"49952","Erythromycin 250mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd) Erythromycin 250mg Gastro-resistant capsule Oral","05010500","13060201",,,"CPRDGold"
"58902","Clarithromycin 500mg tablets (Phoenix Healthcare Distribution Ltd) Clarithromycin 500mg Tablet Oral","05010500",,,,"CPRDGold"
"1531","Rifampicin 300mg capsules Rifampicin 300mg Capsule Oral","05010900",,,,"CPRDGold"
"3209","Erythromid 250mg Tablet (Abbott Laboratories Ltd) Erythromycin 250mg Gastro-resistant tablet Oral","05010500","13060201",,,"CPRDGold"
"18643","Ilosone 500mg Tablet (Dista Products Ltd) Erythromycin 500mg Tablet Oral","05010500","13060201",,,"CPRDGold"
"60805","Clarithromycin 500mg tablets (Waymade Healthcare Plc) Clarithromycin 500mg Tablet Oral","05010500",,,,"CPRDGold"
"51426","Clarithromycin 500mg tablets (Accord Healthcare Ltd) Clarithromycin 500mg Tablet Oral","05010500",,,,"CPRDGold"
"36357","Rimactane 300mg capsules (Sandoz Ltd) Rifampicin 300mg Capsule Oral","05010900",,,,"CPRDGold"
"34334","Erythromycin 250mg gastro-resistant tablets (Mylan) Erythromycin 250mg Gastro-resistant tablet Oral","05010500","13060201",,,"CPRDGold"
"53875","Clarithromycin 500mg tablets (Tillomed Laboratories Ltd) Clarithromycin 500mg Tablet Oral","05010500",,,,"CPRDGold"
"50946","Clarithromycin 250mg tablets (Sigma Pharmaceuticals Plc) Clarithromycin 250mg Tablet Oral","05010500",,,,"CPRDGold"
"57660","Clarithromycin 250mg tablets (Almus Pharmaceuticals Ltd) Clarithromycin 250mg Tablet Oral","05010500",,,,"CPRDGold"
"3499","Flagyl 400mg tablets (Sanofi) Metronidazole 400mg Tablet Oral","05011100",,,,"CPRDGold"
"5357","Clarithromycin 250mg/5ml oral suspension Clarithromycin 50mg/1ml Oral suspension Oral","05010500",,,,"CPRDGold"
"63","Erythromycin 250mg gastro-resistant tablets Erythromycin 250mg Gastro-resistant tablet Oral","05010500","13060201",,,"CPRDGold"
"57554","Metronidazole 100mg/5ml oral solution Metronidazole benzoate 20mg/1ml Oral solution Oral","05011100",,,,"CPRDGold"
"63660","Doxycycline 50mg capsules (Kent Pharmaceuticals Ltd) Doxycycline hyclate 50mg Capsule Oral","05010300","05040100","13060201",,"CPRDGold"
"71154","Klaricid Paediatric 125mg/5ml oral suspension (Dowelhurst Ltd) Clarithromycin 25mg/1ml Oral suspension Oral","05010500",,,,"CPRDGold"
"57216","Metronidazole 400mg tablets (Milpharm Ltd) Metronidazole 400mg Tablet Oral","05011100",,,,"CPRDGold"
"31690","Clarosip 250mg granules for oral suspension straws (Grunenthal Ltd) Clarithromycin 250mg Granules Oral","00000000",,,,"CPRDGold"
"21367","Rifadin 150mg capsules (Sanofi) Rifampicin 150mg Capsule Oral","05010900",,,,"CPRDGold"
"54897","Clarithromycin 250mg tablets (Tillomed Laboratories Ltd) Clarithromycin 250mg Tablet Oral","05010500",,,,"CPRDGold"
"59100","Erythromycin 250mg gastro-resistant tablets (Waymade Healthcare Plc) Erythromycin 250mg Gastro-resistant tablet Oral","05010500","13060201",,,"CPRDGold"
"47582","Clarithromycin 250mg tablets (Sandoz Ltd) Clarithromycin 250mg Tablet Oral","05010500",,,,"CPRDGold"
"681","Clarithromycin 500mg tablets Clarithromycin 500mg Tablet Oral","05010500",,,,"CPRDGold"
"53959","Metronidazole 200mg tablets (Phoenix Healthcare Distribution Ltd) Metronidazole 200mg Tablet Oral","05011100",,,,"CPRDGold"
"50778","Clindamycin 150mg/5ml oral solution Clindamycin hydrochloride 30mg/1ml Oral solution Oral","05010600","05040100",,,"CPRDGold"
"14904","Vibramycin-D 100mg dispersible tablets (Pfizer Ltd) Doxycycline monohydrate 100mg Dispersible tablet Oral","05010300","05040100","13060201",,"CPRDGold"
"60754","Clindamycin 300mg/5ml oral solution Clindamycin hydrochloride 60mg/1ml Oral solution Oral","05010600","05040100",,,"CPRDGold"
"69480","Erythromycin 250mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd) Erythromycin 250mg Gastro-resistant tablet Oral","05010500","13060201",,,"CPRDGold"
"53135","Vibramycin-D 100mg dispersible tablets (Waymade Healthcare Plc) Doxycycline monohydrate 100mg Dispersible tablet Oral","05010300","05040100","13060201",,"CPRDGold"
"52411","Klaricid 250mg tablets (Necessity Supplies Ltd) Clarithromycin 250mg Tablet Oral","05010500",,,,"CPRDGold"
"6396","Doxycycline 100mg dispersible tablets sugar free Doxycycline monohydrate 100mg Dispersible tablet Oral","05010300","05040100","13060201",,"CPRDGold"
"61264","Erythromycin 250mg gastro-resistant tablets (DE Pharmaceuticals) Erythromycin 250mg Gastro-resistant tablet Oral","05010500","13060201",,,"CPRDGold"
"6121","Klaricid XL 500mg tablets (Mylan) Clarithromycin 500mg Modified-release tablet Oral","05010500",,,,"CPRDGold"
"45222","Clindamycin oral liquid Clindamycin Hydrochloride  Oral Liquid Oral","05010600",,,,"CPRDGold"
"54208","Clarithromycin 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc) Clarithromycin 50mg/1ml Oral suspension Oral","05010500",,,,"CPRDGold"
"72685","Rifampicin 150mg/5ml oral suspension Rifampicin 30mg/1ml Oral suspension Oral","05010900",,,,"CPRDGold"
"54529","Clarithromycin 500mg Modified-release tablet (Hillcross Pharmaceuticals Ltd) Clarithromycin 500mg Modified-release tablet Oral","05010500",,,,"CPRDGold"
"10326","Clarithromycin 125mg granules straws Clarithromycin 125mg Granules Oral","00000000",,,,"CPRDGold"
