"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"69570","Disulfiram 500mg tablets Disulfiram 500mg Tablet Oral","04105000",,,,"CPRDGold"
"2598","Acamprosate 333mg gastro-resistant tablets Acamprosate calcium 333mg Gastro-resistant tablet Oral","04105000",,,,"CPRDGold"
"78854","Acamprosate 333mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) Acamprosate calcium 333mg Gastro-resistant tablet Oral","04105000",,,,"CPRDGold"
"69396","Disulfiram 250mg tablets Disulfiram 250mg Tablet Oral","04105000",,,,"CPRDGold"
"871","Disulfiram 200mg tablets Disulfiram 200mg Tablet Oral","04105000",,,,"CPRDGold"
"78794","Acamprosate 333mg gastro-resistant tablets (Mylan) Acamprosate calcium 333mg Gastro-resistant tablet Oral","04105000",,,,"CPRDGold"
"56720","Nalmefene 18mg tablets Nalmefene hydrochloride 18mg Tablet Oral","04105000",,,,"CPRDGold"
"6759","Campral EC 333mg tablets (Merck Serono Ltd) Acamprosate calcium 333mg Gastro-resistant tablet Oral","04105000",,,,"CPRDGold"
"2269","Antabuse 200mg tablets (Actavis UK Ltd) Disulfiram 200mg Tablet Oral","04105000",,,,"CPRDGold"
"57225","Selincro 18mg tablets (Lundbeck Ltd) Nalmefene hydrochloride 18mg Tablet Oral","04105000",,,,"CPRDGold"
"60514","Esperal 500mg tablets (IDIS World Medicines) Disulfiram 500mg Tablet Oral","04105000",,,,"CPRDGold"
"70528","Disulfiram 200mg tablets (Alliance Healthcare (Distribution) Ltd) Disulfiram 200mg Tablet Oral","04105000",,,,"CPRDGold"
"65691","Antabuse 250mg tablets (Imported (United States)) Disulfiram 250mg Tablet Oral","04105000",,,,"CPRDGold"
"5628","Campral ec 333mg Gastro-resistant tablet (Lipha Pharmaceuticals Ltd) Acamprosate calcium 333mg Gastro-resistant tablet Oral","04105000",,,,"CPRDGold"
