"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"71481","Aripiprazole 10mg tablets (Alliance Healthcare (Distribution) Ltd) Aripiprazole 10mg Tablet Oral","04020102",,,,"CPRDGold"
"78609","Quetiapine 300mg tablets (Teva UK Ltd) Quetiapine fumarate 300mg Tablet Oral","04020102",,,,"CPRDGold"
"16434","Risperidone 25mg powder and solvent for suspension for injection vials Risperidone 25mg Powder and solvent for suspension for injection Intramuscular","04020102",,,,"CPRDGold"
"21709","Seroquel 300mg tablets (AstraZeneca UK Ltd) Quetiapine fumarate 300mg Tablet Oral","04020102",,,,"CPRDGold"
"9794","Quetiapine 200mg tablets Quetiapine fumarate 200mg Tablet Oral","04020102",,,,"CPRDGold"
"15814","Haloperidol decanoate 100mg/1ml solution for injection ampoules Haloperidol decanoate 100mg/1ml Solution for injection Intramuscular","04020101","04020200",,,"CPRDGold"
"55871","Haloperidol 2mg/ml Liquid (Hillcross Pharmaceuticals Ltd) Haloperidol 2mg/ml Liquid ","04020100","40120000",,,"CPRDGold"
"67820","Chlorpromazine 100mg/5ml oral suspension Chlorpromazine hydrochloride 20mg/1ml Oral suspension Oral","04020101",,,,"CPRDGold"
"65321","Risperidone 500microgram tablets (Teva UK Ltd) Risperidone 500microgram Tablet Oral","04020102",,,,"CPRDGold"
"56072","Olanzapine 20mg orodispersible tablets Olanzapine 20mg Orodispersible tablet Oral","04020102","04020300",,,"CPRDGold"
"4820","Risperdal 1mg tablets (Janssen-Cilag Ltd) Risperidone 1mg Tablet Oral","04020102",,,,"CPRDGold"
"54429","Stemetil 5mg tablets (Waymade Healthcare Plc) Prochlorperazine maleate 5mg Tablet Oral","04020101","04065400",,,"CPRDGold"
"34668","Chlorpromazine 25mg tablets (Teva UK Ltd) Chlorpromazine hydrochloride 25mg Tablet Oral","04020101",,,,"CPRDGold"
"41663","Trifluoperazine 5mg tablets (A A H Pharmaceuticals Ltd) Trifluoperazine hydrochloride 5mg Tablet Oral","04020101","04065400",,,"CPRDGold"
"9975","Haloperidol 1mg/ml sugar free Oral solution Haloperidol 1mg/ml Oral Solution Oral","04020100","40120000",,,"CPRDGold"
"28679","Dozic 2mg/ml Oral solution (Rosemont Pharmaceuticals Ltd) Haloperidol 2mg/ml Oral Solution Oral","04020100","40120000",,,"CPRDGold"
"71201","Levomepromazine 62.5mg/5ml oral suspension Levomepromazine maleate 12.5mg/1ml Oral suspension Oral","04020101",,,,"CPRDGold"
"6443","Promazine 25mg/5ml oral solution Promazine hydrochloride 5mg/1ml Oral solution Oral","04020101",,,,"CPRDGold"
"74088","Chlorpromazine 25mg suppositories Chlorpromazine hydrochloride 25mg Suppository Rectal","04020101",,,,"CPRDGold"
"24494","Haldol 10mg/ml Liquid (Janssen-Cilag Ltd) Haloperidol 10mg/ml Liquid Oral","04020100","40120000",,,"CPRDGold"
"65938","Quetiapine 25mg tablets (Ranbaxy (UK) Ltd) Quetiapine fumarate 25mg Tablet Oral","04020102",,,,"CPRDGold"
"25909","Perphenazine 4mg/5ml Oral solution sugar free Perphenazine 4mg/5ml Syrup Sugar-Free Oral","04020100","40120000",,,"CPRDGold"
"33493","Sparine 100mg Tablet (Wyeth Pharmaceuticals) Promazine Hydrochloride 100mg Tablet Oral","04020100",,,,"CPRDGold"
"73980","Abilify 5mg tablets (Lexon (UK) Ltd) Aripiprazole 5mg Tablet Oral","04020102",,,,"CPRDGold"
"29948","Stelazine Forte 1mg/ml oral solution (Mercury Pharma Group Ltd) Trifluoperazine hydrochloride 1mg/1ml Oral solution Oral","04020101","04065400",,,"CPRDGold"
"19002","Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd) Chlorpromazine Hydrochloride 100mg Suppository Rectal","04020100","40120000",,,"CPRDGold"
"35391","Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules Fluphenazine decanoate 100mg/1ml Solution for injection Intramuscular","04020200",,,,"CPRDGold"
"9340","Risperdal 3mg tablets (Janssen-Cilag Ltd) Risperidone 3mg Tablet Oral","04020102",,,,"CPRDGold"
"40001","Stemetil 5mg/5ml syrup (Sanofi) Prochlorperazine mesilate 1mg/1ml Oral solution Oral","04020101","04065400",,,"CPRDGold"
"12128","Modecate concentrate 100mg/ml Injection (Sanofi-Synthelabo Ltd) Fluphenazine Decanoate 100mg/ml Injection Intramuscular Deep Injection Gluteal Muscle","04020200",,,,"CPRDGold"
