"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"18125","Librium 5mg capsules (Mylan) Chlordiazepoxide hydrochloride 5mg Capsule Oral","04010201","04105000","10020200",,"CPRDGold"
"5294","Chlordiazepoxide 10mg tablets Chlordiazepoxide hydrochloride 10mg Tablet Oral","04010201","04105000","10020200",,"CPRDGold"
"74743","Lorazepam 2mg/1ml solution for injection ampoules Lorazepam 2mg/1ml Solution for injection Intramuscular/Intravenous","04010201","04080200","15010401",,"CPRDGold"
"46896","Lorazepam 500micrograms/5ml oral solution Lorazepam 100microgram/1ml Oral solution Oral","04010201","15010401",,,"CPRDGold"
"75473","Diazepam 2.5mg/5ml oral suspension (Special Order) Diazepam 500microgram/1ml Oral suspension Oral","04010201","04080200","04080300",,"CPRDGold"
"31633","Valclair 10mg suppositories (Durbin Plc) Diazepam 10mg Suppository Rectal","04010201","04080200","04080300",,"CPRDGold"
"3870","Diazepam 2mg capsules Diazepam 2mg Capsules Oral","04010100","04010200",,,"CPRDGold"
"21464","Medazepam 5mg Capsule Medazepam 5mg Capsule Oral","04010200",,,,"CPRDGold"
"10581","Hypnovel 10mg/2ml solution for injection ampoules (Cheplapharm Arzneimittel GmbH) Midazolam hydrochloride 5mg/1ml Solution for injection Rectal/Intramuscular/Intravenous","04010201","15010401",,,"CPRDGold"
"2394","Buspar 5mg tablets (IXL Pharma Ltd) Buspirone hydrochloride 5mg Tablet Oral","04010200",,,,"CPRDGold"
"41988","Chlordiazepoxide 10mg Tablet (DDSA Pharmaceuticals Ltd) Chlordiazepoxide hydrochloride 10mg Tablet Oral","04010200",,,,"CPRDGold"
"24642","Milonorm 400mg Tablet (Wallace Manufacturing Chemists Ltd) Meprobamate 400mg Tablet Oral","04010200","10020200",,,"CPRDGold"
"79029","Diazepam 10mg Rectal tubes (Hillcross Pharmaceuticals Ltd) Diazepam 4mg/1ml Enema Rectal","04010200","04080200",,,"CPRDGold"
"3639","Meprobamate 200mg Tablet Meprobamate 200mg Tablet Oral","04010200","10020200",,,"CPRDGold"
"19941","Bromazepam 3mg tablets Bromazepam 3mg Tablets Oral","04010200",,,,"CPRDGold"
"41553","Oxazepam 10mg tablets (Genus Pharmaceuticals Ltd) Oxazepam 10mg Tablet Oral","04010201",,,,"CPRDGold"
"9045","Diazepam 1mg/5ml suspension Diazepam 1mg/5ml Suspension Oral","04010100","04010200",,,"CPRDGold"
