"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"11046","Ipratropium bromide with salbutamol 500micrograms + 2.5mg/2.5ml Salbutamol Sulphate/Ipratropium Bromide 500micrograms + 2.5mg/2.5ml Unit Dose Nebulising Solution Nebulised","03010101","03010200",,,"CPRDGold"
"14294","Qvar 50micrograms/dose Easi-Breathe inhaler (Teva UK Ltd) Beclometasone dipropionate 50microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"1957","Ventolin 5mg Nebules (GlaxoSmithKline UK Ltd) Salbutamol sulfate 2mg/1ml Nebuliser liquid Inhalation","03010101",,,,"CPRDGold"
"33258","Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd) Beclometasone dipropionate 250microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"4759","Beclometasone 100microgram inhalation powder capsules Beclometasone dipropionate 100microgram Inhalation powder Inhalation","03020000",,,,"CPRDGold"
"2148","Beclometasone 400microgram disc Beclometasone Dipropionate 400micrograms Disc Inhalation","03020000",,,,"CPRDGold"
"71394","Serevent 50microgram disks with Diskhaler (Dowelhurst Ltd) Salmeterol xinafoate 50microgram Inhalation powder Inhalation","03010101",,,,"CPRDGold"
"78144","Prednisolone 25mg tablets (Phoenix Healthcare Distribution Ltd) Prednisolone 25mg Tablet Oral","01050200","03020000","06030200",,"CPRDGold"
"8252","Pirbuterol 15mg capsule Pirbuterol 15mg Capsules Oral","03010101",,,,"CPRDGold"
"75460","Pulmicort 1mg Respules (DE Pharmaceuticals) Budesonide 500microgram/1ml Nebuliser liquid Inhalation","03020000",,,,"CPRDGold"
"16577","Easyhaler Salbutamol sulfate 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) Salbutamol 200microgram/1dose Inhalation powder Inhalation","03010101",,,,"CPRDGold"
"4131","Fluticasone 100microgram Disc Fluticasone Propionate 100microgram Disc Inhalation","03020000",,,,"CPRDGold"
"54399","Qvar 100 Autohaler (Sigma Pharmaceuticals Plc) Beclometasone dipropionate 100microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"80501","Pulmicort 200 Turbohaler (Mawdsley-Brooks & Company Ltd) Budesonide 200microgram/1dose Inhalation powder Inhalation","03020000",,,,"CPRDGold"
"25821","Exirel 7.5mg/5ml Oral solution (3M Health Care Ltd) Pirbuterol 7.5mg/5ml Oral Solution Oral","03010101",,,,"CPRDGold"
"80396","Dexamethasone 20mg/5ml oral suspension Dexamethasone 4mg/1ml Oral suspension Oral","03020000","04065300","06030200",,"CPRDGold"
"51394","Seretide 500 Accuhaler (Waymade Healthcare Plc) Salmeterol xinafoate/Fluticasone propionate 50microgram/1dose + 500microgram/1dose Inhalation powder Inhalation","03010101","03020000",,,"CPRDGold"
"50739","Symbicort 400/12 Turbohaler (Mawdsley-Brooks & Company Ltd) Budesonide/Formoterol fumarate dihydrate 400microgram/1dose + 12microgram/1dose Inhalation powder Inhalation","03010101","03020000",,,"CPRDGold"
"74791","Pulmicort 400 Turbohaler (Mawdsley-Brooks & Company Ltd) Budesonide 400microgram/1dose Inhalation powder Inhalation","03020000",,,,"CPRDGold"
"987","Ventolin 4mg Tablet (Allen & Hanburys Ltd) Salbutamol sulfate 4mg Tablet Oral","03010101","07010300",,,"CPRDGold"
"42830","Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd) Salbutamol sulfate 100microgram/1dose Pressurised inhalation Inhalation","03010101",,,,"CPRDGold"
"6526","Formoterol 12microgram inhalation powder capsules with device Formoterol fumarate dihydrate 12microgram Inhalation powder Inhalation","03010101",,,,"CPRDGold"
"7268","Serevent 25micrograms/dose Evohaler (GlaxoSmithKline UK Ltd) Salmeterol xinafoate 25microgram/1dose Pressurised inhalation Inhalation","03010101",,,,"CPRDGold"
"7638","Fluticasone 250microgram Disc Fluticasone Propionate 250microgram Disc Inhalation","03020000",,,,"CPRDGold"
"1236","Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd) Beclometasone dipropionate 250microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"6796","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler Budesonide/Formoterol fumarate dihydrate 200microgram/1dose + 6microgram/1dose Inhalation powder Inhalation","03010101","03020000",,,"CPRDGold"
"4688","Fluticasone 50microgram/actuation Pressurised inhalation Fluticasone Propionate 50microgram/actuation Pressurised Inhalation Inhalation","03020000",,,,"CPRDGold"
"48741","Ventolin 100micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd) Salbutamol sulfate 100microgram/1dose Pressurised inhalation Inhalation","03010101",,,,"CPRDGold"
"6616","Salmeterol 25micrograms with fluticasone 50micrograms CFC free inhaler Salmeterol Xinafoate/Fluticasone Propionate 25micrograms + 50micrograms/actuation Inhaler Cfc-Free Inhalation","03010101","03020000",,,"CPRDGold"
"34660","Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd) Prednisolone 1mg Tablet Oral","01050200","03020000","05011000",,"CPRDGold"
"62662","Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free Olodaterol hydrochloride 2.5microgram/1dose Inhalation solution Inhalation","03010101",,,,"CPRDGold"
"31774","Beclometasone 50micrograms/dose inhaler (Mylan) Beclometasone dipropionate 50microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"16148","Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd) Beclometasone dipropionate 250microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"1551","Beclazone 250 inhaler (Teva UK Ltd) Beclometasone dipropionate 250microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"41515","Prednisolone 5mg tablets (Teva UK Ltd) Prednisolone 5mg Tablet Oral","01050200","03020000","05011000",,"CPRDGold"
"49412","Clenil Modulite 200micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd) Beclometasone dipropionate 200microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"5683","Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd) Fluticasone propionate 250microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"1959","Pulmicort 0.5mg Respules (AstraZeneca UK Ltd) Budesonide 250microgram/1ml Nebuliser liquid Inhalation","03020000",,,,"CPRDGold"
"1794","Berotec 100microgram/actuation Inhalation powder (Boehringer Ingelheim Ltd) Fenoterol Hydrobromide 100microgram/actuation Inhalation Powder Inhalation","03010101",,,,"CPRDGold"
"1406","Becotide 50 inhaler (GlaxoSmithKline UK Ltd) Beclometasone dipropionate 50microgram/1dose Pressurised inhalation Inhalation","03020000",,,,"CPRDGold"
"27340","Salbuvent 0.5mg/ml Injection (Pharmacia Ltd) Salbutamol sulfate 500microgram/1ml Solution for injection Subcutaneous/Intravenous/Intramuscular","03010101","07010300",,,"CPRDGold"
"282","Salbutamol 2mg/5ml oral solution sugar free Salbutamol sulfate 400microgram/1ml Oral solution Oral","03010101",,,,"CPRDGold"
"7948","Fluticasone propionate 250micrograms/dose dry powder inhaler Fluticasone propionate 250microgram/1dose Inhalation powder Inhalation","03020000",,,,"CPRDGold"
"67261","Pulmicort 1mg Respules (Sigma Pharmaceuticals Plc) Budesonide 500microgram/1ml Nebuliser liquid Inhalation","03020000",,,,"CPRDGold"
"71915","Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) Budesonide/Formoterol fumarate dihydrate 200microgram/1dose + 6microgram/1dose Inhalation powder Inhalation","03010101","03020000",,,"CPRDGold"
"24898","Spacehaler BDP 100microgram/actuation Spacehaler (Celltech Pharma Europe Ltd) Beclometasone Dipropionate 100microgram/actuation Spacehaler Inhalation","03020000",,,,"CPRDGold"
"44064","Onbrez Breezhaler 300microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd) Indacaterol maleate 300microgram Inhalation powder Inhalation","03010101",,,,"CPRDGold"
"3075","Becotide 400microgram Rotacaps (GlaxoSmithKline UK Ltd) Beclometasone dipropionate 400microgram Inhalation powder Inhalation","03020000",,,,"CPRDGold"
