"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"9206","Manerix 150mg tablets (Mylan) Moclobemide 150mg Tablet Oral","04030201",,,,"CPRDGold"
"25945","Iproniazid 25mg Iproniazide 25mg Tablets Oral","04030200",,,,"CPRDGold"
"3955","Tranylcypromine with trifluoperazine Tablet Trifluoperazine Hydrochloride/Tranylcypromine Sulphate  Tablet Oral","04020100","04030200",,,"CPRDGold"
"4321","Phenelzine 15mg tablets Phenelzine sulfate 15mg Tablet Oral","04030200",,,,"CPRDGold"
"12207","Isocarboxazid 10mg tablets Isocarboxazid 10mg Tablet Oral","04030200",,,,"CPRDGold"
"41731","Isocarboxazid 10mg Tablet (Cambridge Laboratories Ltd) Isocarboxazid 10mg Tablet Oral","04030200",,,,"CPRDGold"
"3783","Tranylcypromine 10mg tablets Tranylcypromine sulfate 10mg Tablet Oral","04030200",,,,"CPRDGold"
"41654","Tranylcypromine 10mg tablets (Advanz Pharma) Tranylcypromine sulfate 10mg Tablet Oral","04030200",,,,"CPRDGold"
"5187","Moclobemide 300mg tablets Moclobemide 300mg Tablet Oral","04030201",,,,"CPRDGold"
"41747","Moclobemide 150mg tablets (Teva UK Ltd) Moclobemide 150mg Tablet Oral","04030201",,,,"CPRDGold"
"10787","Parnate 10mg Tablet (Goldshield Pharmaceuticals Ltd) Tranylcypromine sulfate 10mg Tablet Oral","04030200",,,,"CPRDGold"
"3349","Nardil 15mg tablets (Kyowa Kirin Ltd) Phenelzine sulfate 15mg Tablet Oral","04030200",,,,"CPRDGold"
"67305","Moclobemide 150mg tablets (Sigma Pharmaceuticals Plc) Moclobemide 150mg Tablet Oral","04030201",,,,"CPRDGold"
"5832","Manerix 300mg tablets (Mylan) Moclobemide 300mg Tablet Oral","04030201",,,,"CPRDGold"
"18290","Marsilid 25mg Tablet (Roche Products Ltd) Iproniazide 25mg Tablet Oral","04030200",,,,"CPRDGold"
"12503","Marplan 10mg Tablet (Cambridge Laboratories Ltd) Isocarboxazid 10mg Tablet Oral","04030200",,,,"CPRDGold"
"3356","Parstelin Tablet (GlaxoSmithKline Consumer Healthcare) Trifluoperazine Hydrochloride/Tranylcypromine Sulphate  Tablet Oral","04020100","04030200",,,"CPRDGold"
"24890","Trifluoperazine with tranylcypromine 1mg + 10mg Tablet Trifluoperazine Hydrochloride/Tranylcypromine Sulphate 1mg + 10mg Tablet Oral","04020100","04030200",,,"CPRDGold"
"2883","Moclobemide 150mg tablets Moclobemide 150mg Tablet Oral","04030201",,,,"CPRDGold"
