"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"24361","Methadose 20mg/ml oral solution concentrate (Rosemont Pharmaceuticals Ltd) Methadone hydrochloride 20mg/1ml Oral solution Oral","04105200",,,,"CPRDGold"
"24343","Methadose 10mg/ml oral solution concentrate (Rosemont Pharmaceuticals Ltd) Methadone hydrochloride 10mg/1ml Oral solution Oral","04105200",,,,"CPRDGold"
"29304","Physeptone 10mg/1ml solution for injection ampoules (Martindale Pharmaceuticals Ltd) Methadone hydrochloride 10mg/1ml Solution for injection Intramuscular/Subcutaneous","04070200","04105200",,,"CPRDGold"
"33475","Methadone 35mg/ml Injection Methadone Hydrochloride 35mg/ml Injection ","04105200",,,,"CPRDGold"
"17671","Methadone 50mg/1ml solution for injection ampoules Methadone hydrochloride 50mg/1ml Solution for injection Intravenous/Intramuscular/Subcutaneous","04070200","04105200",,,"CPRDGold"
"69053","Pinadone methadone 1mg/ml Oral solution sugar free (Pinewood Healthcare) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"46578","Physeptone 20mg/2ml solution for injection ampoules (Martindale Pharmaceuticals Ltd) Methadone hydrochloride 10mg/1ml Solution for injection Intramuscular/Subcutaneous","04070200","04105200",,,"CPRDGold"
"77755","Methadone 50mg tablets Methadone hydrochloride 50mg Tablet Oral","04070200","04105200",,,"CPRDGold"
"5322","Physeptone 5mg tablets (Martindale Pharmaceuticals Ltd) Methadone hydrochloride 5mg Tablet Oral","03090100","04070200","04105200",,"CPRDGold"
"33832","Methadone 1mg/ml oral solution (Martindale Pharmaceuticals Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"30531","Methadone 1mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"37507","Physeptone 50mg/1ml solution for injection ampoules (Martindale Pharmaceuticals Ltd) Methadone hydrochloride 50mg/1ml Solution for injection Intravenous/Intramuscular/Subcutaneous","04070200","04105200",,,"CPRDGold"
"23158","Methadone 20mg/ml oral solution sugar free Methadone hydrochloride 20mg/1ml Oral solution Oral","04105200",,,,"CPRDGold"
"6441","Methadone 5mg tablets Methadone hydrochloride 5mg Tablet Oral","03090100","04070200","04105200",,"CPRDGold"
"75719","Physeptone 50mg/2ml solution for injection ampoules (Martindale Pharmaceuticals Ltd) Methadone hydrochloride 25mg/1ml Solution for injection Subcutaneous/Intramuscular/Intravenous","04070200","04105200",,,"CPRDGold"
"37518","Methadone 35mg/3.5ml solution for injection ampoules Methadone hydrochloride 10mg/1ml Solution for injection Subcutaneous/Intramuscular","04070200","04105200",,,"CPRDGold"
"66921","Methadone 1mg/ml oral solution sugar free (Waymade Healthcare Plc) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"68959","Methadone 20mg/5ml oral solution Methadone hydrochloride 4mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"26277","Physeptone 1mg/ml mixture (Martindale Pharmaceuticals Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"39437","Eptadone 1mg/ml oral solution (Dee Pharmaceuticals Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"41608","Methadone 1mg/ml oral solution (Rosemont Pharmaceuticals Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"59295","Methadone 100mg capsules Methadone hydrochloride 100mg Capsule Oral","04070200","04105200",,,"CPRDGold"
"32237","Methex 1mg/ml Mixture (Generics (UK) Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"14086","Methadone 10mg/ml Injection Methadone Hydrochloride 10mg/ml Injection ","04070200","04105200",,,"CPRDGold"
"2952","Methadone 1mg/ml oral solution Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"41720","Methadone 1mg/ml Mixture (Macarthy Medical Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"55825","Methadone 1mg/ml oral solution sugar free (Thornton & Ross Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"67342","Methadone 50mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd) Methadone hydrochloride 50mg/1ml Solution for injection Intravenous/Intramuscular/Subcutaneous","04070200","04105200",,,"CPRDGold"
"11722","Methadone 10mg/ml oral solution sugar free Methadone hydrochloride 10mg/1ml Oral solution Oral","04105200",,,,"CPRDGold"
"33068","Methadone 10mg/1ml solution for injection ampoules Methadone hydrochloride 10mg/1ml Solution for injection Intramuscular/Subcutaneous","04070200","04105200",,,"CPRDGold"
"17896","Physeptone 10mg/ml Injection (Martindale Pharmaceuticals Ltd) Methadone Hydrochloride 10mg/ml Injection Subcutaneous Injection","04070200","04105200",,,"CPRDGold"
"47706","Methadone 1mg/ml oral solution sugar free (Martindale Pharmaceuticals Ltd) Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"64463","Methadone 30mg capsules Methadone hydrochloride 30mg Capsule Oral","04070200","04105200",,,"CPRDGold"
"36436","Methadone 50mg/5ml solution for injection ampoules Methadone hydrochloride 10mg/1ml Solution for injection Subcutaneous/Intramuscular","04070200","04105200",,,"CPRDGold"
"9728","Methadone 1mg/ml oral solution sugar free Methadone hydrochloride 1mg/1ml Oral solution Oral","04070200","04105200",,,"CPRDGold"
"60944","Methadone 5mg capsules Methadone hydrochloride 5mg Capsule Oral","03090100","04070200","04105200",,"CPRDGold"
