"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"54686","Tryptophan 500mg capsules Tryptophan 500mg Capsule Oral","04030400",,,,"CPRDGold"
"75894","Efexor XL 75mg capsules (Lexon (UK) Ltd) Venlafaxine hydrochloride 75mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"80721","Majoven XL 37.5mg capsules (Bristol Laboratories Ltd) Venlafaxine hydrochloride 37.5mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"6895","Duloxetine 60mg gastro-resistant capsules Duloxetine hydrochloride 60mg Gastro-resistant capsule Oral","04030400","06010500",,,"CPRDGold"
"53648","Mirtazapine 30mg orodispersible tablets (Accord Healthcare Ltd) Mirtazapine 30mg Orodispersible tablet Oral","04030400",,,,"CPRDGold"
"43968","Foraven XL 75mg capsules (Forum Products Ltd) Venlafaxine hydrochloride 75mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"59923","Venlafaxine 37.5mg tablets (Bristol Laboratories Ltd) Venlafaxine hydrochloride 37.5mg Tablet Oral","04030400",,,,"CPRDGold"
"10083","Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd) Mirtazapine 30mg Orodispersible tablet Oral","04030400",,,,"CPRDGold"
"43253","Mirtazapine 15mg orodispersible tablets (A A H Pharmaceuticals Ltd) Mirtazapine 15mg Orodispersible tablet Oral","04030400",,,,"CPRDGold"
"59563","Venlafaxine 75mg modified-release capsules (Kent Pharmaceuticals Ltd) Venlafaxine hydrochloride 75mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"43334","Venlafaxine 150mg modified-release capsules (Sandoz Ltd) Venlafaxine hydrochloride 150mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"73667","Venlafaxine 37.5mg tablets (Actavis UK Ltd) Venlafaxine hydrochloride 37.5mg Tablet Oral","04030400",,,,"CPRDGold"
"73868","Duloxetine 60mg gastro-resistant capsules (Aspire Pharma Ltd) Duloxetine hydrochloride 60mg Gastro-resistant capsule Oral","04030400","06010500",,,"CPRDGold"
"48199","Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd) Venlafaxine hydrochloride 75mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"54792","Mirtazapine 30mg tablets (Alliance Healthcare (Distribution) Ltd) Mirtazapine 30mg Tablet Oral","04030400",,,,"CPRDGold"
"52516","Alventa XL 150mg capsules (Consilient Health Ltd) Venlafaxine hydrochloride 150mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"70315","Vencarm XL 75mg capsules (Aspire Pharma Ltd) Venlafaxine hydrochloride 75mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"57751","Tonpular XL 150mg capsules (Wockhardt UK Ltd) Venlafaxine hydrochloride 150mg Modified-release capsule Oral","04030400",,,,"CPRDGold"
"40048","ViePax XL 75mg tablets (Dexcel-Pharma Ltd) Venlafaxine hydrochloride 75mg Modified-release tablet Oral","04030400",,,,"CPRDGold"
