DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
58491,Propranolol 40mg tablets (Alliance Healthcare (Distribution) Ltd) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
34378,Propranolol 10mg tablets (A A H Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
76431,Cardinol 10mg Tablet (C P Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral,2030202,2040000,,,CPRDGold
55416,Propranolol 40mg tablets (Almus Pharmaceuticals Ltd) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
58297,Propranolol 10mg tablets (Kent Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
34783,Propranolol 10mg tablets (Actavis UK Ltd) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
36576,Propranolol 10mg tablets (Mylan) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
79622,Propranolol 40mg tablets (DE Pharmaceuticals) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
65435,Propranolol 10mg tablets (Waymade Healthcare Plc) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
45297,Propranolol 40mg tablets (IVAX Pharmaceuticals UK Ltd) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
41555,Propranolol 40mg tablets (A A H Pharmaceuticals Ltd) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
297,Propranolol 10mg tablets Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
1050,Inderal 40mg tablets (AstraZeneca UK Ltd) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
3827,Propanix 40mg Tablet (Ashbourne Pharmaceuticals Ltd) Propranolol hydrochloride 40mg Tablet Oral,2030202,2040000,,,CPRDGold
80197,Bedranol 40mg tablets (Ennogen Pharma Ltd) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
27700,Propranolol 40mg tablets (Actavis UK Ltd) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
45494,Propranolol 10mg tablets (Almus Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
707,Propranolol 40mg tablets Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
65986,Propranolol 10mg tablets (Alliance Healthcare (Distribution) Ltd) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
27964,Apsolol 40mg Tablet (Approved Prescription Services Ltd) Propranolol hydrochloride 40mg Tablet Oral,2030202,2040000,,,CPRDGold
66555,Propranolol 10mg tablets (Boston Healthcare Ltd) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
60565,Propranolol 40mg tablets (Ranbaxy (UK) Ltd) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
31776,Propranolol 40mg tablets (Mylan) Propranolol hydrochloride 40mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
73765,Propranolol 10mg tablets (Ranbaxy (UK) Ltd) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
21866,Berkolol 40mg Tablet (Berk Pharmaceuticals Ltd) Propranolol hydrochloride 40mg Tablet Oral,2030202,2040000,,,CPRDGold
34804,Propranolol 10mg tablets (Teva UK Ltd) Propranolol hydrochloride 10mg Tablet Oral,2040000,4070402,4090300,,CPRDGold
14552,Propanix 10mg Tablet (Ashbourne Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral,2030202,2040000,,,CPRDGold
28048,Angilol 10mg Tablet (DDSA Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral,2030202,2040000,,,CPRDGold
