"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"76996","Coal tar solution 12% in Yellow soft paraffin Coal tar solution 120mg/1gram Ointment Route of administration not applicable","13050200","50030000",,,"CPRDGold"
"54328","Salicylic acid 5% in White soft paraffin Salicylic acid 50mg/1gram Ointment Route of administration not applicable","13050202","13060104","18010000",,"CPRDGold"
"43174","Fumaderm 215mg gastro-resistant tablets (Imported (Germany)) Magnesium monoethyl fumarate/Calcium monoethyl fumarate/Dimethyl fumarate/Zinc monoethyl fumarate 5mg + 87mg + 120mg + 3mg Gastro-resistant tablet Oral","13050200",,,,"CPRDGold"
"72173","Dithranol 0.125% in Zinc and Salicylic acid paste Dithranol/Zinc oxide/Salicylic acid 1.25mg/1gram + 239.7mg/1gram + 19.98mg/1gram Ointment Cutaneous","13050200",,,,"CPRDGold"
"10456","Denorex 2- Shampoo (Wyeth Consumer Healthcare) Menthol/Coal Tar  Shampoo Topical","13050200","13090100",,,"CPRDGold"
"78413","Salicylic acid 6% in Aqueous cream Salicylic acid 60mg/1gram Cream Route of administration not applicable","13050202","13060104","18010000",,"CPRDGold"
"2188","Dovonex 50micrograms/ml scalp solution (LEO Pharma) Calcipotriol hydrate 50microgram/1ml Liquid Cutaneous","13050200",,,,"CPRDGold"
"33999","Salicylic acid 10% in aqueous cream Salicylic Acid 10% Cream Topical","13050200","13070000",,,"CPRDGold"
"67277","Dovobet ointment (Waymade Healthcare Plc) Betamethasone dipropionate/Calcipotriol hydrate 500microgram/1gram + 50microgram/1gram Ointment Cutaneous","13040000","13050200",,,"CPRDGold"
"71400","Dithranol 0.25% / Salicylic acid 0.5% in White soft paraffin Salicylic acid/Dithranol 5mg/1gram + 2.5mg/1gram Ointment Cutaneous","13050200",,,,"CPRDGold"
"64582","Dithranol 0.4% ointment Dithranol 4mg/1gram Ointment Cutaneous","13050200",,,,"CPRDGold"
"79838","Dovobet gel (Pilsco Ltd) Calcipotriol monohydrate/Betamethasone dipropionate 50microgram/1gram + 500microgram/1gram Gel Cutaneous","13040000","13050200",,,"CPRDGold"
"40071","Alphosyl 100g Cream (Stafford-Miller Ltd) Allantoin/Coal Tar  Cream ","13050100","13050200",,,"CPRDGold"
"78249","Salicylic acid 3% in White soft paraffin Salicylic acid 30mg/1gram Ointment Route of administration not applicable","13050202","13060104","18010000",,"CPRDGold"
"1590","Coal tar solution 10% cream Coal tar solution 100mg/1gram Cream Cutaneous","13050200",,,,"CPRDGold"
"55269","Sulphur 2% with salicylic acid 3% & coal tar 8% in aqueous cream Salicylic Acid/Coal Tar Solution/Sulphur   ","13050200",,,,"CPRDGold"
"40393","Coal tar solution in Betnovate RD (HRI) ointment 5% Betamethasone Valerate/Coal Tar Solution 5% Ointment Topical","13040400","13050200",,,"CPRDGold"
"29630","Special No.1 Ointment (Thornton & Ross Ltd) Ichthammol/Zinc oxide 10mg/1gram + 150mg/1gram Ointment Cutaneous","13050100","13050200",,,"CPRDGold"
"34021","T-gel Shampoo (Neutrogena (UK) Ltd) Coal Tar  Shampoo ","13050200","13090100",,,"CPRDGold"
"11052","T-gel Conditioner (Neutrogena (UK) Ltd) Coal Tar  Conditioner Topical","13050200","13090100",,,"CPRDGold"
"6620","Coal tar 4.3% shampoo Coal tar 43mg/1ml Shampoo Cutaneous","13050202",,,,"CPRDGold"
"13523","Keralyt 6% Gel (Manufacturer unknown) Salicylic Acid 6% Gel Topical","13050200",,,,"CPRDGold"
"40072","T-gel Shampoo (Neutrogena (UK) Ltd) Coal Tar  Shampoo ","13050200","13090100",,,"CPRDGold"
"43058","Alphosyl 250ml Lotion (Stafford-Miller Ltd) Allantoin/Coal Tar  Cream ","13050100","13050200",,,"CPRDGold"
"16042","Calamine with Coal tar cream Zinc Oxide/Calamine/Coal Tar Solution Strong  Cream Topical","13050100","13050200",,,"CPRDGold"
"59617","Coal tar 10% in Zinc ointment Coal tar/Zinc oxide 100mg/1gram + 135mg/1gram Ointment Cutaneous","13050200",,,,"CPRDGold"
"2131","Salicylic acid 2% ointment Salicylic acid 20mg/1gram Ointment Cutaneous","13050202",,,,"CPRDGold"
"67034","Enstilar 50micrograms/g / 0.5 mg/g cutaneous foam (LEO Pharma) Calcipotriol monohydrate/Betamethasone dipropionate 50microgram/1gram + 500microgram/1gram Foam Cutaneous","13040000","13050202",,,"CPRDGold"
"2482","Coal tar with salycylic acid with sulphur with coconut oil ointment Coconut Oil/Salicylic Acid/Coal Tar  Ointment Topical","13050200","13090100",,,"CPRDGold"
"51338","Salicylic acid 10% in White soft paraffin Salicylic acid 100mg/1gram Ointment Route of administration not applicable","13050202","13060104","18010000",,"CPRDGold"
"17447","Coal tar with Sulphur cream Cetyl Alcohol-Coal Tar Distillate/Salicylic Acid/Sulphur  Cream Topical","13050100","13050200",,,"CPRDGold"
"20528","Dithranol 0.5% stick Dithranol 0.5% Stick Topical","13050200",,,,"CPRDGold"
"5050","Coconut comp ointment Salicylic Acid/Coal Tar Solution/Sulphur  Compound Ointment Topical","13050200",,,,"CPRDGold"
"57246","Coal tar solution strong 5% in Emulsifying ointment Coal tar solution strong 50mg/1gram Ointment Route of administration not applicable","13050200","50030000",,,"CPRDGold"
"75790","Coal tar 10% in Aqueous cream Coal tar 100mg/1gram Cream Route of administration not applicable","13050200","50030000",,,"CPRDGold"
"23433","Exorex scalp moisture lotion (Forest Laboratories UK Ltd)   Liquid Cutaneous","13050200",,,,"CPRDGold"
"7229","Dithranol 1% paste Salicylic Acid/Dithranol 1% Paste Topical","13050200",,,,"CPRDGold"
"72744","Salicylic acid 5% in Yellow soft paraffin (Drug Tariff Special Order) Salicylic acid 50mg/1gram Ointment Cutaneous","13050202","13060104","18010000",,"CPRDGold"
"4799","Tacalcitol 4micrograms/g ointment Tacalcitol monohydrate 4microgram/1gram Ointment Cutaneous","13050202",,,,"CPRDGold"
"1107","Alphosyl Shampoo (GlaxoSmithKline Consumer Healthcare) Allantoin/Coal Tar  Shampoo Topical","13050100","13050200",,,"CPRDGold"
"43442","Crude coal tar with zinc oxide with starch in pma 20%+2%+12% Paste Zinc Oxide/Coal Tar Solution Strong 20% + 2% + 12% Paste Topical","13050100","13050200",,,"CPRDGold"
"72908","Salicylic acid 2% in Yellow soft paraffin Salicylic acid 20mg/1gram Ointment Route of administration not applicable","13050202","13060104","18010000",,"CPRDGold"
"1874","Dithrocream 0.1% cream (Dermal Laboratories Ltd) Dithranol 1mg/1gram Cream Cutaneous","13050200",,,,"CPRDGold"
"1016","Cocois ointment (RPH Pharmaceuticals AB) Coal tar solution/Salicylic acid/Sulfur precipitated 120mg/1gram + 20mg/1gram + 40mg/1gram Ointment Cutaneous","13050000",,,,"CPRDGold"
"71174","Dovobet ointment (Lexon (UK) Ltd) Betamethasone dipropionate/Calcipotriol hydrate 500microgram/1gram + 50microgram/1gram Ointment Cutaneous","13040000","13050200",,,"CPRDGold"
"53645","Generic Alphosyl HC cream Allantoin/Hydrocortisone/Coal tar extract 20mg/1gram + 5mg/1gram + 50mg/1gram Cream Cutaneous","13040000","13050200",,,"CPRDGold"
"46255","Coal tar 20% in Yellow soft paraffin Coal tar 200mg/1gram Ointment Route of administration not applicable","13050200","50030000",,,"CPRDGold"
"42494","Polytar Liquid (Stiefel Laboratories (UK) Ltd) 350ml Liquid Paraffin/Coal Tar Solution/Cade Oil/Pine Tar/Arachis Oil Extract Of Crude Coal Tar 350ml Liquid ","13020101","13050200",,,"CPRDGold"
"30227","Alphosyl 2-in-1 Shampoo (Stafford-Miller Ltd) Coal tar extract alcoholic 50mg/1gram Shampoo Cutaneous","13050200","13090100",,,"CPRDGold"
"54001","Salicylic acid 4% in Aqueous cream Salicylic acid 40mg/1gram Cream Cutaneous","13050202","13060104","18010000",,"CPRDGold"
"50737","Cocois ointment (Mawdsley-Brooks & Company Ltd) Coal tar solution/Salicylic acid/Sulfur precipitated 120mg/1gram + 20mg/1gram + 40mg/1gram Ointment Cutaneous","13050000",,,,"CPRDGold"
"9740","Tazarotene 0.1% gel Tazarotene 1mg/1gram Gel Cutaneous","13050202",,,,"CPRDGold"
"77302","Crude coal tar with zinc oxide with starch in pma 4%+2%+12% Paste (Huddersfield Royal Infirmary) Zinc Oxide/Coal Tar Solution Strong 4%+2%+12% Paste ","13050100","13050200",,,"CPRDGold"
"8437","Baltar Liquid (Crookes Healthcare Ltd) Coal tar extract alcoholic 50mg/1gram Shampoo Cutaneous","13050200","13090100",,,"CPRDGold"
"79393","Salicylic acid Ointment (Adams Healthcare) Salicylic acid 20mg/1gram Ointment Cutaneous","13050200","13070000",,,"CPRDGold"
"8443","Salicylic acid 6% gel Salicylic Acid 6% Gel Topical","13050200",,,,"CPRDGold"
"56017","Calcipotriol 50micrograms/g ointment (Sigma Pharmaceuticals Plc) Calcipotriol 50microgram/1gram Ointment Cutaneous","13050200",,,,"CPRDGold"
"68277","Coal tar 1% in Yellow soft paraffin Coal tar 10mg/1gram Ointment Route of administration not applicable","13050200","50030000",,,"CPRDGold"
"17801","Dithranol and salicylic acid 0.5%+0.5% ointment Salicylic Acid/Dithranol 0.5% + 0.5% Ointment Topical","13050200",,,,"CPRDGold"
"59402","Salicylic acid 20% in Emulsifying ointment Salicylic acid 200mg/1gram Ointment Route of administration not applicable","13050202","13070000","18010000",,"CPRDGold"
"64439","Dovobet gel Applicator (LEO Pharma) Calcipotriol monohydrate/Betamethasone dipropionate 50microgram/1gram + 500microgram/1gram Gel Cutaneous","13040000","13050200",,,"CPRDGold"
"62138","Dovobet gel (Waymade Healthcare Plc) Calcipotriol monohydrate/Betamethasone dipropionate 50microgram/1gram + 500microgram/1gram Gel Cutaneous","13040000","13050200",,,"CPRDGold"
