"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"66504","Metronidazole 0.85% gel Metronidazole 8.5mg/1gram Gel Cutaneous","13100102",,,,"CPRDGold"
"49267","Metronidazole 0.75% gel (Kent Pharmaceuticals Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"59755","Metronidazole 0.75% gel (J M McGill Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"39488","Rosiced 0.75% cream (Pierre Fabre Dermo-Cosmetique) Metronidazole 7.5mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"13052","Metrosa 0.75% gel (M & A Pharmachem Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"48753","Metrogel 0.75% gel (Necessity Supplies Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"28043","Azelaic acid 15% gel Azelaic acid 150mg/1gram Gel Cutaneous","13060101",,,,"CPRDGold"
"51282","Rozex 0.75% gel (Lexon (UK) Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"10186","Zyomet 0.75% gel (Advanz Pharma) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"2325","Metrogel 0.75% gel (Galderma (UK) Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"9884","Anabact 0.75% gel (Cambridge Healthcare Supplies Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"55732","Metronidazole 0.75% gel (Waymade Healthcare Plc) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"74139","Rozex 0.75% cream (Lexon (UK) Ltd) Metronidazole 7.5mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"67286","Rozex 0.75% cream (Mawdsley-Brooks & Company Ltd) Metronidazole 7.5mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"49419","Rozex 0.75% gel (Necessity Supplies Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"80793","Metronidazole 0.75% gel (DE Pharmaceuticals) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"13263","Acea 0.75% gel (Ferndale Pharmaceuticals Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"5640","Noritate 1% Cream (Kestrel Healthcare Ltd) Metronidazole 10mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"69523","Metronidazole 0.75% gel (Niche Pharma Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"4112","Metronidazole 0.8% gel Metronidazole 8mg/1ml Gel Cutaneous","05011100","13100102",,,"CPRDGold"
"4855","Rozex 0.75% gel (Galderma (UK) Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"60542","Mirvaso 3mg/g gel (Galderma (UK) Ltd) Brimonidine tartrate 3mg/1gram Gel Cutaneous","13060300",,,,"CPRDGold"
"2673","Skinoren 20% cream (LEO Pharma) Azelaic acid 200mg/1gram Cream Cutaneous","13060101",,,,"CPRDGold"
"4636","Rozex 0.75% cream (Galderma (UK) Ltd) Metronidazole 7.5mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"50923","Metrogel 0.75% gel (DE Pharmaceuticals) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"1675","Metrotop 0.8% gel (Molnlycke Health Care Ltd) Metronidazole 8mg/1ml Gel Cutaneous","05011100","13100102",,,"CPRDGold"
"67387","Metronidazole 2% cream Metronidazole 20mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"51132","Metrogel 0.75% gel (Mawdsley-Brooks & Company Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"64411","Soolantra 10mg/g cream (Galderma (UK) Ltd) Ivermectin 10mg/1gram Cream Cutaneous","13060300",,,,"CPRDGold"
"41748","Metronidazole 0.75% gel (A A H Pharmaceuticals Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"56359","Rozex 0.75% gel (Sigma Pharmaceuticals Plc) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"76987","Skinoren 20% cream (Mawdsley-Brooks & Company Ltd) Azelaic acid 200mg/1gram Cream Cutaneous","13060101",,,,"CPRDGold"
"72114","Noritate 1% cream (Kestrel Healthcare Ltd) Metronidazole 10mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"363","Metronidazole 0.75% cream Metronidazole 7.5mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"5093","Azelaic acid 20% cream Azelaic acid 200mg/1gram Cream Cutaneous","13060101",,,,"CPRDGold"
"11278","Metronidazole 1% cream Metronidazole 10mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
"3961","Metronidazole 0.75% gel Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"76069","Metronidazole 0.75% gel (Ennogen Healthcare Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"51471","Rozex 0.75% gel (DE Pharmaceuticals) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"7408","Finacea 15% gel (LEO Pharma) Azelaic acid 150mg/1gram Gel Cutaneous","13060101",,,,"CPRDGold"
"25695","Neutratop 0.75% Gel (Smith & Nephew Healthcare Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"48452","Metronidazole 0.75% gel (Sigma Pharmaceuticals Plc) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"75544","Metronidazole 0.75% gel (AM Distributions (Yorkshire) Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"61159","Brimonidine 3mg/g gel Brimonidine tartrate 3mg/1gram Gel Cutaneous","13060300",,,,"CPRDGold"
"64380","Ivermectin 10mg/g cream Ivermectin 10mg/1gram Cream Cutaneous","13060300",,,,"CPRDGold"
"74225","Rozex 0.75% gel (Mawdsley-Brooks & Company Ltd) Metronidazole 7.5mg/1gram Gel Cutaneous/Vaginal","13100102",,,,"CPRDGold"
"72923","Metronidazole 0.75% cream (A A H Pharmaceuticals Ltd) Metronidazole 7.5mg/1gram Cream Cutaneous","13100102",,,,"CPRDGold"
