"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"64785","Paroxetine 30mg tablets (Alliance Healthcare (Distribution) Ltd) Paroxetine hydrochloride 30mg Tablet Oral","04030300",,,,"CPRDGold"
"2290","Fluvoxamine 100mg tablets Fluvoxamine maleate 100mg Tablet Oral","04030300",,,,"CPRDGold"
"52824","Citalopram 10mg tablets (PLIVA Pharma Ltd) Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"67562","Fluoxetine 40mg capsules Fluoxetine hydrochloride 40mg Capsule Oral","04030300",,,,"CPRDGold"
"75697","Citalopram 10mg tablets (Phoenix Healthcare Distribution Ltd) Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"30258","Fluoxetine 20mg/5ml oral solution (Teva UK Ltd) Fluoxetine hydrochloride 4mg/1ml Oral solution Oral","04030300",,,,"CPRDGold"
"34288","Fluoxetine 20mg capsules (Mylan) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"62927","Sertraline 50mg tablets (Wockhardt UK Ltd) Sertraline hydrochloride 50mg Tablet Oral","04030300",,,,"CPRDGold"
"67888","Fluoxetine 60mg capsules (Kent Pharmaceuticals Ltd) Fluoxetine hydrochloride 60mg Capsule Oral","04030300",,,,"CPRDGold"
"3391","Dutonin 100mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd) Nefazodone hydrochloride 100mg Tablet Oral","04030300",,,,"CPRDGold"
"45224","Fluoxetine 20mg capsules (Sandoz Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"34499","Citalopram 10mg tablets (Sandoz Ltd) Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"46926","Citalopram 40mg tablets (Zentiva) Citalopram hydrobromide 40mg Tablet Oral","04030300",,,,"CPRDGold"
"26056","Cipralex 10mg/ml oral drops (Lundbeck Ltd) Escitalopram oxalate 10mg/1ml Oral drops Oral","04030300",,,,"CPRDGold"
"4770","Citalopram 40mg tablets Citalopram hydrobromide 40mg Tablet Oral","04030300",,,,"CPRDGold"
"67431","Fluoxetine 10mg capsules Fluoxetine hydrochloride 10mg Capsule Oral","04030300",,,,"CPRDGold"
"34413","Citalopram 10mg tablets (Zentiva) Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"35021","Paroxetine 10mg tablets Paroxetine hydrochloride 10mg Tablet Oral","04030300",,,,"CPRDGold"
"34966","Citalopram 20mg tablets (Teva UK Ltd) Citalopram hydrobromide 20mg Tablet Oral","04030300",,,,"CPRDGold"
"79494","Fluoxetine 60mg capsules (A A H Pharmaceuticals Ltd) Fluoxetine hydrochloride 60mg Capsule Oral","04030300",,,,"CPRDGold"
"60839","Citalopram 40mg tablets (Almus Pharmaceuticals Ltd) Citalopram hydrobromide 40mg Tablet Oral","04030300",,,,"CPRDGold"
"69898","Sertraline 50mg tablets (Sandoz Ltd) Sertraline hydrochloride 50mg Tablet Oral","04030300",,,,"CPRDGold"
"63953","Cipramil 20mg tablets (DE Pharmaceuticals) Citalopram hydrobromide 20mg Tablet Oral","04030300",,,,"CPRDGold"
"60962","Fluoxetine 20mg capsules (Alliance Healthcare (Distribution) Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"79383","Paroxetine 30mg Tablet (Neo Laboratories Ltd) Paroxetine hydrochloride 30mg Tablet Oral","04030300",,,,"CPRDGold"
"815","Cipramil 40mg/ml drops (Lundbeck Ltd) Citalopram hydrochloride 40mg/1ml Oral drops Oral","04030300",,,,"CPRDGold"
"6405","Escitalopram 5mg tablets Escitalopram oxalate 5mg Tablet Oral","04030300",,,,"CPRDGold"
"4297","Dutonin 200mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd) Nefazodone hydrochloride 200mg Tablet Oral","04030300",,,,"CPRDGold"
"34856","Fluoxetine 60mg capsules (Mylan) Fluoxetine hydrochloride 60mg Capsule Oral","04030300",,,,"CPRDGold"
"68266","Fluoxetine 20mg/5ml oral solution sugar free (Actavis UK Ltd) Fluoxetine hydrochloride 4mg/1ml Oral solution Oral","04030300",,,,"CPRDGold"
"727","Sertraline 100mg tablets Sertraline hydrochloride 100mg Tablet Oral","04030300",,,,"CPRDGold"
"69542","Prozac 20mg capsules (Necessity Supplies Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"44944","Sertraline 100mg tablets (Teva UK Ltd) Sertraline hydrochloride 100mg Tablet Oral","04030300",,,,"CPRDGold"
"34456","Fluoxetine 20mg capsules (Teva UK Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"73414","Fluoxetine 20mg/5ml oral solution (Pinewood Healthcare) Fluoxetine hydrochloride 4mg/1ml Oral solution Oral","04030300",,,,"CPRDGold"
"78626","Sertraline 15mg/5ml oral suspension Sertraline hydrochloride 3mg/1ml Oral suspension Oral","04030300",,,,"CPRDGold"
"67758","Prozac 20mg capsules (DE Pharmaceuticals) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"67","Citalopram 20mg tablets Citalopram hydrobromide 20mg Tablet Oral","04030300",,,,"CPRDGold"
"12123","Faverin 100mg tablets (Mylan) Fluvoxamine maleate 100mg Tablet Oral","04030300",,,,"CPRDGold"
"2408","Cipramil 40mg tablets (Lundbeck Ltd) Citalopram hydrobromide 40mg Tablet Oral","04030300",,,,"CPRDGold"
"32546","Paxoran 10mg Tablet (Ranbaxy (UK) Ltd) Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"60534","Fluoxetine 20mg dispersible tablets sugar free Fluoxetine hydrochloride 20mg Dispersible tablet Oral","04030300",,,,"CPRDGold"
"63916","Escitalopram 10mg tablets (Actavis UK Ltd) Escitalopram oxalate 10mg Tablet Oral","04030300",,,,"CPRDGold"
"49519","Sertraline 100mg/5ml oral suspension Sertraline hydrochloride 20mg/1ml Oral suspension Oral","04030300",,,,"CPRDGold"
"77538","Sertraline 50mg/5ml oral suspension (Drug Tariff Special Order) Sertraline hydrochloride 10mg/1ml Oral suspension Oral","04030300",,,,"CPRDGold"
"43519","Citalopram 40mg Tablet (Neo Laboratories Ltd) Citalopram hydrobromide 40mg Tablet Oral","04030300",,,,"CPRDGold"
"785","Cipralex 5mg tablets (Lundbeck Ltd) Escitalopram oxalate 5mg Tablet Oral","04030300",,,,"CPRDGold"
"59193","Citalopram 10mg tablets (Ranbaxy (UK) Ltd) Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"55537","Seroxat 30mg tablets (Lexon (UK) Ltd) Paroxetine hydrochloride 30mg Tablet Oral","04030300",,,,"CPRDGold"
"77707","Sertraline 75mg/5ml oral suspension Sertraline hydrochloride 15mg/1ml Oral suspension Oral","04030300",,,,"CPRDGold"
"34603","Citalopram 40mg tablets (Mylan) Citalopram hydrobromide 40mg Tablet Oral","04030300",,,,"CPRDGold"
"32848","Citalopram 10mg tablets (Actavis UK Ltd) Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"38890","Fluoxetine 20mg Capsule (Milpharm Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"62155","Fluoxetine 20mg capsules (Phoenix Healthcare Distribution Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"67736","Fluoxetine 20mg capsules (Dr Reddy's Laboratories (UK) Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"34202","Fluoxetine 20mg capsules (Genus Pharmaceuticals Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"73668","Paroxetine 20mg tablets (Almus Pharmaceuticals Ltd) Paroxetine hydrochloride 20mg Tablet Oral","04030300",,,,"CPRDGold"
"20152","Escitalopram 10mg/ml oral drops sugar free Escitalopram oxalate 10mg/1ml Oral drops Oral","04030300",,,,"CPRDGold"
"37256","Prozep 20mg/5ml oral solution (Chemidex Pharma Ltd) Fluoxetine hydrochloride 4mg/1ml Oral solution Oral","04030300",,,,"CPRDGold"
"75247","Fluoxetine 60mg capsules (Advanz Pharma) Fluoxetine hydrochloride 60mg Capsule Oral","04030300",,,,"CPRDGold"
"79163","Sertraline 50mg tablets (Kent Pharmaceuticals Ltd) Sertraline hydrochloride 50mg Tablet Oral","04030300",,,,"CPRDGold"
"32899","Paroxetine 20mg tablets (Accord Healthcare Ltd) Paroxetine hydrochloride 20mg Tablet Oral","04030300",,,,"CPRDGold"
"80702","Prozac 20mg/5ml liquid (Lexon (UK) Ltd) Fluoxetine hydrochloride 4mg/1ml Oral solution Oral","04030300",,,,"CPRDGold"
"78278","Sertraline 12.5mg tablets Sertraline hydrochloride 12.5mg Tablet Oral","04030300",,,,"CPRDGold"
"67097","Citalopram 20mg tablets (Accord Healthcare Ltd) Citalopram hydrobromide 20mg Tablet Oral","04030300",,,,"CPRDGold"
"66413","Sertraline 100mg tablets (Ranbaxy (UK) Ltd) Sertraline hydrochloride 100mg Tablet Oral","04030300",,,,"CPRDGold"
"67730","Sertraline 50mg tablets (Ranbaxy (UK) Ltd) Sertraline hydrochloride 50mg Tablet Oral","04030300",,,,"CPRDGold"
"476","Citalopram 10mg tablets Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"71848","Citalopram 20mg/5ml oral suspension Citalopram hydrobromide 4mg/1ml Oral suspension Oral","04030300",,,,"CPRDGold"
"75952","Sertraline 50mg tablets (Tillomed Laboratories Ltd) Sertraline hydrochloride 50mg Tablet Oral","04030300",,,,"CPRDGold"
"80820","Cipralex 20mg tablets (DE Pharmaceuticals) Escitalopram oxalate 20mg Tablet Oral","04030300",,,,"CPRDGold"
"75943","Prozac 20mg/5ml liquid (Necessity Supplies Ltd) Fluoxetine hydrochloride 4mg/1ml Oral solution Oral","04030300",,,,"CPRDGold"
"488","Sertraline 50mg tablets Sertraline hydrochloride 50mg Tablet Oral","04030300",,,,"CPRDGold"
"79590","Fluoxetine 30mg capsules (Medreich Plc) Fluoxetine hydrochloride 30mg Capsule Oral","04030300",,,,"CPRDGold"
"68325","Paroxetine 40mg tablets Paroxetine hydrochloride 40mg Tablet Oral","04030300",,,,"CPRDGold"
"79506","Fluoxetine 20mg capsules (Bristol Laboratories Ltd) Fluoxetine hydrochloride 20mg Capsule Oral","04030300",,,,"CPRDGold"
"4075","Fluoxetine 60mg capsules Fluoxetine hydrochloride 60mg Capsule Oral","04030300",,,,"CPRDGold"
"513","Citalopram 40mg/ml oral drops sugar free Citalopram hydrochloride 40mg/1ml Oral drops Oral","04030300",,,,"CPRDGold"
"6360","Cipralex 20mg tablets (Lundbeck Ltd) Escitalopram oxalate 20mg Tablet Oral","04030300",,,,"CPRDGold"
"34356","Citalopram 20mg tablets (A A H Pharmaceuticals Ltd) Citalopram hydrobromide 20mg Tablet Oral","04030300",,,,"CPRDGold"
"75075","Citalopram 40mg tablets (Alliance Healthcare (Distribution) Ltd) Citalopram hydrobromide 40mg Tablet Oral","04030300",,,,"CPRDGold"
"2548","Fluoxetine 20mg/5ml oral solution Fluoxetine hydrochloride 4mg/1ml Oral solution Oral","04030300",,,,"CPRDGold"
"1712","Cipramil 20mg tablets (Lundbeck Ltd) Citalopram hydrobromide 20mg Tablet Oral","04030300",,,,"CPRDGold"
"34216","Fluoxetine 20mg/5ml oral solution (A A H Pharmaceuticals Ltd) Fluoxetine hydrochloride 4mg/1ml Oral solution Oral","04030300",,,,"CPRDGold"
"52100","Citalopram 10mg tablets (Arrow Generics Ltd) Citalopram hydrobromide 10mg Tablet Oral","04030300",,,,"CPRDGold"
"55488","Sertraline 50mg tablets (Teva UK Ltd) Sertraline hydrochloride 50mg Tablet Oral","04030300",,,,"CPRDGold"
