"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"41330","Galpharm Athletes Foot 1% cream (Galpharm International Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"1770","Clotrimazole 1% solution Clotrimazole 10mg/1ml Liquid Cutaneous","12010152","13100200",,,"CPRDGold"
"43503","Clotrimazole 1% cream (PLIVA Pharma Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"1091","Nizoral 2% cream (Janssen-Cilag Ltd) Ketoconazole 20mg/1gram Cream Cutaneous","13100200",,,,"CPRDGold"
"194","Canesten 1% cream (Bayer Plc) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"22437","Fungederm 1% cream (Nucare Plc) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"8067","Miconazole Twin pack Miconazole Nitrate  Twin Pack ","13100200",,,,"CPRDGold"
"38153","Clotrimazole 1% cream (Thornton & Ross Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"1265","Clotrimazole 1% with Hydrocortisone 1% cream Hydrocortisone/Clotrimazole 1% + 1% Cream Topical","13040200","13100200",,,"CPRDGold"
"51934","Canesten 1% cream (Lexon (UK) Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"71501","Clotrimazole 1% cream (Dowelhurst Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"16868","Daktarin Gold 2% cream (McNeil Products Ltd) Ketoconazole 20mg/1gram Cream Cutaneous","13100200",,,,"CPRDGold"
"23559","Acorvio 2% cream (Ferndale Pharmaceuticals Ltd) Miconazole nitrate 20mg/1gram Cream Cutaneous","13100200",,,,"CPRDGold"
"1968","Miconazole 2% cream Miconazole nitrate 20mg/1gram Cream Cutaneous","13100200",,,,"CPRDGold"
"5321","Miconazole with hydrocortisone 2% with 1% Ointment Hydrocortisone Acetate/Miconazole Nitrate 2% + 1% Ointment Topical","13040200","13100200",,,"CPRDGold"
"40169","Clotrimazole 1% cream (Vantage) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"1677","Miconazole with hydrocortisone 2% with 1% Cream Hydrocortisone Acetate/Miconazole Nitrate 2% + 1% Cream Topical","13040200","13100200",,,"CPRDGold"
"5131","Daktarin 2% powder (McNeil Products Ltd) Miconazole nitrate 20mg/1gram Powder Cutaneous","13100200",,,,"CPRDGold"
"75822","Clotrimazole 1% cream (Numark Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"50229","Canesten 1% cream (DE Pharmaceuticals) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"3575","Lotriderm Cream (Dominion Pharma) Clotrimazole/Betamethasone dipropionate 10mg/1gram + 640microgram/1gram Cream Cutaneous","13040400","13100200",,,"CPRDGold"
"34442","Clotrimazole 1% cream (Teva UK Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"26158","Clotrimazole 1% cream (Mylan) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"36063","Canesten Antifungal 1% cream (Bayer Plc) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"59160","Galpharm Thrush Relief 1% cream (Galpharm International Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"35098","Canesten Dual Action 1% cream (Bayer Plc) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"77244","Clotrimazole 1% cream (Almus Pharmaceuticals Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
"1949","Ketoconazole 2% cream Ketoconazole 20mg/1gram Cream Cutaneous","13100200",,,,"CPRDGold"
"5965","Candiden 1% cream (Akita Pharmaceuticals Ltd) Clotrimazole 10mg/1gram Cream Cutaneous","07020250","13100200",,,"CPRDGold"
