DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
73419,Trazodone 150mg tablets (A A H Pharmaceuticals Ltd) Trazodone hydrochloride 150mg Tablet Oral,4030100,,,,CPRDGold
64458,Clomipramine 25mg/5ml oral suspension Clomipramine hydrochloride 5mg/1ml Oral suspension Oral,4030100,,,,CPRDGold
35493,Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd) Doxepin hydrochloride 50mg Capsule Oral,4030100,,,,CPRDGold
12309,Viloxazine hcl 50mg tablets Viloxazine Hydrochloride 50mg Tablets Oral,4030100,,,,CPRDGold
73639,Trazodone 100mg capsules (Actavis UK Ltd) Trazodone hydrochloride 100mg Capsule Oral,4030100,,,,CPRDGold
3842,Doxepin 10mg capsules Doxepin hydrochloride 10mg Capsule Oral,4030100,,,,CPRDGold
24723,Asendis 150mg Tablet (Wyeth Pharmaceuticals) Amoxapine 150mg Tablet Oral,4030100,,,,CPRDGold
57978,Trimipramine 25mg tablets (Waymade Healthcare Plc) Trimipramine maleate 25mg Tablet Oral,4030100,,,,CPRDGold
12100,Maprotiline 50mg tablets Maprotiline hydrochloride 50mg Tablet Oral,4030100,,,,CPRDGold
55970,Nortriptyline 10mg tablets (King Pharmaceuticals Ltd) Nortriptyline hydrochloride 10mg Tablet Oral,4030100,7040251,,,CPRDGold
35258,Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd) Doxepin hydrochloride 25mg Capsule Oral,4030100,,,,CPRDGold
41681,Imipramine 10mg tablets (A A H Pharmaceuticals Ltd) Imipramine hydrochloride 10mg Tablet Oral,4030100,7040251,,,CPRDGold
56703,Lofepramine 70mg tablets (Sandoz Ltd) Lofepramine hydrochloride 70mg Tablet Oral,4030100,,,,CPRDGold
62681,Dosulepin 75mg tablets (Sandoz Ltd) Dosulepin hydrochloride 75mg Tablet Oral,4030100,,,,CPRDGold
34578,Lofepramine 70mg tablets (IVAX Pharmaceuticals UK Ltd) Lofepramine hydrochloride 70mg Tablet Oral,4030100,,,,CPRDGold
34470,Trazodone 150mg tablets (Zentiva) Trazodone hydrochloride 150mg Tablet Oral,4030100,,,,CPRDGold
1809,Imipramine 25mg tablets Imipramine hydrochloride 25mg Tablet Oral,4030100,7040251,,,CPRDGold
66749,Trazodone 10mg/5ml oral solution Trazodone hydrochloride 2mg/1ml Oral solution Oral,4030100,,,,CPRDGold
31672,Prondol 30mg Tablet (Wyeth Pharmaceuticals) Iprindole 30mg Tablet Oral,4030100,,,,CPRDGold
34355,Imipramine 25mg tablets (Accord Healthcare Ltd) Imipramine hydrochloride 25mg Tablet Oral,4030100,7040251,,,CPRDGold
7059,Doxepin 75mg capsules Doxepin hydrochloride 75mg Capsule Oral,4030100,,,,CPRDGold
41628,Clomipramine 10mg capsules (IVAX Pharmaceuticals UK Ltd) Clomipramine hydrochloride 10mg Capsule Oral,4030100,,,,CPRDGold
78057,Clomipramine 5mg/5ml oral solution Clomipramine hydrochloride 1mg/1ml Oral solution Oral,4030100,,,,CPRDGold
70838,Dosulepin 25mg Capsule (Celltech Pharma Europe Ltd) Dosulepin hydrochloride 25mg Capsule Oral,4030100,,,,CPRDGold
39145,Nortriptyline 10mg/5ml Liquid Nortriptyline Hydrochloride 10mg/5ml Liquid Oral,4030100,4070300,,,CPRDGold
12129,Sinequan 25mg capsules (Pfizer Ltd) Doxepin hydrochloride 25mg Capsule Oral,4030100,,,,CPRDGold
21819,Prepadine 75mg tablets (Teva UK Ltd) Dosulepin hydrochloride 75mg Tablet Oral,4030100,,,,CPRDGold
42734,Dosulepin 75mg tablets (Almus Pharmaceuticals Ltd) Dosulepin hydrochloride 75mg Tablet Oral,4030100,,,,CPRDGold
29875,Dosulepin 25mg capsules (Mylan) Dosulepin hydrochloride 25mg Capsule Oral,4030100,,,,CPRDGold
67990,Prothiaden 25mg capsules (Sigma Pharmaceuticals Plc) Dosulepin hydrochloride 25mg Capsule Oral,4030100,,,,CPRDGold
34046,Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd) Lofepramine hydrochloride 70mg Tablet Oral,4030100,,,,CPRDGold
58450,Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd) Lofepramine hydrochloride 70mg Tablet Oral,4030100,,,,CPRDGold
50722,Dosulepin 25mg/5ml oral solution Dosulepin hydrochloride 5mg/1ml Oral solution Oral,4030100,,,,CPRDGold
31824,Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd) Dosulepin hydrochloride 25mg Capsule Oral,4030100,,,,CPRDGold
29339,Trazodone 50mg capsules (Mylan) Trazodone hydrochloride 50mg Capsule Oral,4030100,,,,CPRDGold
19168,Dosulepin 25mg/5ml mixture Dosulepin Hydrochloride 25mg/5ml Mixture Oral,4030100,,,,CPRDGold
62620,Clomipramine 10mg capsules (Mylan) Clomipramine hydrochloride 10mg Capsule Oral,4030100,,,,CPRDGold
20571,Fluphenazine with nortriptyline 500microgramswith10mg Tablet Fluphenazine Hydrochloride/Nortriptyline Hydrochloride 500mcg + 10mg Tablet Oral,4030100,,,,CPRDGold
3183,Nortriptyline 10mg tablets Nortriptyline hydrochloride 10mg Tablet Oral,4030100,7040251,,,CPRDGold
68228,Nortriptyline 10mg/5ml oral suspension Nortriptyline hydrochloride 2mg/1ml Oral suspension Oral,4030100,7040251,,,CPRDGold
45737,Dosulepin 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd) Dosulepin Hydrochloride 25mg/5ml Oral Solution Oral,4030100,,,,CPRDGold
34058,Dosulepin 75mg tablets (Teva UK Ltd) Dosulepin hydrochloride 75mg Tablet Oral,4030100,,,,CPRDGold
76480,Trazodone 150mg tablets (Alliance Healthcare (Distribution) Ltd) Trazodone hydrochloride 150mg Tablet Oral,4030100,,,,CPRDGold
3670,Clomipramine 25mg capsules Clomipramine hydrochloride 25mg Capsule Oral,4030100,,,,CPRDGold
34003,Trazodone 50mg capsules (A A H Pharmaceuticals Ltd) Trazodone hydrochloride 50mg Capsule Oral,4030100,,,,CPRDGold
1310,Imipramine 10mg tablets Imipramine hydrochloride 10mg Tablet Oral,4030100,7040251,,,CPRDGold
14398,Asendis 50mg Tablet (Wyeth Pharmaceuticals) Amoxapine 50mg Tablet Oral,4030100,,,,CPRDGold
4411,Amoxapine 150mg tablets Amoxapine 150mg Tablets Oral,4030100,,,,CPRDGold
65762,Clomipramine 25mg capsules (Waymade Healthcare Plc) Clomipramine hydrochloride 25mg Capsule Oral,4030100,,,,CPRDGold
70521,Trazodone 50mg/5ml oral solution sugar free (Advanz Pharma) Trazodone hydrochloride 10mg/1ml Oral solution Oral,4030100,,,,CPRDGold
73636,Trazodone 150mg tablets (Actavis UK Ltd) Trazodone hydrochloride 150mg Tablet Oral,4030100,,,,CPRDGold
