"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"6385","Hydrocortisone butyrate 0.1% scalp lotion Hydrocortisone butyrate 1mg/1ml Liquid Cutaneous","13040400",,,,"CPRDGold"
"64321","Betamethasone valerate 0.1% ointment (Actavis UK Ltd) Betamethasone valerate 1mg/1gram Ointment Cutaneous","13040000","13040400",,,"CPRDGold"
"28359","Fluclorolone acetonide 0.025%w/w Ointment Fluclorolone Acetonide/Propylene Glycol/Fatty Alcohols 0.025%w/w Ointment Topical","13040400",,,,"CPRDGold"
"5096","Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application Salicylic acid/Betamethasone dipropionate 20mg/1ml + 500microgram/1ml Liquid Cutaneous","13040400",,,,"CPRDGold"
"80706","ClobaDerm 0.05% cream (Accord Healthcare Ltd) Clobetasol propionate 500microgram/1gram Cream Cutaneous","13040000","13040500",,,"CPRDGold"
"43526","Hydrocortisone 0.5% eye ointment (Martindale Pharmaceuticals Ltd) Hydrocortisone acetate 5mg/1gram Eye ointment Ocular","13040200",,,,"CPRDGold"
"34900","Hydrocortisone 1% Cream (Celltech Pharma Europe Ltd) Hydrocortisone 10mg/1gram Cream Cutaneous","13040200",,,,"CPRDGold"
"74072","Coal tar 5% in Betamethasone dipropionate 0.05% ointment Coal tar/Betamethasone dipropionate 50mg/1gram + 475microgram/1gram Ointment Route of administration not applicable","13040000","13040400","13500000",,"CPRDGold"
"24849","Fludroxycortide 0.05% Ointment Fludroxycortide 0.05% Ointment Topical","13040300",,,,"CPRDGold"
"8727","Eczederm with hydrocortisone Cream (Quinoderm Ltd) Calamine/Hydrocortisone  Cream Topical","13040200",,,,"CPRDGold"
"59914","Derma Care Hydrocortisone 1% cream (The Boots Company Plc) Hydrocortisone 10mg/1gram Cream Cutaneous","13040000","13040200",,,"CPRDGold"
"18300","Ledercort Cream (Wyeth Pharmaceuticals) Triamcinolone Acetonide  Cream Topical","13040400",,,,"CPRDGold"
"3300","Genticin with hydrocortisone Cream (Nicholas Laboratories Ltd) Gentamicin Sulphate/Hydrocortisone Acetate  Cream Topical","13040200","13100102",,,"CPRDGold"
"1915","Mometasone 0.1% cream Mometasone furoate 1mg/1gram Cream Cutaneous","13040000","13040400",,,"CPRDGold"
"42085","Betamethasone valerate 0.1% ointment (A A H Pharmaceuticals Ltd) Betamethasone valerate 1mg/1gram Ointment Cutaneous","13040000","13040400",,,"CPRDGold"
"7637","Clobetasol propionate with neomycin ointment Neomycin/Clobetasol Propionate  Ointment Topical","13040500","13100101",,,"CPRDGold"
"1717","Diprosalic 0.05%/2% scalp application (Merck Sharp & Dohme Ltd) Salicylic acid/Betamethasone dipropionate 20mg/1ml + 500microgram/1ml Liquid Cutaneous","13040000","13040400",,,"CPRDGold"
"70408","Fludroxycortide 4micrograms/square cm tape 7.5cm (Typharm Ltd) Fludroxycortide 4microgram/1square cm Impregnated dressing Cutaneous","13040000","13040300",,,"CPRDGold"
"4486","Ultralanum Plain ointment (Meadow Laboratories Ltd) Fluocortolone/Fluocortolone hexanoate 2.5mg/1gram + 2.5mg/1gram Ointment Cutaneous","13040300",,,,"CPRDGold"
"78596","Elocon 0.1% scalp lotion (DE Pharmaceuticals) Mometasone furoate 1mg/1gram Liquid Cutaneous","13040000","13040400",,,"CPRDGold"
"3124","Fludroxycortide 0.0125% cream Fludroxycortide 125microgram/1gram Cream Cutaneous","13040300",,,,"CPRDGold"
"4158","Pevaryl TC Cream (Lorex Synthelabo Ltd) Econazole Nitrate/Triamcinolone Acetonide  Cream Topical","13040400","13100200",,,"CPRDGold"
"67277","Dovobet ointment (Waymade Healthcare Plc) Betamethasone dipropionate/Calcipotriol hydrate 500microgram/1gram + 50microgram/1gram Ointment Cutaneous","13040000","13050200",,,"CPRDGold"
"74073","Coal tar solution 5% / Salicylic acid 3% in Clobetasone 0.05% ointment Salicylic acid/Coal tar solution/Clobetasone butyrate 30mg/1gram + 50mg/1gram + 460microgram/1gram Ointment Cutaneous","13040000","13500000",,,"CPRDGold"
"18095","Fluocinolone acetonide 0.025% / Clioquinol 3% cream Clioquinol/Fluocinolone acetonide 30mg/1gram + 250microgram/1gram Cream Cutaneous","13040000","13040100","13040400",,"CPRDGold"
"61772","Betamethasone valerate 0.025% cream (A A H Pharmaceuticals Ltd) Betamethasone valerate 250microgram/1gram Cream Cutaneous","13040300",,,,"CPRDGold"
"33649","Hydrocortisone 1% Cream (Teva UK Ltd) Hydrocortisone 10mg/1gram Cream Cutaneous","13040200",,,,"CPRDGold"
"71902","Coal tar solution 5% in Betamethasone valerate 0.025% cream Betamethasone valerate/Coal tar solution 237.5microgram/1gram + 50mg/1gram Cream Route of administration not applicable","13040000","13500000",,,"CPRDGold"
"34207","Tridesilon 0.05% Cream (Lagap) Desonide 0.05% Cream Topical","13040400",,,,"CPRDGold"
"79838","Dovobet gel (Pilsco Ltd) Calcipotriol monohydrate/Betamethasone dipropionate 50microgram/1gram + 500microgram/1gram Gel Cutaneous","13040000","13050200",,,"CPRDGold"
"34906","Hydrocortisone 1% Ointment (Celltech Pharma Europe Ltd) Hydrocortisone 10mg/1gram Ointment Cutaneous","13040200",,,,"CPRDGold"
"64802","Beclometasone 0.025% in Aqueous cream Beclometasone dipropionate 250microgram/1gram Cream Route of administration not applicable","13040000","13040400",,,"CPRDGold"
"2190","Hydrocortisone 0.125% Cream Hydrocortisone 0.125% Cream Topical","13040200",,,,"CPRDGold"
"54142","ClobaDerm 0.05% cream (Auden McKenzie (Pharma Division) Ltd) Clobetasol propionate 500microgram/1gram Cream Cutaneous","13040000","13040500",,,"CPRDGold"
"3862","Adcortyl 0.10% Cream (E R Squibb and Sons Ltd) Triamcinolone Acetonide 0.10% Cream Topical","13040400",,,,"CPRDGold"
"3366","Betamethasone valerate 0.025% cream Betamethasone valerate 250microgram/1gram Cream Cutaneous","13040000","13040300",,,"CPRDGold"
