"Code","Description","MedicalFrequency","AHDFrequency"
"G573400","Permanent atrial fibrillation","299","0"
"G573500","Persistent atrial fibrillation","471","0"
"G573200","Paroxysmal atrial fibrillation","68247","33"
"G573300","Non-rheumatic atrial fibrillation","201","0"
"G573600","Paroxysmal atrial flutter","195","0"
"G573000","Atrial fibrillation","414289","1695"
"G573100","Atrial flutter","19149","11"
"G573.00","Atrial fibrillation and flutter","148796","261"
"3272.00","ECG: atrial fibrillation","8164","86059"
"14AN.00","H/O: atrial fibrillation","15925","27"
"G573z00","Atrial fibrillation and flutter NOS","1985","1"
"3273.00","ECG: atrial flutter","1600","4174"
"14AR.00","History of atrial flutter","1066","1"
