"Code","Description","MedicalFrequency","AHDFrequency"
"8795.00","Asthma control step 2","170823","3053"
"H330000","Extrinsic asthma without status asthmaticus","1357","842"
"H331.11","Late onset asthma","4505","493"
"679J.00","Health education - asthma","7182","125989"
"H334.00","Brittle asthma","805","189"
"663d.00","Emergency asthma admission since last appointment","1444","8565"
"9OJ5.00","Asthma monitor 2nd letter","641981","186"
"8B3j.00","Asthma medication review","103985","1535571"
"H33z100","Asthma attack","64702","11303"
"1782.00","Asthma trigger - tobacco smoke","10010","0"
"663t.00","Asthma causes daytime symptoms 1 to 2 times per month","7001","150104"
"66YQ.00","Asthma monitoring by nurse","95951","1"
"388t.00","Royal College of Physicians asthma assessment","4390","28090"
"663Q.00","Asthma not limiting activities","332556","1309831"
"66YC.00","Absent from work or school due to asthma","3468","3200"
"663V200","Moderate asthma","1668","13713"
"66YK.00","Asthma follow-up","867783","1417"
"H33..11","Bronchial asthma","44262","2218"
"H330111","Extrinsic asthma with asthma attack","1656","178"
"663V.00","Asthma severity","916","167843"
"H33zz00","Asthma NOS","174644","54127"
"663q.00","Asthma daytime symptoms","78511","998406"
"H331.00","Intrinsic asthma","9820","3838"
"9OJ2.00","Refuses asthma monitoring","74436","0"
"663e000","Asthma sometimes restricts exercise","6932","138942"
"H33z111","Asthma attack NOS","1591","894"
"1785.00","Asthma trigger - damp","12730","0"
"663y.00","Number of asthma exacerbations in past year","8740","119766"
"663N.00","Asthma disturbing sleep","73154","135613"
"663P100","Asthma limits activities 1 to 2 times per week","1748","6825"
"663N200","Asthma disturbs sleep frequently","6937","10674"
"663j.00","Asthma - currently active","5147","10632"
"9OJB.00","Asthma monitorng invit SMS (short message servce) txt messge","5370","0"
"8797.00","Asthma control step 4","14417","154"
"H331111","Intrinsic asthma with asthma attack","137","31"
"1780.00","Aspirin induced asthma","448","0"
"663W.00","Asthma prophylactic medication used","843","44241"
"663..11","Asthma monitoring","1695681","458993"
"H332.00","Mixed asthma","773","288"
"679J100","Health education - structured asthma discussion","37","2775"
"H33z.00","Asthma unspecified","39151","18407"
"1788.00","Asthma trigger - cold air","34506","0"
"9OJ3.00","Asthma monitor offer default","13314","0"
"663r.00","Asthma causes night symptoms 1 to 2 times per month","1801","46835"
"661N100","Asthma self-management plan review","767","0"
"66Y9.00","Step up change in asthma management plan","27677","162"
"663O.00","Asthma not disturbing sleep","344481","1342283"
"66Yz000","Asthma management plan declined","807","0"
"66YA.00","Step down change in asthma management plan","14102","97"
"9NNX.00","Under care of asthma specialist nurse","97","0"
"663V100","Mild asthma","5520","17357"
"H330011","Hay fever with asthma","5354","635"
"H331100","Intrinsic asthma with status asthmaticus","83","20"
"66Yq.00","Asthma causes night time symptoms 1 to 2 times per week","28395","617"
"8794.00","Asthma control step 1","74931","998"
"H33z200","Late-onset asthma","3165","582"
"679J200","Health education - structured patient focused asthma discuss","5","14406"
"663w.00","Asthma limits walking up hills or stairs","758","39000"
"H33z.11","Hyperreactive airways disease","734","47"
"9OJ8.00","Asthma monitor phone invite","59401","0"
"1783.00","Asthma trigger - warm air","12424","0"
"663P000","Asthma limits activities 1 to 2 times per month","2826","4081"
"663N100","Asthma disturbs sleep weekly","6743","14612"
"H331z00","Intrinsic asthma NOS","655","732"
"178A.00","Asthma trigger - airborne dust","23488","0"
"663U.00","Asthma management plan given","276506","510292"
"9OJA.11","Asthma monitored","9912","0"
"66YJ.00","Asthma annual review","3170384","5192"
"178..00","Asthma trigger","59860","2501"
"8791.00","Further asthma - drug prevent.","539","0"
"663p.00","Asthma treatment compliance unsatisfactory","6586","48742"
"9OJ1.00","Attends asthma monitoring","18645","0"
"38DT.00","Asthma control questionnaire","1211","3247"
"H330.00","Extrinsic (atopic) asthma","25453","7132"
"679J000","Health education - asthma self management","171","2672"
"9OJ..11","Asthma clinic administration","5578","0"
"1786.00","Asthma trigger - animals","21716","0"
"663x.00","Asthma limits walking on the flat","184","7004"
"388t000","Royal College Physician asthma assessment 3 question score","94","13405"
"66Yp.00","Asthma review using Roy Colleg of Physicians three questions","137967","3054"
"8H2P.00","Emergency admission, asthma","29929","6605"
"663V000","Occasional asthma","2623","7804"
"8796.00","Asthma control step 3","130690","2646"
"663m.00","Asthma accident and emergency attendance since last visit","5066","7408"
"66Ys.00","Asthma never causes night symptoms","10318","3146"
"9OJZ.00","Asthma monitoring admin.NOS","16297","4"
"H331000","Intrinsic asthma without status asthmaticus","723","249"
"9OJ..00","Asthma monitoring admin.","62033","1"
"H335.00","Chronic asthma with fixed airflow obstruction","288","131"
"38DL.00","Asthma control test","2865","60594"
"663e.00","Asthma restricts exercise","4938","32122"
"9OJ6.00","Asthma monitor 3rd letter","384361","7"
"663u.00","Asthma causes daytime symptoms 1 to 2 times per week","7388","128265"
"66YP.00","Asthma night-time symptoms","19751","7533"
"1781.00","Asthma trigger - pollen","33789","0"
"1789.00","Asthma trigger - respiratory infection","57145","0"
"663N000","Asthma causing night waking","6414","39227"
"173A.00","Exercise induced asthma","46920","374"
"1O2..00","Asthma confirmed","15997","64"
"38DV.00","Mini asthma quality of life questionnaire","0","10"
"663n.00","Asthma treatment compliance satisfactory","32795","296729"
"H33..00","Asthma","3567608","617993"
"H330100","Extrinsic asthma with status asthmaticus","251","50"
"66Yr.00","Asthma causes symptoms most nights","26768","655"
"H33zz13","Allergic bronchitis NEC","665","26"
"H33zz12","Allergic asthma NEC","146","57"
"66Y5.00","Change in asthma management plan","6649","63"
"H33zz11","Exercise induced asthma","5882","2241"
"663f.00","Asthma never restricts exercise","16678","185067"
"38QM.00","Childhood Asthma Control Test","357","135"
"663v.00","Asthma causes daytime symptoms most days","9158","140822"
"H33z000","Status asthmaticus NOS","3175","737"
"1784.00","Asthma trigger - emotion","9777","0"
"9OJ7.00","Asthma monitor verbal invite","33763","0"
"H47y000","Detergent asthma","33","0"
"H330z00","Extrinsic asthma NOS","1793","1267"
"663O000","Asthma never disturbs sleep","29871","163132"
"66YE.00","Asthma monitoring due","29737","320"
"66Yu.00","Number days absent from school due to asthma in past 6 month","21","46"
"178B.00","Asthma trigger - exercise","32606","0"
"9OJA.00","Asthma monitoring check done","260284","1446"
"H35y700","Wood asthma","5","0"
"8798.00","Asthma control step 5","1496","12"
"H330.14","Pollen asthma","2744","638"
"H330.13","Hay fever with asthma","4067","933"
"66YZ.00","Does not have asthma management plan","284","0"
"H330.12","Childhood asthma","19574","2017"
"H330.11","Allergic asthma","11145","1991"
"663e100","Asthma severely restricts exercise","781","7908"
"H333.00","Acute exacerbation of asthma","373121","45100"
"8CR0.00","Asthma clinical management plan","7814","0"
"H33z011","Severe asthma attack","18535","1748"
"1787.00","Asthma trigger - seasonal","19745","0"
"9OJ4.00","Asthma monitor 1st letter","1354994","795"
"H312000","Chronic asthmatic bronchitis","3388","1"
"663s.00","Asthma never causes daytime symptoms","140610","455951"
"66YR.00","Asthma monitoring by doctor","25699","0"
"663P.00","Asthma limiting activities","92693","190007"
"661M100","Asthma self-management plan agreed","1958","0"
"663P200","Asthma limits activities most days","2050","6486"
"663V300","Severe asthma","938","1576"
"8CMA000","Patient has a written asthma personal action plan","15713","0"
