"Code","Description","MedicalFrequency","AHDFrequency"
"J131z00","Chronic peptic ulcer NOS","86","0"
"J123.00","Duodenal erosion","1381","1"
"761J.11","Stomach ulcer operations","290","0"
"J110y00","Acute gastric ulcer unspecified","18","0"
"761D500","Endoscopic injection haemostasis of duodenal ulcer","86","0"
"J14yz00","Unspecified gastrojejunal ulcer NOS","4","0"
"J121300","Chronic duodenal ulcer with haemorrhage and perforation","10","0"
"J141300","Chronic gastrojejunal ulcer with haemorrhage and perforation","1","0"
"J11y400","Unspecified gastric ulcer with obstruction","2","0"
"J11y000","Unspecified gastric ulcer without mention of complication","27","0"
"J110000","Acute gastric ulcer without mention of complication","57","0"
"J131100","Chronic peptic ulcer with haemorrhage","33","0"
"J110400","","0","0"
"J11yy00","Unspec gastric ulcer; unspec haemorrhage and/or perforation","25","0"
"J111211","Perforated chronic gastric ulcer","369","22"
"J130300","Acute peptic ulcer with haemorrhage and perforation","1","0"
"7627y00","Other specified operation on duodenal ulcer","41","0"
"J12y.00","Unspecified duodenal ulcer","146","0"
"J12y200","Unspecified duodenal ulcer with perforation","2879","17"
"J113z00","Non steroidal anti inflammatory drug induced gastric ulc NOS","5","0"
"761J.00","Operations on gastric ulcer","148","0"
"J126.00","Non steroidal anti inflammatory drug induced duodenal ulcer","25","0"
"J140z00","Acute gastrojejunal ulcer NOS","2","0"
"J12..00","Duodenal ulcer - (DU)","172129","260"
"J120100","Acute duodenal ulcer with haemorrhage","1084","2"
"J14..00","Gastrojejunal ulcer (GJU)","121","2"
"J13y000","Unspecified peptic ulcer without mention of complication","17","0"
"7612111.0","","0","0"
"J140100","Acute gastrojejunal ulcer with haemorrhage","2","1"
"J111.00","Chronic gastric ulcer","420","3"
"J13y400","Unspecified peptic ulcer with obstruction","1","0"
"J120z00","Acute duodenal ulcer NOS","544","0"
"J11..11","Prepyloric ulcer","1796","0"
"J110111","Bleeding acute gastric ulcer","515","11"
"J11..12","Pyloric ulcer","2973","7"
"J14y200","Unspecified gastrojejunal ulcer with perforation","7","0"
"J14y.00","Unspecified gastrojejunal ulcer","5","0"
"J111200","Chronic gastric ulcer with perforation","67","1"
"J110z00","Acute gastric ulcer NOS","130","0"
"7627100.0","","0","0"
"J131y00","Chronic peptic ulcer unspecified","9","0"
"761D600","Endoscopic injection haemostasis of gastric ulcer","21","0"
"J121.00","Chronic duodenal ulcer","1552","9"
"J121200","Chronic duodenal ulcer with perforation","535","6"
"J14..11","Anastomotic ulcer","155","0"
"J14..12","Gastrocolic ulcer","27","0"
"J14..13","Jejunal ulcer","41","1"
"J141.00","Chronic gastrojejunal ulcer","4","0"
"J11..00","Gastric ulcer - (GU)","57773","116"
"J110100","Acute gastric ulcer with haemorrhage","488","2"
"J131000","Chronic peptic ulcer without mention of complication","11","0"
"J14z.00","Gastrojejunal ulcer NOS","106","0"
"J131400","Chronic peptic ulcer with obstruction","1","0"
"ZV12712","[V]Personal history of duodenal ulcer","314","0"
"ZV12711","[V]Personal history of peptic ulcer","310","0"
