"Code","Description","MedicalFrequency","AHDFrequency"
"E230.00","Acute alcoholic intoxication in alcoholism","5980","38"
"E012.00","Other alcoholic dementia","195","1"
"E230000","Acute alcoholic intoxication, unspecified, in alcoholism","198","1"
"E012000","Chronic alcoholic brain syndrome","95","0"
"E01yz00","Other alcoholic psychosis NOS","12","0"
"E230200","Episodic acute alcoholic intoxication in alcoholism","114","0"
"Eu10y00","[X]Men & behav dis due to use alcohol: oth men & behav dis","7","0"
"136T.00","Harmful alcohol use","7873","9550"
"Eu10800","[X]Alcohol withdrawal-induced seizure","5865","0"
"Z191.00","Alcohol detoxification","323","0"
"Eu10600","[X]Mental and behav dis due to use alcohol: amnesic syndrome","104","0"
"E01z.00","Alcoholic psychosis NOS","136","0"
"Eu10400","[X]Men & behav dis due alcohl: withdrawl state with delirium","115","0"
"Eu10200","[X]Mental and behav dis due to use alcohol: dependence syndr","1988","2"
"E015.00","Alcoholic paranoia","178","2"
"Eu10000","[X]Mental & behav dis due to use alcohol: acute intoxication","495","1"
"Eu10.00","[X]Mental and behavioural disorders due to use of alcohol","1340","52"
"E231100","Continuous chronic alcoholism","543","1"
"E011.00","Alcohol amnestic syndrome","67","0"
"E011000","Korsakov's alcoholic psychosis","1816","6"
"E011200","Wernicke-Korsakov syndrome","505","1"
"E250.00","Nondependent alcohol abuse","50316","1641"
"E231z00","Chronic alcoholism NOS","2572","4"
"E250000","Nondependent alcohol abuse, unspecified","38528","2418"
"E250200","Nondependent alcohol abuse, episodic","2551","770"
"E231300","Chronic alcoholism in remission","479","1"
"E010.00","Alcohol withdrawal delirium","1469","5"
"66e..00","Alcohol disorder monitoring","18914","0"
"E014.00","Pathological alcohol intoxication","76","1"
"E230100","Continuous acute alcoholic intoxication in alcoholism","38","0"
"E23..00","Alcohol dependence syndrome","214832","976"
"E230300","Acute alcoholic intoxication in remission, in alcoholism","173","0"
"Eu10z00","[X]Ment & behav dis due use alcohol: unsp ment & behav dis","17","0"
"Eu10700","[X]Men & behav dis due alcoh: resid & late-onset psychot dis","19","0"
"E230z00","Acute alcoholic intoxication in alcoholism NOS","268","1"
"Eu10500","[X]Mental & behav dis due to use alcohol: psychotic disorder","203","0"
"Eu10300","[X]Mental and behav dis due to use alcohol: withdrawal state","213","0"
"Eu10100","[X]Mental and behav dis due to use of alcohol: harmful use","381","0"
"63C7.00","Maternal alcohol abuse","276","78"
"E23z.00","Alcohol dependence syndrome NOS","10185","4"
"E231000","Unspecified chronic alcoholism","276","0"
"E013.00","Alcohol withdrawal hallucinosis","247","1"
"E231200","Episodic chronic alcoholism","476","0"
"E011100","Korsakov's alcoholic psychosis with peripheral neuritis","98","0"
"E231.00","Chronic alcoholism","2899","27"
"E250100","Nondependent alcohol abuse, continuous","827","28"
"E250300","Nondependent alcohol abuse in remission","135","3"
"E011z00","Alcohol amnestic syndrome NOS","7","0"
"E250z00","Nondependent alcohol abuse NOS","3750","1"
"136S.00","Hazardous alcohol use","6211","11227"
"E01..00","Alcoholic psychoses","680","2"
"66e0.00","Alcohol abuse monitoring","7115","0"
"E01y.00","Other alcoholic psychosis","275","0"
"E01y000","Alcohol withdrawal syndrome","33938","20"
