"Code","Description","MedicalFrequency","AHDFrequency"
"BB69100","[M]Sebaceous adenocarcinoma","10","0"
"Byu4200","[X]Oth malignant neoplasm/skin of oth+unspecfd parts of face","4","0"
"B335A00","Malignant neoplasm of skin of scapular region","11","0"
"B335500","Malignant neoplasm of skin of groin","10","0"
"B333200","Malignant neoplasm of skin of eyebrow","70","0"
"B337800","Malignant neoplasm of skin of toe","5","0"
"B335300","Malignant neoplasm of skin of abdominal wall","37","0"
"B331100","Malignant neoplasm of upper eyelid","37","0"
"B333400","Malignant neoplasm of skin of nose (external)","866","0"
"B337600","Malignant neoplasm of skin of heel","1","0"
"B335z00","Malignant neoplasm of skin of trunk, excluding scrotum, NOS","231","0"
"B335900","Malignant neoplasm of perianal skin","117","0"
"B335700","Malignant neoplasm of skin of back","261","0"
"B336.00","Malignant neoplasm of skin of upper limb and shoulder","432","0"
"B336200","Malignant neoplasm of skin of fore-arm","103","0"
"B334100","Malignant neoplasm of skin of neck","208","0"
"B332.00","Malignant neoplasm skin of ear and external auricular canal","159","0"
"B336000","Malignant neoplasm of skin of shoulder","113","1"
"B33X.00","Malignant neoplasm overlapping lesion of skin","16","0"
"B334z00","Malignant neoplasm of scalp or skin of neck NOS","15","0"
"B33..00","Other malignant neoplasm of skin","19984","3"
"B332000","Malignant neoplasm of skin of auricle (ear)","146","1"
"B332200","Malignant neoplasm of pinna NEC","323","0"
"B336400","Malignant neoplasm of skin of finger","18","0"
"BB35.00","[M]Basosquamous carcinoma","338","0"
"B335.00","Malignant neoplasm of skin of trunk, excluding scrotum","640","0"
"B335000","Malignant neoplasm of skin of axillary fold","5","0"
"B337300","Malignant neoplasm of skin of popliteal fossa area","2","0"
"B337100","Malignant neoplasm of skin of thigh","65","0"
"B335200","Malignant neoplasm of skin of breast","175","1"
"B331.00","Malignant neoplasm of eyelid including canthus","302","0"
"BB2A.13","[M]Squamous cell carcinoma of skin NOS","26","0"
"B339.00","Dermatofibrosarcoma protuberans","696","0"
"BB60100","[M]Skin appendage carcinoma","8","0"
"B33..15","Malignant neoplasm of sweat gland","20","0"
"B333z00","Malignant neoplasm skin other and unspec part of face NOS","141","0"
"B33..14","Malignant neoplasm of sebaceous gland","43","0"
"Byu4300","[X]Malignant neoplasm of skin, unspecified","76","0"
"BB36.00","[M]Metatypical carcinoma","9","2"
"B335400","Malignant neoplasm of skin of umbilicus","1","0"
"B337700","Malignant neoplasm of skin of foot","11","0"
"B331000","Malignant neoplasm of canthus","129","0"
"B335600","Malignant neoplasm of skin of perineum","8","0"
"B333100","Malignant neoplasm of skin of chin","69","0"
"B337500","Malignant neoplasm of skin of ankle","16","0"
"B331200","Malignant neoplasm of lower eyelid","137","0"
"B333300","Malignant neoplasm of skin of forehead","573","0"
"B333500","Malignant neoplasm of skin of temple","475","0"
"B337z00","Malignant neoplasm of skin of lower limb or hip NOS","27","0"
"B337900","Malignant neoplasm of skin of great toe","3","0"
"B335800","Malignant neoplasm of skin of buttock","4","0"
"B338.00","Squamous cell carcinoma of skin","18635","31"
"B334.00","Malignant neoplasm of scalp and skin of neck","57","0"
"Byu5A00","[X]Malignant neoplasm overlapping lesion of skin","21","0"
"B336300","Malignant neoplasm of skin of hand","144","0"
"B336100","Malignant neoplasm of skin of upper arm","51","0"
"B334000","Malignant neoplasm of scalp","542","0"
"ZV10y14","[V]Personal history of malignant neoplasm of skin","31","0"
"BB61200","[M]Sweat gland adenocarcinoma","5","0"
"B33z.11","Squamous cell carcinoma of skin NOS","3779","2"
"B33y.00","Malignant neoplasm of other specified skin sites","105","1"
"B332z00","Malig neop skin of ear and external auricular canal NOS","96","0"
"B330.00","Malignant neoplasm of skin of lip","227","0"
"B332100","Malignant neoplasm of skin of external auditory meatus","14","0"
"B336500","Malignant neoplasm of skin of thumb","4","0"
"B336z00","Malignant neoplasm of skin of upper limb or shoulder NOS","12","0"
"B337000","Malignant neoplasm of skin of hip","6","0"
"B337.00","Malignant neoplasm of skin of lower limb and hip","881","0"
"B337400","Malignant neoplasm of skin of lower leg","301","1"
"B333.00","Malignant neoplasm skin of other and unspecified parts face","233","0"
"B333000","Malignant neoplasm of skin of cheek, external","589","0"
"B337200","Malignant neoplasm of skin of knee","11","0"
"B335100","Malignant neoplasm of skin of chest, excluding breast","150","0"
"BB62100","[M]Apocrine adenocarcinoma","12","0"
"B33z.00","Malignant neoplasm of skin NOS","9428","74"
