"Code","Description","MedicalFrequency","AHDFrequency"
"B602400","Burkitt's lymphoma of lymph nodes of axilla and upper limb","2","0"
"B621.00","Mycosis fungoides","2345","1"
"B627700","Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma","96","0"
"B60..00","Lymphosarcoma and reticulosarcoma","6","0"
"B600100","Reticulosarcoma of lymph nodes of head, face and neck","1","0"
"B610700","","0","0"
"B615600","","0","0"
"B63y.00","Other immunoproliferative neoplasms","14","0"
"B611000","","0","0"
"B613300","","0","0"
"B615.00","Hodgkin's disease, mixed cellularity","78","0"
"B620500","Nodular lymphoma of lymph nodes of inguinal region and leg","8","1"
"B61z400","Hodgkin's disease NOS of lymph nodes of axilla and arm","3","0"
"B622800","","0","0"
"B601300","Lymphosarcoma of intra-abdominal lymph nodes","5","0"
"B62F.11","Non-follicular lymphoma","5","0"
"B62yz00","Malignant lymphoma NOS","785","2"
"B627W00","Unspecified B-cell non-Hodgkin's lymphoma","729","8"
"ZV10711","[V]Personal history of Hodgkin's disease","66","0"
"B62xX00","Oth and unspecif peripheral & cutaneous T-cell lymphomas","162","0"
"B62E400","Extranodal NK/T-cell lymphoma, nasal type","1","0"
"B628000","Follicular lymphoma grade 1","26","0"
"B60z.00","Reticulosarcoma or lymphosarcoma NOS","1","0"
"B611800","","0","0"
"B62y100","Malignant lymphoma NOS of lymph nodes of head, face and neck","46","0"
"B616700","Hodgkin's disease, lymphocytic depletion of spleen","1","0"
"B610.00","Hodgkin's paragranuloma","5","0"
"B64..00","Lymphoid leukaemia","1311","34"
"B627G00","Mediastinal (thymic) large B-cell lymphoma","14","1"
"B614400","Hodgkin's nodular sclerosis of lymph nodes of axilla and arm","2","0"
"B612100","","0","0"
"ByuDD00","[X]Oth and unspecif peripheral & cutaneous T-cell lymphomas","10","0"
"B621600","","0","0"
"B602300","Burkitt's lymphoma of intra-abdominal lymph nodes","5","0"
"B627800","Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)","17","0"
"B62F.00","Nonfollicular lymphoma","3","0"
"B620.11","Reticulosarcoma - follicular or nodular","1","0"
"B600000","Reticulosarcoma of unspecified site","1","0"
"B627000","Follicular non-Hodgkin's small cleaved cell lymphoma","118","2"
"B616z00","Hodgkin's disease, lymphocytic depletion NOS","2","0"
