"Code","Description","MedicalFrequency","AHDFrequency"
"B564.00","Secondary and unspec malig neop inguinal and lower limb LN","31","0"
"B590.11","Carcinomatosis","6288","3400"
"B587.00","Secondary malignant neoplasm of adrenal gland","179","1"
"ByuC200","[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions","21","0"
"B570.00","Secondary malignant neoplasm of lung","5136","90"
"B574000","Secondary malignant neoplasm of duodenum","9","1"
"ByuC.00","[X]Malignant neoplasm of ill-defined, secondary and unspeci","38","1"
"B577000","","0","0"
"B561600","Secondary and unspec malig neop superfic tracheobronchial LN","2","0"
"B563z00","Secondary and unspec malig neop axilla and upper limb LN NOS","7","0"
"B573.00","Secondary malignant neoplasm of other respiratory organs","30","1"
"ByuC600","[X]2ndry malignant neoplasm/oth+unspec parts/nervous system","10","0"
"B561200","Secondary and unspec malig neop diaphragmatic lymph nodes","4","0"
"B56..11","Lymph node metastases","2378","8"
"B58y400","Secondary malignant neoplasm of vulva","18","0"
"B561.00","Secondary and unspec malig neop intrathoracic lymph nodes","24","0"
"B563100","Secondary and unspec malig neop supratrochlear lymph nodes","1","0"
"BB03.11","[M]Secondary neoplasm","227","0"
"B58y800","Secondary malignant neoplasm of epididymis and vas deferens","1","0"
"B582300","Secondary malignant neoplasm of skin of trunk","35","0"
"B565400","","0","0"
"B584.00","Secondary malignant neoplasm of other part of nervous system","5","0"
"B58y300","Secondary malignant neoplasm of vagina","14","0"
"B56z.00","Secondary and unspec malig neop lymph nodes NOS","226","0"
"B560800","Secondary and unspec malig neop anterior cervical LN","9","0"
"B58..11","Secondary carcinoma of other specified sites","191","1"
"B583z00","Secondary malignant neoplasm of brain or spinal cord NOS","25","2"
"B560000","Secondary and unspec malig neop of superficial parotid LN","10","0"
"B562300","Secondary and unspec malig neop common iliac lymph nodes","4","0"
"B58y411","Secondary cancer of the vulva","4","0"
"B581.00","Secondary malignant neoplasm of other urinary organs","8","1"
"B583100","Secondary malignant neoplasm of spinal cord","142","2"
"B585000","Pathological fracture due to metastatic bone disease","1041","6"
"B560400","Secondary and unspec malig neop deep parotid lymph nodes","5","0"
"B564200","Secondary and unspec malig neop popliteal lymph nodes","1","0"
"BB03.00","[M]Neoplasm, metastatic","19851","730"
"B581200","Secondary malignant neoplasm of urethra","8","0"
"B574z00","Secondary malig neop of small intestine or duodenum NOS","7","0"
"B572.00","Secondary malignant neoplasm of pleura","302","2"
"B574100","Secondary malignant neoplasm of jejunum","1","0"
"ByuC300","[X]Secondary malignant neoplasm/oth+unspc respiratory organs","54","0"
"BBy2.00","[M]No microscopic confirmation tumour, clinically metastatic","5","0"
"B57z.00","Secondary malig neop of respiratory or digestive system NOS","28","1"
"B58..00","Secondary malignant neoplasm of other specified sites","6584","141"
"B561700","Secondary and unspec malig neop inferior tracheobronchial LN","1","0"
"B565z00","Secondary and unspec malig neop intrapelvic LN NOS","12","0"
"B575.00","Secondary malignant neoplasm of large intestine and rectum","35","3"
"ByuC700","[X]Secondary malignant neoplasm of other specified sites","263","0"
"B561300","Secondary and unspec malig neop ant mediastinal lymph nodes","32","0"
"B58y700","Secondary malignant neoplasm of penis","6","0"
"B582000","Secondary malignant neoplasm of skin of head","20","0"
