"Code","Description","MedicalFrequency","AHDFrequency"
"B22..00","Malignant neoplasm of trachea, bronchus and lung","11720","423"
"Byu2000","[X]Malignant neoplasm of bronchus or lung, unspecified","148","2"
"B23z.00","Malignant neoplasm of pleura NOS","73","1"
"B220.00","Malignant neoplasm of trachea","211","1"
"B222100","Malignant neoplasm of upper lobe of lung","3133","31"
"B222000","Malignant neoplasm of upper lobe bronchus","590","5"
"Byu5011","[X]Mesothelioma of lung","273","6"
"B220000","","0","0"
"B220100","Malignant neoplasm of mucosa of trachea","1","0"
"B220z00","Malignant neoplasm of trachea NOS","29","0"
"B222z00","Malignant neoplasm of upper lobe, bronchus or lung NOS","287","9"
"B224z00","Malignant neoplasm of lower lobe, bronchus or lung NOS","186","2"
"B22z.00","Malignant neoplasm of bronchus or lung NOS","33679","1622"
"B23..00","Malignant neoplasm of pleura","188","7"
"B230.00","Malignant neoplasm of parietal pleura","3","1"
"B223000","Malignant neoplasm of middle lobe bronchus","80","3"
"B221.00","Malignant neoplasm of main bronchus","3018","174"
"B223.00","Malignant neoplasm of middle lobe, bronchus or lung","327","3"
"B222.11","Pancoast's syndrome","314","1"
"B225.00","Malignant neoplasm of overlapping lesion of bronchus & lung","87","7"
"B221000","Malignant neoplasm of carina of bronchus","152","6"
"B223100","Malignant neoplasm of middle lobe of lung","379","2"
"B221100","Malignant neoplasm of hilus of lung","464","3"
"B23y.00","Malignant neoplasm of other specified pleura","4","0"
"B232.00","Mesothelioma of pleura","1178","63"
"B221z00","Malignant neoplasm of main bronchus NOS","751","15"
"B223z00","Malignant neoplasm of middle lobe, bronchus or lung NOS","46","3"
"B22z.11","Lung cancer","32758","2042"
"B22y.00","Malignant neoplasm of other sites of bronchus or lung","527","19"
"B231.00","Malignant neoplasm of visceral pleura","2","0"
"B224000","Malignant neoplasm of lower lobe bronchus","249","2"
"B224100","Malignant neoplasm of lower lobe of lung","1632","15"
"B224.00","Malignant neoplasm of lower lobe, bronchus or lung","968","18"
"B222.00","Malignant neoplasm of upper lobe, bronchus or lung","2371","32"
"B226.00","Mesothelioma","4166","214"
