"Code","Description","MedicalFrequency","AHDFrequency"
"1Z1B.00","Chronic kidney disease stage 3 with proteinuria","3725","0"
"1Z1C.11","CKD stage 3 without proteinuria","348","0"
"1Z1D.00","Chronic kidney disease stage 3A with proteinuria","1931","1"
"1Z1F.00","Chronic kidney disease stage 3B with proteinuria","1398","1"
"1Z1E.11","CKD stage 3A without proteinuria","128","0"
"1Z13.00","Chronic kidney disease stage 4","53262","112"
"1Z1L.00","Chronic kidney disease stage 5 without proteinuria","144","0"
"1Z1b.00","CKD with GFR category G4 & albuminuria category A2","45","0"
"1Z1K.11","CKD stage 5 with proteinuria","34","0"
"1Z15.00","Chronic kidney disease stage 3A","23416","11"
"K050.00","End stage renal failure","3911","171"
"1Z1d.00","CKD with GFR category G5 & albuminuria category A1","18","0"
"K054.00","Chronic kidney disease stage 4","1588","0"
"1Z1J.00","Chronic kidney disease stage 4 without proteinuria","1613","3"
"1Z1G.11","CKD stage 3B without proteinuria","57","0"
"1Z1f.00","CKD with GFR category G5 & albuminuria category A3","12","0"
"1Z1H.00","Chronic kidney disease stage 4 with proteinuria","1392","2"
"1Z1T.00","CKD with GFR category G3a & albuminuria category A1","928","0"
"1Z1Z.00","CKD with GFR category G3b & albuminuria category A3","57","0"
"1Z1X.00","CKD with GFR category G3b & albuminuria category A1","406","0"
"1Z1V.00","CKD with GFR category G3a & albuminuria category A2","544","0"
"1Z1B.11","CKD stage 3 with proteinuria","204","0"
"1Z1C.00","Chronic kidney disease stage 3 without proteinuria","14494","1"
"1Z1D.11","CKD stage 3A with proteinuria","23","0"
"1Z1F.11","CKD stage 3B with proteinuria","27","0"
"1Z1E.00","Chronic kidney disease stage 3A without proteinuria","12247","0"
"1Z12.00","Chronic kidney disease stage 3","481471","198"
"K05..12","End stage renal failure","182","0"
"1Z1K.00","Chronic kidney disease stage 5 with proteinuria","400","1"
"1Z1L.11","CKD stage 5 without proteinuria","19","0"
"1Z1a.00","CKD with GFR category G4 & albuminuria category A1","81","0"
"1Z16.00","Chronic kidney disease stage 3B","10715","4"
"1Z14.00","Chronic kidney disease stage 5","10881","63"
"K053.00","Chronic kidney disease stage 3","18676","2"
"1Z1J.11","CKD stage 4 without proteinuria","67","0"
"1Z1c.00","CKD with GFR category G4 & albuminuria category A3","34","0"
"K055.00","Chronic kidney disease stage 5","433","2"
"1Z1G.00","Chronic kidney disease stage 3B without proteinuria","4605","1"
"1Z1H.11","CKD stage 4 with proteinuria","114","0"
"1Z1e.00","CKD with GFR category G5 & albuminuria category A2","4","0"
"1Z1Y.00","CKD with GFR category G3b & albuminuria category A2","422","0"
"1Z1W.00","CKD with GFR category G3a & albuminuria category A3","62","0"
