"Code","Description","MedicalFrequency","AHDFrequency"
"ZV56100","[V]Preparatory care for dialysis","40","0"
"SP07G00","Stenosis of arteriovenous dialysis fistula","63","0"
"ZV56.00","[V]Aftercare involving intermittent dialysis","14","0"
"7A61900","Ligation of arteriovenous dialysis fistula","16","0"
"Z919.00","Care of haemodialysis equipment","16","0"
"7L1A600","Peritoneal dialysis NEC","141","0"
"7L1A500","Continuous ambulatory peritoneal dialysis","144","0"
"Z919100","Priming haemodialysis lines","10","0"
"ZV56y00","[V]Other specified aftercare involving intermittent dialysis","2","0"
"ZV56z00","[V]Unspecified aftercare involving intermittent dialysis","2","0"
"Z919300","Reversing haemodialysis lines","6","0"
"14V2.11","H/O: kidney dialysis","64","0"
"SP05613","[X] Peritoneal dialysis associated peritonitis","143","0"
"7L1B.11","Placement ambulatory dialysis apparatus - compens renal fail","28","0"
"7L1C000","Insertion of temporary peritoneal dialysis catheter","229","0"
"TA02000","Accid cut,puncture,perf,h'ge - kidney dialysis","3","0"
"TB11.00","Kidney dialysis with complication, without blame","18","0"
"ZVu3G00","[X]Other dialysis","45","0"
"7L1A400","Automated peritoneal dialysis","18","0"
"7L1A200","Haemodialysis NEC","5350","5"
"7L1A100","Peritoneal dialysis","2898","5"
"7L1A000","Renal dialysis","1613","0"
"7A60600","Creation of graft fistula for dialysis","483","0"
"ZV56011","[V]Aftercare involving renal dialysis NOS","16","0"
"ZV56y11","[V]Aftercare involving peritoneal dialysis","6","0"
"4N2..00","Dialysis fluid glucose level","0","1"
"TA22000","Failure of sterile precautions during kidney dialysis","6","0"
"14V2.00","H/O: renal dialysis","1920","1"
"7L1B000","Insertion of ambulatory peritoneal dialysis catheter","746","0"
"7L1B100","Removal of ambulatory peritoneal dialysis catheter","315","0"
"ZV45100","[V]Renal dialysis status","277","0"
"SP01500","Mechanical complication of dialysis catheter","36","0"
"TB11.11","Renal dialysis with complication, without blame","9","0"
"Z91A.00","Peritoneal dialysis bag procedure","12","0"
"7L1A.11","Dialysis for renal failure","3180","1"
"Z1A2.00","Haemodialysis training","133","0"
