"Code","Description","MedicalFrequency","AHDFrequency"
"J615.11","Portal cirrhosis","15","1"
"J61y.00","Other non-alcoholic chronic liver disease","178","0"
"C370800","Cystic fibrosis related cirrhosis","2","0"
"G851.00","Oesophageal varices without bleeding","1414","3"
"J624.00","Hepatorenal syndrome","382","51"
"C376100","Alpha-1-antitrypsin hepatitis","169","9"
"J601200","Subacute yellow atrophy","2","0"
"G85..11","Oesophageal varices","3308","8"
"7609300","Local ligation of oesophageal varices","57","1"
"J615600","Capsular portal cirrhosis","8","0"
"65Q7.00","Viral hepatitis carrier","1564","7"
"J630.00","Chronic passive liver congestion","19","0"
"J612.11","Florid cirrhosis","3","0"
"A702.00","Viral hepatitis B with coma","13","0"
"J612.12","Laennec's cirrhosis","2","0"
"J614111","Autoimmune chronic active hepatitis","1096","3"
"J615.00","Cirrhosis - non alcoholic","1346","16"
"141E.00","History of hepatitis B","4261","1"
"G852000","Oesophageal varices with bleeding in diseases EC","2","0"
"J614z00","Chronic hepatitis NOS","568","0"
"A707100","Chronic viral hepatitis B without delta-agent","146","0"
"J612.00","Alcoholic cirrhosis of liver","11255","343"
"J635500","Toxic liver disease with chronic active hepatitis","19","0"
"J614100","Chronic active hepatitis","2385","5"
"J61y600","Hepatic fibrosis with hepatic sclerosis","5","0"
"J616000","Primary biliary cirrhosis","6677","21"
"J615C00","Xanthomatous portal cirrhosis","1","0"
"7609400","Open injection sclerotherapy to oesophageal varices","239","0"
"J615700","Cardiac portal cirrhosis","37","0"
"A704000","Viral hepatitis C with coma","5","2"
"J615300","Diffuse nodular cirrhosis","100","3"
"760C300","Fibreoptic endoscopic injection sclerotherapy oesoph varices","252","0"
"G852z00","Oesophageal varices in diseases EC NOS","20","0"
"J617.00","Alcoholic hepatitis","3263","21"
"J61z.00","Chronic liver disease NOS","1994","47"
"J63y100","Nonspecific reactive hepatitis","424","0"
"G850.00","Oesophageal varices with bleeding","1992","45"
"J600200","Acute yellow atrophy","3","0"
"G852100","Oesophageal varices without bleeding in diseases EC","2","0"
"9kR..00","Chronic hepatitis annual review - enhanced services admin","784","0"
"C310400","Glycogenosis with hepatic cirrhosis","110","6"
"Q409100","Congenital hepatitis B infection","121","2"
"J616z00","Biliary cirrhosis NOS","78","0"
"J615812","Indian childhood cirrhosis","4","0"
"J61yz00","Other non-alcoholic chronic liver disease NOS","61","2"
"J631.00","Hepatitis in viral diseases EC","149","0"
"J61y500","Hepatic sclerosis","23","3"
"J635400","","0","0"
"J614200","Chronic aggressive hepatitis","32","0"
"A703.00","Viral (serum) hepatitis B","9105","5687"
"J616100","Secondary biliary cirrhosis","45","0"
"A707000","Chronic viral hepatitis B with delta-agent","71","0"
"760F300","Rigid oesophagoscopic injection sclerotherapy oesoph varices","21","0"
"J614.00","Chronic hepatitis","5808","9"
"J615H00","Infectious cirrhosis NOS","14","2"
"J615D00","Bacterial portal cirrhosis","1","0"
"7609z00","Open operation on oesophageal varices NOS","139","0"
"J63B.00","Autoimmune hepatitis","2866","9"
"G858.00","Oesophageal varices NOS","4570","26"
"A707X00","Chronic viral hepatitis, unspecified","140","0"
"J615y00","Portal cirrhosis unspecified","14","0"
"J615800","Juvenile portal cirrhosis","4","0"
"J615400","Fatty portal cirrhosis","9","0"
"Gyu9400","[X]Oesophageal varices in diseases classified elsewhere","2","0"
"C32y511","Hepatic familial steatosis","295","3"
"G852200","Oesophageal varices in cirrhosis of the liver","207","2"
"ZV02B00","[V]Hepatitis B carrier","6123","3"
"J623.00","Portal hypertension","5201","24"
"G852.00","Oesophageal varices in diseases EC","30","0"
"9kV..00","Hepatitis C screening positive - enhanced services admin","493","0"
"J62y.00","Other sequelae of chronic liver disease","92","2"
"J615z15","Hepatic fibrosis","25","0"
"J615z13","Cirrhosis of liver NOS","7919","191"
