"Code","Description","MedicalFrequency","AHDFrequency"
"P69..00","Left ventricular outflow tract obstruction","31","0"
"P5X..00","Congenital malforms of cardiac chambers+connections unsp","35","0"
"P6z3.00","Cyanotic congenital heart disease NOS","287","2"
"P6y4200","","0","0"
"P550.00","Atrial septal defect NOS","11785","7"
"P74z500","Persistent left superior vena cava","1","0"
"P6yy800","","0","0"
"Q48y100","Congenital cardiac failure","143","4"
"P741100","Supradiaphragmatic total anomalous pulmonary venous return","1","0"
"P70..11","Botalli's patent ductus","6","0"
"P73y.00","Other specified anomaly of pulmonary artery","19","0"
"P6yy000","Atresia of cardiac vein","6","0"
"P741z00","Total anomalous pulmonary venous return NOS","16","0"
"P738.00","Atresia of pulmonary artery with septal defect","63","0"
"Pyu2500","[X]Other specified congenital malformations of the heart","3","0"
"P54z.00","Ventricular septal defect NOS","582","0"
"P602000","","0","0"
"P561.12","","0","0"
"P561.11","Persistent ostium primum","5","0"
"P511100","Dextratransposition of aorta","2","0"
"P74z.11","Persistent left posterior cardinal vein","1","0"
"P62..00","Ebstein's anomaly","468","1"
"P56zz00","Endocardial cushion defects NOS","2","0"
"P72z100","Congenital aneurysm of aorta","23","0"
"P6y3000","Uhl's disease","14","0"
"P7X..00","Congenital malformation of great arteries, unspecified","61","0"
"9RD0.00","Transfer of care from paediatric congenital heart service","34","0"
"P721.00","Aortic arch anomalies","285","0"
"P72zz00","Other anomaly of aorta NOS","60","0"
"P653.00","","0","0"
"P6y7.00","Myocardial bridge of coronary artery","17","0"
"P520.11","Ventricular septal defect in Fallot's tetralogy","242","0"
"P544.00","Gerbode's defect","21","0"
"P57..00","Cor biloculare","3","0"
"P721600","Vascular ring, aorta","15","0"
"P601.00","Congenital atresia of the pulmonary valve","247","0"
"Pyu2F00","[X]Congenital malforms of cardiac chambers+connections unsp","2","0"
"P520.12","Dextraposition of aorta in Fallot's tetralogy","4","0"
"P50..00","Common aorto-pulmonary trunk","55","1"
"P511z00","Double outlet right ventricle NOS","2","0"
"P56z100","Common atrioventricular canal","19","0"
"P561.00","Ostium primum defect","61","0"
"P710.00","Hypoplasia of aortic arch, unspecified","28","0"
"P74z.00","Other great vein anomalies","1","0"
"P6yyA00","Hemicardia","1","0"
"P722.00","Atresia and stenosis of aorta","16","0"
"Pyu2600","","0","0"
"P510.00","Total great vessel transposition","16","0"
"P602z00","Congenital pulmonary stenosis NOS","190","0"
"P6yy900","Congenital epicardial cyst","3","0"
"P74z600","Scimitar syndrome","90","1"
"P6y4300","Coronary artery from pulmonary trunk","2","0"
"P6yyz00","Other specified heart anomalies NOS","44","1"
"P51z.11","Transposition of arterial trunk NEC","2","0"
"P6zz.00","Congenital heart anomaly NOS","174","1"
