"Code","Description","MedicalFrequency","AHDFrequency"
"C10ED12","Insulin dependent diabetes mellitus with nephropathy","2","0"
"C10y000","Diabetes mellitus, juvenile, + other specified manifestation","4","0"
"C10ED11","Type I diabetes mellitus with nephropathy","1","0"
"C108400","Unstable insulin dependent diabetes mellitus","68","0"
"C10EH12","","0","0"
"C10EH11","","0","0"
"C108000","Insulin-dependent diabetes mellitus with renal complications","42","0"
"C10P011","Type 1 diabetes mellitus in remission","1","0"
"C10EL11","","0","0"
"C108E12","Type 1 diabetes mellitus with hypoglycaemic coma","2","0"
"C10EP11","Type I diabetes mellitus with exudative maculopathy","1","0"
"C108A12","","0","0"
"C108E11","Type I diabetes mellitus with hypoglycaemic coma","11","0"
"C10E300","Type 1 diabetes mellitus with multiple complications","30","0"
"C108A11","Type I diabetes mellitus without complication","1","0"
"C10E700","Type 1 diabetes mellitus with retinopathy","554","0"
"C108912","Type 1 diabetes mellitus maturity onset","2","0"
"C108512","Type 1 diabetes mellitus with ulcer","16","0"
"C108911","Type I diabetes mellitus maturity onset","1","0"
"C108412","Unstable type 1 diabetes mellitus","5","0"
"C10ED00","Type 1 diabetes mellitus with nephropathy","443","3"
"C108411","Unstable type I diabetes mellitus","5","0"
"C103000","Diabetes mellitus, juvenile type, with ketoacidotic coma","14","0"
"C10EH00","Type 1 diabetes mellitus with arthropathy","14","0"
"C108012","Type 1 diabetes mellitus with renal complications","4","0"
"C108011","Type I diabetes mellitus with renal complications","5","0"
"C10EL00","Type 1 diabetes mellitus with persistent microalbuminuria","472","0"
"C10P000","Type I diabetes mellitus in remission","2","0"
"C10E012","Insulin-dependent diabetes mellitus with renal complications","1","0"
"C10EP00","Type 1 diabetes mellitus with exudative maculopathy","78","0"
"C10E011","Type I diabetes mellitus with renal complications","2","0"
"C108H00","Insulin dependent diabetes mellitus with arthropathy","8","0"
"C10E412","Unstable insulin dependent diabetes mellitus","8","0"
"C10E411","Unstable type I diabetes mellitus","13","0"
"C108D00","Insulin dependent diabetes mellitus with nephropathy","22","0"
"C10E812","Insulin dependent diabetes mellitus - poor control","18","0"
"C10E811","Type I diabetes mellitus - poor control","11","0"
"C100000","Diabetes mellitus, juvenile type, no mention of complication","2172","0"
"C108800","Insulin dependent diabetes mellitus - poor control","458","0"
"C106000","Diabetes mellitus, juvenile, + neurological manifestation","163","0"
"C108300","Insulin dependent diabetes mellitus with multiple complicatn","14","0"
"C10EC12","Insulin dependent diabetes mellitus with polyneuropathy","2","0"
"C10EC11","","0","0"
"C10EG12","","0","0"
"C10EG11","","0","0"
"C10E.00","Type 1 diabetes mellitus","107496","367"
"C10EK11","Type I diabetes mellitus with persistent proteinuria","1","0"
"C10E200","Type 1 diabetes mellitus with neurological complications","17","0"
"C108H12","","0","0"
"C108H11","Type I diabetes mellitus with arthropathy","5","0"
"C10E600","Type 1 diabetes mellitus with gangrene","10","0"
"C108D12","Type 1 diabetes mellitus with nephropathy","1","0"
"C108D11","Type I diabetes mellitus with nephropathy","6","0"
"C100011","Insulin dependent diabetes mellitus","29523","86"
"C10EB00","Type 1 diabetes mellitus with mononeuropathy","10","0"
"C108812","Type 1 diabetes mellitus - poor control","8","0"
"C108811","Type I diabetes mellitus - poor control","19","0"
"C108311","","0","0"
"C108312","Type 1 diabetes mellitus with multiple complications","1","0"
"C10EC00","Type 1 diabetes mellitus with polyneuropathy","23","0"
"C10EG00","Type 1 diabetes mellitus with peripheral angiopathy","5","0"
"C10EK00","Type 1 diabetes mellitus with persistent proteinuria","584","0"
"C108G00","Insulin dependent diab mell with peripheral angiopathy","5","0"
"C108C00","Insulin dependent diabetes mellitus with polyneuropathy","10","0"
"C10E312","Insulin dependent diabetes mellitus with multiple complicat","16","0"
"C10E311","Type I diabetes mellitus with multiple complications","5","0"
"C10E712","Insulin dependent diabetes mellitus with retinopathy","16","0"
"C10E711","Type I diabetes mellitus with retinopathy","14","0"
"C108700","Insulin dependent diabetes mellitus with retinopathy","254","1"
"C10EF11","Type I diabetes mellitus with diabetic cataract","1","0"
"C108200","Insulin-dependent diabetes mellitus with neurological comps","9","0"
"C10EB12","","0","0"
"C10EJ11","","0","0"
"C108.00","Insulin dependent diabetes mellitus","28572","155"
"C104000","Diabetes mellitus, juvenile type, with renal manifestation","20","0"
"C10EF12","Insulin dependent diabetes mellitus with diabetic cataract","1","0"
"C10EN11","","0","0"
"C10EJ12","Insulin dependent diab mell with neuropathic arthropathy","1","0"
"C108G11","","0","0"
"C10E100","Type 1 diabetes mellitus with ophthalmic complications","29","0"
"C108G12","","0","0"
"C108C11","","0","0"
"C10E500","Type 1 diabetes mellitus with ulcer","55","0"
"C108C12","","0","0"
"C10E900","Type 1 diabetes mellitus maturity onset","61","0"
"C101000","Diabetes mellitus, juvenile type, with ketoacidosis","126","0"
"C108711","Type I diabetes mellitus with retinopathy","19","0"
"C10EA00","Type 1 diabetes mellitus without complication","22","0"
"C108712","Type 1 diabetes mellitus with retinopathy","16","0"
"C108212","Type 1 diabetes mellitus with neurological complications","6","0"
"C10EF00","Type 1 diabetes mellitus with diabetic cataract","12","0"
"C108211","","0","0"
"C10z000","Diabetes mellitus, juvenile type, + unspecified complication","70","0"
"C108.12","Type 1 diabetes mellitus","6449","9"
"C10EJ00","Type 1 diabetes mellitus with neuropathic arthropathy","56","0"
"C108.11","IDDM-Insulin dependent diabetes mellitus","10379","20"
"C107000","Diabetes mellitus, juvenile +peripheral circulatory disorder","14","0"
"C108.13","Type I diabetes mellitus","807","58"
"C10EN00","Type 1 diabetes mellitus with ketoacidotic coma","250","3"
"C10E.11","Type I diabetes mellitus","943","0"
"C108J00","Insulin dependent diab mell with neuropathic arthropathy","29","0"
"C10E211","","0","0"
"C108F00","Insulin dependent diabetes mellitus with diabetic cataract","12","0"
"C10E.12","Insulin dependent diabetes mellitus","1026","0"
"C10E611","Type I diabetes mellitus with gangrene","4","0"
"C108B00","Insulin dependent diabetes mellitus with mononeuropathy","7","0"
"C10E212","Insulin-dependent diabetes mellitus with neurological comps","1","0"
"C10E612","Insulin dependent diabetes mellitus with gangrene","4","0"
"C10EB11","","0","0"
"C108600","Insulin dependent diabetes mellitus with gangrene","10","0"
"C10EE12","Insulin dependent diabetes mellitus with hypoglycaemic coma","2","0"
"C10EE11","","0","0"
"C108500","Insulin dependent diabetes mellitus with ulcer","214","0"
"C108100","Insulin-dependent diabetes mellitus with ophthalmic comps","17","0"
"C108J12","Type 1 diabetes mellitus with neuropathic arthropathy","2","0"
"C10EM11","Type I diabetes mellitus with ketoacidosis","35","0"
"C108J11","Type I diabetes mellitus with neuropathic arthropathy","7","0"
"C108F12","","0","0"
"C108F11","Type I diabetes mellitus with diabetic cataract","6","0"
"C10EQ11","Type I diabetes mellitus with gastroparesis","1","0"
"C10E000","Type 1 diabetes mellitus with renal complications","52","0"
"C108B12","","0","0"
"C108B11","Type I diabetes mellitus with mononeuropathy","1","0"
"C10E400","Unstable type 1 diabetes mellitus","47","0"
"C10E800","Type 1 diabetes mellitus - poor control","420","0"
"C108612","","0","0"
"C108611","","0","0"
"C10EE00","Type 1 diabetes mellitus with hypoglycaemic coma","107","0"
"C105000","Diabetes mellitus, juvenile type, + ophthalmic manifestation","39","0"
"C108112","Type 1 diabetes mellitus with ophthalmic complications","1","0"
"C108511","Type I diabetes mellitus with ulcer","11","0"
"C107300","IDDM with peripheral circulatory disorder","51","0"
"C108111","","0","0"
"C10EM00","Type 1 diabetes mellitus with ketoacidosis","6249","9"
"C10E112","Insulin-dependent diabetes mellitus with ophthalmic comps","9","0"
"C10C.12","Maturity onset diabetes in youth type 1","6","0"
"C10E111","Type I diabetes mellitus with ophthalmic complications","2","0"
"C10EQ00","Type 1 diabetes mellitus with gastroparesis","340","0"
"C10E512","Insulin dependent diabetes mellitus with ulcer","5","0"
"C10E511","Type I diabetes mellitus with ulcer","8","0"
"C108E00","Insulin dependent diabetes mellitus with hypoglycaemic coma","55","0"
"C10E912","Insulin dependent diabetes maturity onset","8","0"
"C10E911","Type I diabetes mellitus maturity onset","15","0"
"C108A00","Insulin-dependent diabetes without complication","27","0"
"C102000","Diabetes mellitus, juvenile type, with hyperosmolar coma","12","0"
"C10EA12","Insulin-dependent diabetes without complication","10","0"
"C10EA11","Type I diabetes mellitus without complication","5","0"
"C108900","Insulin dependent diabetes maturity onset","832","0"
