"Code","Description","MedicalFrequency","AHDFrequency"
"C106100","Diabetes mellitus, adult onset, + neurological manifestation","549","0"
"C109611","Type II diabetes mellitus with retinopathy","22","0"
"C109212","Type 2 diabetes mellitus with neurological complications","15","0"
"C109.13","Type II diabetes mellitus","5277","222"
"C109.12","Type 2 diabetes mellitus","47757","80"
"C109211","Type II diabetes mellitus with neurological complications","3","0"
"C10FE00","Type 2 diabetes mellitus with diabetic cataract","114","0"
"C10FQ00","Type 2 diabetes mellitus with exudative maculopathy","225","0"
"C109.11","NIDDM - Non-insulin dependent diabetes mellitus","13877","16"
"C109J00","Insulin treated Type 2 diabetes mellitus","5141","21"
"C10FM00","Type 2 diabetes mellitus with persistent microalbuminuria","9152","0"
"C10D.11","Maturity onset diabetes in youth type 2","35","0"
"C10F111","Type II diabetes mellitus with ophthalmic complications","8","0"
"C109F00","Non-insulin-dependent d m with peripheral angiopath","14","0"
"C10F911","Type II diabetes mellitus without complication","241","0"
"C10F511","Type II diabetes mellitus with gangrene","4","0"
"C109B00","Non-insulin dependent diabetes mellitus with polyneuropathy","16","0"
"C10FA11","Type II diabetes mellitus with mononeuropathy","28","0"
"C103100","Diabetes mellitus, adult onset, with ketoacidotic coma","5","0"
"C100112","Non-insulin dependent diabetes mellitus","86058","146"
"C109500","Non-insulin dependent diabetes mellitus with gangrene","11","0"
"C10FJ11","Insulin treated Type II diabetes mellitus","107","0"
"C109100","Non-insulin-dependent diabetes mellitus with ophthalm comps","20","0"
"C10FF11","Type II diabetes mellitus with peripheral angiopathy","55","0"
"C109J12","Insulin treated Type II diabetes mellitus","67","0"
"C10FR11","Type II diabetes mellitus with gastroparesis","2","0"
"C109J11","Insulin treated non-insulin dependent diabetes mellitus","36","0"
"C109F12","Type 2 diabetes mellitus with peripheral angiopathy","2","0"
"C10D.00","Diabetes mellitus autosomal dominant type 2","275","0"
"C10F100","Type 2 diabetes mellitus with ophthalmic complications","91","0"
"C10FN11","Type II diabetes mellitus with ketoacidosis","4","0"
"C109F11","Type II diabetes mellitus with peripheral angiopathy","5","0"
"C10F900","Type 2 diabetes mellitus without complication","601","0"
"C109B12","Type 2 diabetes mellitus with polyneuropathy","4","0"
"C10F500","Type 2 diabetes mellitus with gangrene","62","1"
"C109B11","Type II diabetes mellitus with polyneuropathy","2","0"
"C10FA00","Type 2 diabetes mellitus with mononeuropathy","49","19"
"C109612","Type 2 diabetes mellitus with retinopathy","26","0"
"C109511","Type II diabetes mellitus with gangrene","7","0"
"C10FH00","Type 2 diabetes mellitus with neuropathic arthropathy","205","0"
"C109512","Type 2 diabetes mellitus with gangrene","7","0"
"C104100","Diabetes mellitus, adult onset, with renal manifestation","121","0"
"C109111","Type II diabetes mellitus with ophthalmic complications","3","0"
"C10FD00","Type 2 diabetes mellitus with hypoglycaemic coma","110","1"
"C109112","Type 2 diabetes mellitus with ophthalmic complications","5","0"
"C10FP00","Type 2 diabetes mellitus with ketoacidotic coma","26","2"
"C10FL00","Type 2 diabetes mellitus with persistent proteinuria","5235","3"
"C10F011","Type II diabetes mellitus with renal complications","17","0"
