"Code","Description","MedicalFrequency","AHDFrequency"
"F420300","Advanced diabetic maculopathy","883","0"
"F425900","Maculopathy","1718","0"
"7272900","Focal laser photocoagulation of retina","1071","1"
"2BBL.00","O/E - diabetic maculopathy present both eyes","1011","3195"
"2BBW.00","O/E - right eye diabetic maculopathy","1136","15398"
"C10FQ00","Type 2 diabetes mellitus with exudative maculopathy","225","0"
"C10FQ11","Type II diabetes mellitus with exudative maculopathy","1","0"
"2BBX.00","O/E - left eye diabetic maculopathy","1030","15953"
"F42y900","Macular oedema","17018","0"
"C10EP00","Type 1 diabetes mellitus with exudative maculopathy","78","0"
"C10EP11","Type I diabetes mellitus with exudative maculopathy","1","0"
"F420400","Diabetic maculopathy","26214","76"
"2BBm.00","O/E - right eye clinically significant macular oedema","372","885"
"2BBn.00","O/E - left eye clinically significant macular oedema","256","780"
