"Code","Description","MedicalFrequency","AHDFrequency"
"F420100","Proliferative diabetic retinopathy","10613","19"
"F422y00","Other specified other proliferative retinopathy","18","0"
"F422z00","Proliferative retinopathy NOS","471","0"
"7272800","Panretinal laser photocoagulation to lesion of retina","2830","0"
"F422.00","Other proliferative retinopathy","528","0"
"2BBV.00","O/E - left eye proliferative diabetic retinopathy","416","3062"
"F4K2800","Vitreous haemorrhage","10982","0"
"F420700","High risk proliferative diabetic retinopathy","119","0"
"FyuF700","[X]Other proliferative retinopathy","12","0"
"2BBT.00","O/E - right eye proliferative diabetic retinopathy","431","3368"
"F420500","Advanced diabetic retinal disease","92","0"
"FyuH400","[X]Vitreous haemorrhage in diseases classified elsewhere","35","0"
"7272500","Panretinal laser photocoagulation to lesion of retina NEC","352","0"
"2BB7.00","O/E - retinal vascular prolif.","24","88"
"2BB8.00","O/E - vitreous haemorrhages","4544","3727"
"7276.00","Pan retinal photocoagulation for diabetes","5064","0"
"2BBk.00","O/E - right eye stable treated prolif diabetic retinopathy","23","249"
"2BBl.00","O/E - left eye stable treated prolif diabetic retinopathy","16","189"
