"Code","Description","MedicalFrequency","AHDFrequency"
"H54..00","Pulmonary congestion and hypostasis","268","3"
"SP08400","Heart transplant failure and rejection","13","0"
"33BA.00","Impaired left ventricular function","6459","27"
"9N2p.00","Seen by community heart failure nurse","13003","0"
"G554011","Congestive obstructive cardiomyopathy","9","0"
"7933.00","Transluminal heart assist operations","13","0"
"ZRad.00","New York Heart Assoc classification heart failure symptoms","556","0"
"G211100","Benign hypertensive heart disease with CCF","75","0"
"G582.00","Acute heart failure","387","88"
"7933200","Transluminal maintenance of heart assist system","1","0"
"9Or0.00","Heart failure review completed","4452","0"
"7933600","Implantation of left ventricular assist device","4","0"
"G232.00","Hypertensive heart&renal dis wth (congestive) heart failure","27","0"
"8HHb.00","Referral to heart failure nurse","2972","0"
"G580300","Compensated cardiac failure","244","0"
"662p.00","Heart failure 6 month review","908","0"
"7901.00","Other transplantation of heart","473","1"
"H54z.00","Pulmonary congestion and hypostasis NOS","1","0"
"662h.00","New York Heart Association classification - class III","4562","1"
"8CeC.00","Preferred place of care for next exacerbation heart failure","11","0"
"585f.00","Echocardiogram shows left ventricular systolic dysfunction","7573","23616"
"7900z00","Transplantation of heart and lung NOS","3","0"
"G210000","","0","0"
"8CMK.00","Has heart failure management plan","958","0"
"8CMW800","Heart failure clinical pathway","92","0"
"14AM.00","H/O: Heart failure in last year","107","0"
"G5yyD00","Left ventricular cardiac dysfunction","1044","4"
"7900100","","0","0"
"H584.00","Acute pulmonary oedema unspecified","4193","94"
"G5y4z00","Post cardiac operation heart failure NOS","3","0"
"8HHz.00","Referral to heart failure exercise programme","2080","0"
"8CL3.00","Heart failure care plan discussed with patient","1191","0"
"7936J00","Implantat intravenous biventricular cardiac pacemaker system","158","0"
"SP11111","Heart failure as a complication of care","4","0"
"7901300","","0","0"
"9N0k.00","Seen in heart failure clinic","28131","0"
"14A6.00","H/O: heart failure","730","0"
"7933100","Transluminal insertion of heart assist system NEC","1","0"
"G581.11","Asthma - cardiac","376","0"
"G400.00","Acute cor pulmonale","2473","81"
"7933500","Implantation of right ventricular assist device","1","0"
"ZV42100","[V]Heart transplanted","277","0"
"661N500","Heart failure self-management plan review","9","0"
"8HTL000","Referral to rapid access heart failure clinic","510","0"
"G230.00","Malignant hypertensive heart and renal disease","7","0"
