"Code","Description","MedicalFrequency","AHDFrequency"
"Gyu2.00","[X]Hypertensive diseases","121","0"
"G22..00","Hypertensive renal disease","2043","3"
"G241.00","Secondary benign hypertension","95","0"
"G222.00","Hypertensive renal disease with renal failure","85","1"
"G25..11","Stage 1 hypertension","2976","0"
"G241000","Secondary benign renovascular hypertension","131","0"
"G203.00","Diastolic hypertension","623","1"
"G251.00","Stage 1 hyperten (NICE 2011) with evidnce end organ damge","18","0"
"G23z.00","Hypertensive heart and renal disease NOS","8","0"
"G211100","Benign hypertensive heart disease with CCF","75","0"
"G26..11","Severe hypertension","203","0"
"G232.00","Hypertensive heart&renal dis wth (congestive) heart failure","27","0"
"G24..00","Secondary hypertension","3333","2"
"G211z00","Benign hypertensive heart disease NOS","8","0"
"G23..00","Hypertensive heart and renal disease","61","0"
"G21zz00","Hypertensive heart disease NOS","291","13"
"G22z.00","Hypertensive renal disease NOS","332","2"
"G221.00","Benign hypertensive renal disease","61","0"
"G200.00","Malignant essential hypertension","3177","6"
"G22..11","Nephrosclerosis","479","6"
"G2y..00","Other specified hypertensive disease","1823","2"
"G25..00","Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)","1084","0"
"G21z000","Hypertensive heart disease NOS without CCF","84","0"
"G21z.00","Hypertensive heart disease NOS","110","8"
"G20z.00","Essential hypertension NOS","179213","51"
"G26..00","Severe hypertension (Nat Inst for Health Clinical Ex 2011)","60","0"
"G210.00","Malignant hypertensive heart disease","30","0"
"G240z00","Secondary malignant hypertension NOS","9","0"
"G210000","","0","0"
"G2z..00","Hypertensive disease NOS","44516","34"
"G231.00","Benign hypertensive heart and renal disease","3","0"
"Gyu2000","[X]Other secondary hypertension","8","0"
"G20..12","Primary hypertension","31","0"
"G24z100","Hypertension secondary to drug","271","9"
"G20..11","High blood pressure","183278","89"
"G27..00","Hypertension resistant to drug therapy","99","1"
"G220.00","Malignant hypertensive renal disease","104","0"
"G2...00","Hypertensive disease","1406632","1088"
"G201.00","Benign essential hypertension","56690","5"
"G21z011","Cardiomegaly - hypertensive","1467","7"
"G24zz00","Secondary hypertension NOS","253","0"
"G20z.11","Hypertension NOS","82517","77"
"G234.00","Hyperten heart&renal dis+both(congestv)heart and renal fail","6","0"
"G211000","Benign hypertensive heart disease without CCF","17","0"
"G241z00","Secondary benign hypertension NOS","79","0"
"G211.00","Benign hypertensive heart disease","43","0"
"G230.00","Malignant hypertensive heart and renal disease","7","0"
"G28..00","Stage 2 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)","1017","0"
"G244.00","Hypertension secondary to endocrine disorders","199","0"
"G20..00","Essential hypertension","3034297","1982"
"G210z00","Malignant hypertensive heart disease NOS","7","0"
"G250.00","Stage 1 hyperten (NICE 2011) without evidnce end organ damge","134","0"
"G240.00","Secondary malignant hypertension","95","0"
"G2...11","BP - hypertensive disease","22233","5"
"G202.00","Systolic hypertension","15032","2"
"G240000","Secondary malignant renovascular hypertension","22","0"
"G21z100","Hypertensive heart disease NOS with CCF","89","0"
"G233.00","Hypertensive heart and renal disease with renal failure","50","2"
"G21..00","Hypertensive heart disease","3204","276"
"G210100","Malignant hypertensive heart disease with CCF","1","0"
"G24z.00","Secondary hypertension NOS","447","0"
"G22z.11","Renal hypertension","536","1"
"G24z000","Secondary renovascular hypertension NOS","189","0"
"Gyu2100","[X]Hypertension secondary to other renal disorders","6","0"
