"Code","Description","MedicalFrequency","AHDFrequency"
"G759.00","Juvenile polyarteritis","114","0"
"G757.00","Takayasu's disease","225","0"
"G755.00","Giant cell arteritis","5918","2"
"G754.11","Granulomatosis with polyangiitis","72","0"
"G75A.00","Microscopic polyangiitis","102","1"
"G75z.00","Polyarteritis nodosa and allied conditions NOS","136","0"
"G75..00","Polyarteritis nodosa and allied conditions","56","0"
"G756z00","Thrombotic microangiopathy NOS","4","0"
"G752100","Goodpasture's disease","4","3"
"G752000","Goodpasture's syndrome","231","2"
"G752z00","Hypersensitivity angiitis NOS","104","10"
"G750.00","Polyarteritis nodosa","1633","5"
"G752.00","Hypersensitivity angiitis","165","21"
"G756100","Thrombotic thrombocytopenic purpura","293","6"
"G758.00","Churg-Strauss vasculitis","898","3"
"G756.00","Thrombotic microangiopathy","52","1"
"G757.12","Pulseless disease","26","0"
"G757.11","Aortic arch arteritis","32","1"
"G756000","Moschcowitz syndrome","1","0"
"G754.00","Wegener's granulomatosis","3584","17"
"G751000","Kawasaki disease","2317","0"
"G752112","Anti GBM disease - Antiglomerular basement membrane disease","17","0"
"G75X.00","Necrotising vasculopathy, unspecified","87","1"
"G755z00","Giant cell arteritis NOS","72","0"
"G752111","Antiglomerular basement membrane disease","3","0"
"G751.00","Acute febrile mucocutaneous lymph node syndrome","3","0"
"G750.11","Necrotising angiitis","4","0"
"G752.11","Hypersensitivity arteritis","10","0"
"G753.00","Lethal midline granuloma","3","0"
"G755000","Cranial arteritis","2447","0"
"G755100","Temporal arteritis","37241","28"
"G751z00","Acute febrile mucocutaneous lymph node syndrome NOS","4","0"
"G755200","Horton's disease","11","0"
