"Code","Description","MedicalFrequency","AHDFrequency"
"N040100","Other rheumatoid arthritis of spine","37","0"
"N040.00","Rheumatoid arthritis","263778","1021"
"N040000","Rheumatoid arthritis of cervical spine","28","0"
"N040400","Rheumatoid arthritis of acromioclavicular joint","7","0"
"N040500","Rheumatoid arthritis of elbow","34","0"
"N040200","Rheumatoid arthritis of shoulder","51","0"
"N040300","Rheumatoid arthritis of sternoclavicular joint","2","0"
"N040800","Rheumatoid arthritis of MCP joint","79","0"
"N040900","Rheumatoid arthritis of PIP joint of finger","40","0"
"N040600","Rheumatoid arthritis of distal radio-ulnar joint","4","0"
"N040700","Rheumatoid arthritis of wrist","106","0"
"N040A00","Rheumatoid arthritis of DIP joint of finger","17","0"
"N040D00","Rheumatoid arthritis of knee","158","0"
"N040E00","Rheumatoid arthritis of tibio-fibular joint","1","0"
"N040B00","Rheumatoid arthritis of hip","36","0"
"N040C00","Rheumatoid arthritis of sacro-iliac joint","4","0"
"N040H00","Rheumatoid arthritis of talonavicular joint","7","0"
"N040F00","Rheumatoid arthritis of ankle","62","0"
"N040G00","Rheumatoid arthritis of subtalar joint","10","0"
"N040L00","Rheumatoid arthritis of lesser MTP joint","7","0"
"N040M00","Rheumatoid arthritis of IP joint of toe","6","0"
"N040J00","Rheumatoid arthritis of other tarsal joint","9","0"
"N040K00","Rheumatoid arthritis of 1st MTP joint","15","0"
"N040P00","Seronegative rheumatoid arthritis","7597","0"
"N040Q00","Rheumatoid bursitis","77","0"
"N040N00","Rheumatoid vasculitis","208","1"
"N040T00","Flare of rheumatoid arthritis","5052","5"
"N040R00","Rheumatoid nodule","128","0"
"N040S00","Rheumatoid arthritis - multiple joint","485","0"
