"Code","Description","MedicalFrequency","AHDFrequency"
"F443100","Iritis","3460","0"
"F441.00","Chronic iridocyclitis","407","0"
"AB4z200","Histoplasmosis with retinitis","3","0"
"F441200","Chronic anterior uveitis","5783","0"
"F44..12","Iridocyclitis","2443","0"
"F441000","Unspecified chronic iridocyclitis","31","0"
"F401100","Panuveitis","1016","0"
"F432400","Harada's disease","15","0"
"AD02.00","Toxoplasma chorioretinitis","435","0"
"A532200","Herpes zoster iridocyclitis","35","0"
"F432200","Posterior uveitis NOS","1228","0"
"F430100","Focal juxtapapillary choroiditis","18","0"
"F432000","Choroiditis NOS","2459","0"
"F432.00","Other chorioretinitis and retinochoroiditis","42","0"
"F430z00","Focal chorioretinitis or retinochoroiditis NOS","32","0"
"F430700","Peripheral focal retinochoroiditis","4","0"
"AB41200","Histoplasma duboisii with retinitis","1","0"
"F430300","Peripheral focal chorioretinitis","5","0"
"F430500","Focal macular retinochoroiditis","120","0"
"F442000","Fuchs' heterochromic cyclitis","1956","0"
"F442200","Lens-induced iridocyclitis","2","0"
"F440100","Unspecified subacute iridocyclitis","17","0"
"F443.11","Uveitis NOS","36752","0"
"F442.00","Certain types of iridocyclitis","7","0"
"F440500","Secondary noninfected iridocyclitis","26","0"
"F4A2111","Keratitic precipitates","147","0"
"F440300","Recurrent iridocyclitis","153","0"
"F400400","Vitreous abscess","18","0"
"F400200","Panophthalmitis","37","0"
"F431000","Unspecified disseminated chorioretinitis","13","0"
"A915100","Secondary syphilitic chorioretinitis","5","0"
"F440z00","Acute or subacute iritis NOS","1122","0"
"A173300","Tuberculous chronic iridocyclitis","16","0"
"F431.00","Disseminated chorioretinitis and retinochoroiditis","27","0"
"A915z00","Secondary syphilitic uveitis NOS","2","0"
"A984100","Gonococcal iridocyclitis","1","0"
"F431400","Metastatic disseminated retinitis","7","0"
"AB40200","Histoplasma capsulatum with retinitis","6","0"
"F431600","Punctate inner choroidopathy","87","0"
"A900.12","Congenital syphilitic choroiditis","3","0"
"F441100","Chronic iridocyclitis due to disease EC","6","0"
"F443.00","Unspecified iridocyclitis","7332","3"
"F443000","Anterior uveitis","26244","0"
"F440.11","Iritis - acute","31352","1"
"F401000","Sympathetic uveitis","193","0"
"F441z00","Chronic iridocyclitis NOS","57","0"
"F430000","Unspecified focal chorioretinitis","96","0"
"F432300","Posterior cyclitis","156","0"
"F432100","Retinitis NOS","771","0"
"F430200","Other posterior pole focal chorioretinitis","2","0"
"1486.00","H/O: iritis","2489","0"
"F430.00","Focal chorioretinitis and retinochoroiditis","204","0"
"F430800","Multifocal choroiditis","89","0"
"F432z00","Other chorioretinitis or retinochoroiditis NOS","327","1"
"F430400","Focal juxtapapillary retinitis","3","0"
"FyuDC00","[X]Other iridocyclitis","2","0"
"F430600","Other posterior pole focal retinitis","3","0"
"F441.11","Chronic iritis","1924","0"
"C34y300","Gouty iritis","22","0"
"F440000","Unspecified acute iridocyclitis","344","0"
"F440.00","Acute and subacute iridocyclitis","4865","0"
"F440400","Secondary infected iridocyclitis","12","0"
"F440200","Primary iridocyclitis","30","0"
"F442z00","Certain types of cyclitis NOS","14","0"
"F432311","Pars planitis","279","0"
"A915000","Syphilitic uveitis unspecified","4","0"
"F431100","Disseminated posterior pole chorioretinitis","1","0"
"F431300","General disseminated chorioretinitis","3","0"
"A915200","Secondary syphilitic iridocyclitis","1","0"
"FyuF000","[X]Other chorioretinal inflammations","10","0"
"A173000","Tuberculous chorioretinitis","36","0"
"A915.00","Uveitis due to secondary syphilis","26","0"
"F430.11","Retinitis and chorioretinitis","141","0"
"F431z00","Disseminated chorioretinitis and retinochoroiditis NOS","2","0"
"A94y200","Syphilitic disseminated retinochoroiditis","4","0"
"A544400","Herpes simplex iridocyclitis","30","0"
