"Code","Description","MedicalFrequency","AHDFrequency"
"G30y100","Acute papillary muscle infarction","6","0"
"7926z00","Connection of other thoracic artery to coronary artery NOS","1","0"
"7920000","Saphenous vein graft replacement of one coronary artery","545","0"
"7922300","Allograft replacement of four or more coronary arteries","32","0"
"G306.00","True posterior myocardial infarction","50","0"
"793Gy00","OS perc translumina balloon angioplast stenting coronary art","10","0"
"G33z400","Ischaemic chest pain","1274","0"
"G34y000","Chronic coronary insufficiency","141","2"
"G312.00","Coronary thrombosis not resulting in myocardial infarction","65","8"
"7920y00","Saphenous vein graft replacement of coronary artery OS","13053","5"
"187..00","Frequency of angina","543","0"
"G341.00","Aneurysm of heart","442","2"
"G32..00","Old myocardial infarction","10282","62"
"G30X000","Acute ST segment elevation myocardial infarction","23091","23"
"G30A.00","Mural thrombosis","645","2"
"G364.00","Ruptur chordae tendinae/curr comp fol acute myocard infarct","2","0"
"7925012","RIMA sequential anastomosis","4","0"
"7924.00","Revision of bypass for coronary artery","587","0"
"3235.00","ECG: subendocardial infarct","6","29"
"7926100","","0","0"
"Gyu3200","[X]Other forms of acute ischaemic heart disease","7","0"
"7925011","LIMA sequential anastomosis","39","0"
"7A56000","Percutaneous transluminal arterial thrombolysis reconstruct","4","0"
"5543.00","Coronary arteriograph.abnormal","7660","8405"
"G311500","Acute coronary syndrome","29476","87"
"7921100","Autograft replacement of two coronary arteries NEC","87","0"
"G330.00","Angina decubitus","2044","0"
"662K300","Angina control - worsening","4188","1"
"G382.00","Postoperative transmural myocardial infarction other sites","2","0"
"7A54500","Rotary blade angioplasty","145","1"
"8B63.11","Aspirin prophylaxis - IHD","55978","34"
"7921z00","Other autograft replacement of coronary artery NOS","18","0"
"793G000","Perc translum ball angio insert 1-2 drug elut stents cor art","821","0"
"G341.11","Cardiac aneurysm","121","3"
"G31y.00","Other acute and subacute ischaemic heart disease","129","5"
"792Az00","Diagnostic transluminal operation on coronary artery NOS","9","1"
"G34y100","Chronic myocardial ischaemia","1243","141"
"G39..00","Coronary microvascular disease","73","0"
"792z.00","Coronary artery operations NOS","1624","0"
"661M000","Angina self-management plan agreed","35","0"
"792A100","Intravascular ultrasound of coronary artery","69","0"
"7929500","Insertion of drug-eluting coronary artery stent","2322","0"
"ZV45700","[V]Presence of aortocoronary bypass graft","47","0"
"7927200","Transection of muscle bridge of coronary artery","2","0"
"G34yz00","Other specified chronic ischaemic heart disease NOS","50","2"
"G3z..00","Ischaemic heart disease NOS","59051","150"
"7924500","Revision of implantation of thoracic artery into heart","1","0"
"792E.00","Percutaneous coronary intervention","9882","0"
"7922200","Allograft replacement of three coronary arteries","60","0"
"G30y000","Acute atrial infarction","109","1"
"7926y00","","0","0"
"792A000","Percutaneous transluminal angioscopy","1242","0"
"G35X.00","Subsequent myocardial infarction of unspecified site","10","0"
"G33z500","Post infarct angina","224","0"
"G340.11","Triple vessel disease of the heart","9609","5"
"G340.12","Coronary artery disease","37636","917"
"792B200","Repair of arteriovenous malformation of coronary artery","6","0"
"G36..00","Certain current complication follow acute myocardial infarct","26","0"
