"Code","Description","MedicalFrequency","AHDFrequency"
"G30y100","Acute papillary muscle infarction","6","0"
"14A4.00","H/O: myocardial infarct >60","2201","1"
"G306.00","True posterior myocardial infarction","50","0"
"G350.00","Subsequent myocardial infarction of anterior wall","48","0"
"G383.00","Postoperative transmural myocardial infarction unspec site","2","0"
"G31..00","Other acute and subacute ischaemic heart disease","237","7"
"G32..00","Old myocardial infarction","10282","62"
"G30X000","Acute ST segment elevation myocardial infarction","23091","23"
"G301z00","Anterior myocardial infarction NOS","4741","7"
"G30X.00","Acute transmural myocardial infarction of unspecif site","179","7"
"G364.00","Ruptur chordae tendinae/curr comp fol acute myocard infarct","2","0"
"Gyu3400","[X]Acute transmural myocardial infarction of unspecif site","4","0"
"G301100","Acute anteroseptal infarction","1324","2"
"G360.00","Haemopericardium/current comp folow acut myocard infarct","70","68"
"G309.00","Acute Q-wave infarct","111","0"
"3235.00","ECG: subendocardial infarct","6","29"
"Gyu3600","[X]Subsequent myocardial infarction of unspecified site","2","0"
"G38..00","Postoperative myocardial infarction","214","0"
"G307100","Acute non-ST segment elevation myocardial infarction","62185","66"
"G311500","Acute coronary syndrome","29476","87"
"G305.00","Lateral myocardial infarction NOS","763","1"
"G351.00","Subsequent myocardial infarction of inferior wall","54","0"
"G382.00","Postoperative transmural myocardial infarction other sites","2","0"
"G310.11","Dressler's syndrome","503","0"
"889A.00","Diab mellit insulin-glucose infus acute myocardial infarct","6","0"
"G365.00","Rupture papillary muscle/curr comp fol acute myocard infarct","3","1"
"G30B.00","Acute posterolateral myocardial infarction","59","0"
"G31y200","Subendocardial ischaemia","131","1"
"G361.00","Atrial septal defect/curr comp folow acut myocardal infarct","40","0"
"3234.00","ECG:posterior/inferior infarct","9","159"
"G302.00","Acute inferolateral infarction","2027","2"
"G30..00","Acute myocardial infarction","232780","3362"
"G304.00","Posterior myocardial infarction NOS","907","3"
"G30y200","Acute septal infarction","212","0"
"G381.00","Postoperative transmural myocardial infarction inferior wall","29","0"
"G30y.00","Other acute myocardial infarction","299","7"
"G30y000","Acute atrial infarction","109","1"
"G310.00","Postmyocardial infarction syndrome","120","0"
"G35X.00","Subsequent myocardial infarction of unspecified site","10","0"
"G33z500","Post infarct angina","224","0"
"G35..00","Subsequent myocardial infarction","300","4"
"G38z.00","Postoperative myocardial infarction, unspecified","21","0"
"14AT.00","History of myocardial infarction","374","1"
"G366.00","Thrombosis atrium,auric append&vent/curr comp foll acute MI","49","1"
"G30..17","Silent myocardial infarction","438","4"
"G30..16","Thrombosis - coronary","231","148"
"G30..15","MI - acute myocardial infarction","88807","2044"
"G362.00","Ventric septal defect/curr comp fol acut myocardal infarctn","40","3"
"Gyu3500","[X]Subsequent myocardial infarction of other sites","1","0"
"3233.00","ECG: antero-septal infarct.","10","180"
"G36..00","Certain current complication follow acute myocardial infarct","26","0"
"Gyu3100","","0","0"
"G30..14","Heart attack","4851","57"
"G301.00","Other specified anterior myocardial infarction","2312","10"
"G30..13","Cardiac rupture following myocardial infarction (MI)","115","52"
"G30..12","Coronary thrombosis","2331","282"
"G30..11","Attack - heart","427","1"
"G301000","Acute anteroapical infarction","127","0"
"323..00","ECG: myocardial infarction","421","1009"
"323Z.00","ECG: myocardial infarct NOS","3","129"
"14A3.00","H/O: myocardial infarct <60","3073","0"
"G353.00","Subsequent myocardial infarction of other sites","2","0"
"G307000","Acute non-Q wave infarction","945","0"
"G303.00","Acute inferoposterior infarction","638","1"
"G307.00","Acute subendocardial infarction","3551","8"
"3232.00","ECG: old myocardial infarction","41","597"
"G30z.00","Acute myocardial infarction NOS","77300","585"
"14AH.00","H/O: Myocardial infarction in last year","154","0"
"G380.00","Postoperative transmural myocardial infarction anterior wall","11","0"
"G384.00","Postoperative subendocardial myocardial infarction","25","0"
"G32..12","Personal history of myocardial infarction","996","2"
"G32..11","Healed myocardial infarction","305","4"
"3236.00","ECG: lateral infarction","11","37"
"G31y100","Microinfarction of heart","18","0"
"G363.00","Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI","1","2"
"G501.00","Post infarction pericarditis","53","1"
"G308.00","Inferior myocardial infarction NOS","14919","37"
"G30yz00","Other acute myocardial infarction NOS","815","3"
"14AW.00","H/O acute coronary syndrome","381","2"
"G300.00","Acute anterolateral infarction","2245","4"
