"Code","Description","MedicalFrequency","AHDFrequency"
"Eu84.00","[X]Pervasive developmental disorders","634","0"
"Eu7z.12","[X]Mental subnormality NOS","220","0"
"Eu84400","[X]Overactive disorder assoc mental retard/stereotype movts","18","0"
"E30..11","Educationally subnormal","2684","0"
"E3z..00","Mental retardation NOS","863","0"
"Eu7y000","[X]Oth mental retard with statement no or min impairm behav","3","0"
"Eu84y00","[X]Other pervasive developmental disorders","6","0"
"Eu7z.11","[X]Mental deficiency NOS","60","0"
"Eu7y.00","[X]Other mental retardation","12","0"
"Eu72.11","[X]Severe mental subnormality","120","0"
"E3...00","Mental retardation","8240","7"
"Eu7zy00","[X]Unspecified mental retardatn, other impairments of behav","15","0"
"Eu71000","[X]Mod mental retard with statement no or min impairm behav","12","0"
"Eu71.00","[X]Moderate mental retardation","3500","0"
"Eu73100","[X]Profound ment retard sig impairmnt behav req attent/treat","3","0"
"Eu73z00","[X]Prfnd mental retardation without mention impairment behav","2","0"
"Eu71y00","[X]Mod retard oth behav impair","8","0"
"E311.00","Severe mental retardation, IQ in range 20-34","1420","1"
"PJ0z.11","Trisomy 21 NOS","28","0"
"Eu70y00","[X]Mild mental retardation, other impairments of behaviour","61","0"
"PJ0..12","Trisomy 21","343","2"
"Eu84112","[X]Mental retardation with autistic features","113","0"
"PJ0..11","Mongolism","183","0"
"E31z.00","Other specified mental retardation NOS","146","0"
"Eu7z000","[X]Unsp mental retard with statement no or min impairm behav","11","0"
"Eu81400","[X]Moderate learning disability","6785","0"
"Eu81600","[X]Mild learning disability","5829","0"
"Eu7z.00","[X]Unspecified mental retardation","214","0"
"Eu70000","[X]Mld mental retard with statement no or min impairm behav","55","0"
"Eu72100","[X]Sev mental retard sig impairment behav req attent/treatmt","21","0"
"Eu71.11","[X]Moderate mental subnormality","100","0"
"Eu70.00","[X]Mild mental retardation","3124","1"
"E3y..00","Other specified mental retardation","57","0"
"Eu72z00","[X]Sev mental retardation without mention impairment behav","11","0"
"Eu7yz00","[X]Other mental retardation without mention impairment behav","4","0"
"E310.00","Moderate mental retardation, IQ in range 35-49","825","0"
"E312.00","Profound mental retardation with IQ less than 20","104","10"
"PJyy400","Fragile X syndrome","559","1"
"PJyy200","Fragile X chromosome","943","1"
"Eu71z00","[X]Mod mental retardation without mention impairment behav","12","0"
"PJ0..00","Down's syndrome - trisomy 21","11146","697"
"Eu7y100","[X]Oth mental retard sig impairment behav req attent/treatmt","8","0"
"Eu84z00","[X]Pervasive developmental disorder, unspecified","131","0"
"ZS34.11","Learning disability","6904","3"
"Eu73.00","[X]Profound mental retardation","346","0"
"Eu7zz00","[X]Unsp mental retardation without mention impairment behav","33","0"
"Eu81z11","[X]Learning disability NOS","18409","3"
"Eu71100","[X]Mod mental retard sig impairment behav req attent/treatmt","17","0"
"Eu70.12","[X]Mild mental subnormality","233","0"
"Eu73000","","0","0"
"Eu73y00","[X]Profound mental retardation, other impairments of behavr","3","0"
"Eu70z00","[X]Mild mental retardation without mention impairment behav","30","0"
"Eu7z100","[X]Unsp mentl retard sig impairment behav req attent/treatmt","6","0"
"E30..00","Mild mental retardation, IQ in range 50-70","1811","1"
"Eu81500","[X]Severe learning disability","4126","3"
"Eu81700","[X]Profound learning disability","508","0"
"Eu72.00","[X]Severe mental retardation","2611","1"
"Eu73.11","[X]Profound mental subnormality","8","0"
"Eu7yy00","[X]Other mental retardation, other impairments of behaviour","8","0"
"Eu7..00","[X]Mental retardation","492","1"
"Eu72000","[X]Sev mental retard with statement no or min impairm behav","1","0"
"Eu72y00","[X]Severe mental retardation, other impairments of behaviour","29","0"
"Eu70100","[X]Mld mental retard sig impairment behav req attent/treatmt","23","0"
"E31..00","Other specified mental retardation","257","0"
"PJ0z.00","Down's syndrome NOS","1515","8"
