Code,Description,MedicalFrequency,AHDFrequency
9mA2100,Learning disability annual health check invtation 2nd letter,1716,0
9mA0.00,Learning disability annual health check verbal invitation,600,0
Eu7z.12,[X]Mental subnormality NOS,220,0
9HB1.00,Learning disabilities health action plan offered,10081,0
Eu84400,[X]Overactive disorder assoc mental retard/stereotype movts,18,0
E30..11,Educationally subnormal,2684,0
Eu7y000,[X]Oth mental retard with statement no or min impairm behav,3,0
E3z..00,Mental retardation NOS,863,0
Eu7z.11,[X]Mental deficiency NOS,60,0
Eu7y.00,[X]Other mental retardation,12,0
9HB6.11,Learning disabilities annual health check declined,28,0
Eu72.11,[X]Severe mental subnormality,120,0
E3...00,Mental retardation,8240,7
Eu7zy00,"[X]Unspecified mental retardatn, other impairments of behav",15,0
Eu71000,[X]Mod mental retard with statement no or min impairm behav,12,0
Eu73100,[X]Profound ment retard sig impairmnt behav req attent/treat,3,0
9HB5.00,Learning disabilities annual health assessment,30283,0
Eu71.00,[X]Moderate mental retardation,3500,0
Eu71y00,[X]Mod retard oth behav impair,8,0
Eu73z00,[X]Prfnd mental retardation without mention impairment behav,2,0
E311.00,"Severe mental retardation, IQ in range 20-34",1420,1
Eu70y00,"[X]Mild mental retardation, other impairments of behaviour",61,0
Eu84112,[X]Mental retardation with autistic features,113,0
9mA1.00,Learning disability annual health check telephone invitation,864,0
E31z.00,Other specified mental retardation NOS,146,0
Eu7z000,[X]Unsp mental retard with statement no or min impairm behav,11,0
9HB0.00,Learning disabilities health action plan declined,2229,0
Eu81400,[X]Moderate learning disability,6785,0
Eu81600,[X]Mild learning disability,5829,0
Eu81800,[X]Specific learning disability,87,0
Eu7z.00,[X]Unspecified mental retardation,214,0
Eu72100,[X]Sev mental retard sig impairment behav req attent/treatmt,21,0
Eu70000,[X]Mld mental retard with statement no or min impairm behav,55,0
Eu71.11,[X]Moderate mental subnormality,100,0
9HB4.00,Learning disabilities health action plan completed,25317,0
Eu70.00,[X]Mild mental retardation,3124,1
E3y..00,Other specified mental retardation,57,0
Eu72z00,[X]Sev mental retardation without mention impairment behav,11,0
Eu7yz00,[X]Other mental retardation without mention impairment behav,4,0
E310.00,"Moderate mental retardation, IQ in range 35-49",825,0
9mA..00,Learning disability annual health check invitation,9388,0
E312.00,Profound mental retardation with IQ less than 20,104,10
9mA2200,Learning disability annual health check invtation 3rd letter,971,0
Eu71z00,[X]Mod mental retardation without mention impairment behav,12,0
9mA2000,Learning disability annual health check invtation 1st letter,4569,0
E2F2.00,Other specific learning difficulty,5986,0
9mA2.00,Learning disability annual health check letter invitation,2873,0
Eu7y100,[X]Oth mental retard sig impairment behav req attent/treatmt,8,0
Eu81z12,[X]Learning disorder NOS,631,2
Eu81z13,[X]Learn acquisition disab NOS,146,0
Eu73.00,[X]Profound mental retardation,346,0
9HB7.00,Did not attend learning disabilities annual health assessmnt,451,0
Eu7zz00,[X]Unsp mental retardation without mention impairment behav,33,0
Eu81z11,[X]Learning disability NOS,18409,3
9HB3.00,Learning disabilities health assessment,10680,0
Eu70.12,[X]Mild mental subnormality,233,0
Eu71100,[X]Mod mental retard sig impairment behav req attent/treatmt,17,0
Eu73000,,0,0
Eu73y00,"[X]Profound mental retardation, other impairments of behavr",3,0
Eu70z00,[X]Mild mental retardation without mention impairment behav,30,0
9HB..00,Learning disabilities administration status,1681,0
Eu7z100,[X]Unsp mentl retard sig impairment behav req attent/treatmt,6,0
918e.00,On learning disability register,36362,2
Eu81500,[X]Severe learning disability,4126,3
E30..00,"Mild mental retardation, IQ in range 50-70",1811,1
Eu81700,[X]Profound learning disability,508,0
Eu72.00,[X]Severe mental retardation,2611,1
9HB6.00,Learning disabilities annual health assessment declined,586,0
Eu73.11,[X]Profound mental subnormality,8,0
9HB7.11,Did not attend learning disabilities annual health check,13,0
Eu81z00,"[X]Developmental disorder of scholastic skills, unspecified",3251,0
Eu7yy00,"[X]Other mental retardation, other impairments of behaviour",8,0
Eu72000,[X]Sev mental retard with statement no or min impairm behav,1,0
9HB2.00,Learning disabilities health action plan reviewed,9572,0
Eu7..00,[X]Mental retardation,492,1
Eu70100,[X]Mld mental retard sig impairment behav req attent/treatmt,23,0
94Z9.00,Preferred place of death: learning disability unit,1,0
Eu72y00,"[X]Severe mental retardation, other impairments of behaviour",29,0
E31..00,Other specified mental retardation,257,0
