"Code","Description","MedicalFrequency","AHDFrequency"
"Fy03.00","Sleep apnoea","20059","4"
"Fy03.11","Obstructive sleep apnoea","28298","15"
"R005300","[D]Hypersomnia with sleep apnoea","168","1394"
"R005311","[D]Sleep apnoea syndrome","23886","16603"
"R005312","[D]Syndrome sleep apnoea","185","174"
"H5B0.00","Obstructive sleep apnoea","1711","0"
"R005100","[D]Insomnia with sleep apnoea","13","135"
"R060400","[D]Apnoea","8417","40"
"Fy04.11","Ondine's curse","8","0"
"H5B..00","Sleep apnoea","4124","1"
