Code,Description,MedicalFrequency,AHDFrequency
U2zy.00,[X]Intent self harm by unspecif means occ oth specif place,4,0
U20By00,[X]Int self poison other gas/vapour other spec place,1,0
U241.00,,0,0
ZX1Q.00,Throwing self in front of train,4,1
U20B000,[X]Int self poison/exposure to other gas/vapour at home,12,0
U206.00,[X]Intent self poison/exposure to hallucinogen,10,0
U200.12,[X]Overdose - ibuprofen,179,0
U200.13,[X]Overdose - aspirin,513,0
TKxz.00,Suicide and selfinflicted injury by other means NOS,33,0
U200.11,[X]Overdose - paracetamol,7765,5
U22..00,[X]Intentional self harm by drowning and submersion,57,0
U20yz00,[X]Intent self poison unspecif chemical unspecif place,16,0
TKx..00,Suicide and selfinflicted injury by other means,34,0
U208z00,[X]Intent self poison oth/unsp drug/medic unspecif place,236,0
U202y00,[X]Int self poison sedative hypnotic other spec place,1,0
TK3z.00,Suicide + selfinflicted inj by hang/strangle/suffocate NOS,17,0
U212.00,[X]Inten slf harm hang strang/suffc sch oth ins/pub adm area,3,0
U2B0.00,[X]Intent self harm by jumping from high place occ at home,9,0
U20A.00,"[X]Intentional self poison organ solvent,halogen hydrocarb",51,0
ZX1K.11,Setting fire to self,17,0
TK11.00,Suicide + selfinflicted poisoning by liquified petrol gas,5,0
ZX1K.12,Setting self alight,1,0
U200.00,[X]Intent self poison/exposure to nonopioid analgesic,1057,0
U2D..00,[X]Intentional self harm by crashing of motor vehicle,15,0
ZX1H100,Self-strangulation,38,1
TK05.00,Suicide + selfinflicted poisoning by drug or medicine NOS,44588,86
TK3..00,Suicide + selfinflicted injury by hang/strangulate/suffocate,677,5
U270.00,[X]Intention self harm by smoke fire/flames occurrn at home,11,0
TK01000,Suicide and self inflicted injury by Amylobarbitone,3,0
U20A.11,[X]Self poisoning from glue solvent,207,0
ZX1K.00,Self-incineration,3,0
U21y.00,[X]Intent self harm by hangng strangul/suffoct oth spec plce,11,0
U208000,[X]Int self poison/exposure to oth/unsp drug/medicam home,41,0
U2A..00,[X]Intentional self harm by blunt object,38,0
TK6..00,Suicide and selfinflicted injury by cutting and stabbing,538,0
U20y000,[X]Int self poison/exposure to unspecif chemical at home,24,0
U26..00,[X]Intentional self harm by explosive material,1,0
U201000,[X]Int self poison/exposure to antiepileptic at home,1,0
U2z..00,[X]Intentional self harm by unspecified means,850,0
ZX1B100,Jumping from building,52,0
U29z.00,[X]Intentional self harm by sharp object occ unspecif place,81,0
TK04.00,Suicide + selfinflicted poisoning by other drugs/medicines,1645,1
U2Cy.00,[X]Int self harm jump/lying bef mov obje occ oth specif plce,1,0
TK7z.00,Suicide+selfinflicted injury-jump from high place NOS,24,0
TK52.00,Suicide and selfinflicted injury by hunting rifle,3,0
TK10.00,Suicide + selfinflicted poisoning by gas via pipeline,6,0
U208y00,[X]Int self poison oth/unsp drug/medic other spec place,1,0
TKx0000,Suicide + selfinflicted injury-jumping before moving object,15,0
14K1.00,Intentional overdose of prescription only medication,2056,1
U30..11,[X]Deliberate drug poisoning,684,0
TKx4.00,Suicide and selfinflicted injury by electrocution,12,0
U20Cy00,[X]Int self poison pesticide other spec place,1,0
U20C000,,0,0
U207.00,[X]Intent self poison/exposure to oth autonomic drug,3,0
ZX15.00,Drowning self,9,0
TK0z.00,Suicide + selfinflicted poisoning by solid/liquid subst NOS,321,2
U209z00,[X]Intent self poison alcohol unspecif place,26,0
ZX1H200,Self-suffocation,1,1
U22z.00,[X]Intent self harm by drown/submersn occ unspecified place,5,0
TK60100,Self inflicted lacerations to wrist,5872,4
U20B.00,[X]Intent self poison/exposure to other gas/vapour,71,0
U45..00,[X]Other+unspecified firearm discharge undetermined intent,3,0
TK01100,Suicide and self inflicted injury by Barbitone,1,0
U2D4.00,[X]Intent self harm by crash motor vehicl occ street/highway,1,0
TKx5.00,Suicide and selfinflicted injury by crashing motor vehicle,14,0
U216.00,[X]Intent self harm by hang strangl/suffc indust/constr area,1,0
U20B200,[X]Int self poison other gas/vapour school/pub admin area,2,0
TK2..00,Suicide + selfinflicted poisoning by other gases and vapours,21,0
U2A0.00,[X]Intentional self harm by blunt object occurrence at home,2,0
U2E..00,[X]Self mutilation,2093,0
ZX1B200,Jumping from bridge,60,0
ZX1E.00,Pinching self,7,0
U72..00,[X]Sequel intentn self-harm assault+event of undeterm intent,34,0
TK06.00,Suicide + selfinflicted poisoning by agricultural chemical,10,0
U2y0.00,[X]Intentionl self harm by oth specif means occurrn at home,27,0
U20A000,"[X]Intent self pois organ solvent,halogen hydrocarb, home",5,0
ZX1J.00,Self-electrocution,11,0
U200400,,0,0
ZX1L100,Self-mutilation of hands,36,0
SL...15,Overdose of drug,480267,331
SL...14,Overdose of biological substance,4445,15
U205.00,[X]Intent self poison/exposure to narcotic drug,130,3
ZRLfC12,HoNOS item 2 - non-accidental self injury,16,0
TK01.00,Suicide + selfinflicted poisoning by barbiturates,276,0
U207z00,[X]Intent self poison oth autonomic drug unspecif place,2,0
U280.00,[X]Intent self harm by steam hot vapour/hot obj occ at home,4,0
U274.00,[X]Intent self harm by smoke fire/flame occ street/highway,1,0
TK3y.00,Suicide + selfinflicted inj oth mean hang/strangle/suffocate,82,0
U211.00,[X]Intent self harm by hangng strangult/suffoct resid instit,8,0
TK7..00,Suicide and selfinflicted injury by jumping from high place,110,3
U20Bz00,[X]Intent self poison other gas/vapour unspecif place,5,0
U291.00,[X]Intent self harm by sharp object occ resident instit'n,11,0
U2C1.00,,0,0
ZX1B300,Jumping from cliff,6,0
U2z2.00,[X]Intent self harm by unspec mean occ sch/ins/pub adm area,3,0
U20y200,[X]Int self poison unspecif chemical school/pub admin area,1,0
U201.00,[X]Intent self poison/exposure to antiepileptic,57,0
