"Code","Description","MedicalFrequency","AHDFrequency"
"BB5V.00","[M]Pituitary adenomas and carcinomas","229","1"
"7102.00","Other operations on pituitary gland","49","0"
"C134411","ACTH deficiency","157","0"
"C133.00","Pituitary dwarfism","322","10"
"7102200","Decompression of pituitary gland","28","0"
"C130.11","Growth hormone overproduction","28","0"
"C134011","Hypoprolactinaemia","127","1"
"K5B1000","Primary pituitary - hypothalamic infertility","1","0"
"B8yy300","Carcinoma in situ of pituitary gland","28","0"
"7100300","Transphenoidal hypophysectomy","1171","21"
"C13y100","Adiposogenital dystrophy","13","0"
"C136.00","Other disorders of neurohypophysis","2","0"
"C134300","TSH - thyroid-stimulating hormone deficiency","691","6"
"C130100","Gigantism","90","0"
"C133.12","Hypophyseal dwarfism","1","0"
"C133.11","Lorain - Levi dwarfism","6","0"
"C13..00","Disorders of pituitary gland and its hypothalamic control","500","0"
"C132000","Idiopathic panhypopituitarism","33","0"
"C130z00","Disorders of growth hormone excess NOS","11","0"
"C132y00","Other specified panhypopituitarism","18","0"
"B7H2.00","Benign neoplasm of pituitary gland and craniopharyngeal duct","687","0"
"B920000","Neoplasm of uncertain behaviour of pituitary gland","21","0"
"7101y00","","0","0"
"B7H2200","Benign neoplasm of sella turcica","51","4"
"C139.00","Hypogonadotropic hypogonadism","1966","0"
"C13A.00","Pituitary apoplexy","53","0"
"7101000","Cryotherapy to pituitary gland","8","3"
"Cyu4M00","[X]Hyperfunction of pituitary gland, unspecified","2","0"
"C137z00","Iatrogenic pituitary disorder NOS","7","2"
"C131000","Hyperprolactinaemia","11306","0"
"C132.11","Hypopituitarism NOS","3286","5"
"C132.13","Simmond's disease","20","0"
"7102300","Exploration of pituitary gland","18","0"
"C132.12","Sheehan's syndrome","144","0"
"F4H5100","Disorder of optic chiasm due to non-pituitary neoplasm","1","0"
"C150200","Pituitary dependent Cushing's syndrome","47","0"
"C134z11","Anterior pituitary hormone deficiency NEC","33","0"
"7100y00","Other specified excision of pituitary gland","29","0"
"7100z11","Hypophysectomy NEC","130","0"
"B920z00","Neop uncertain behaviour pituitary and craniopharyngeal NOS","5","0"
"PK24000","Aberrant pituitary gland","2","0"
"BB5Vz00","[M]Pituitary adenoma or carcinoma NOS","142","0"
"C137111","Surgically-induced hypopituitarism","4","0"
"C135.11","Vasopressin deficiency","4","0"
"C135.12","Diabetes insipidus - pituitary","17","0"
"7100000","Transethmoidal hypophysectomy","30","3"
"C13y200","Cyst of Rathke's pouch","151","0"
"C138.00","Empty sella syndrome","363","1"
"B542000","Malignant neoplasm of pituitary gland","99","3"
"C13y.00","Other pituitary disorders + diencephalohypophyseal syndromes","6","0"
"C132100","Post-birth injury panhypopituitarism","1","0"
"C130200","Acromegaly","2978","0"
"C134400","Isolated ACTH deficiency","61","0"
"C130.00","Gigantism and acromegaly","139","0"
"C134000","Prolactin deficiency","67","0"
"B920100","Neoplasm of uncertain behaviour of craniopharyngeal duct","9","0"
"C132z00","Panhypopituitarism NOS","62","0"
"H35y500","Pituitary snuff-takers' disease","2","0"
"7101z00","","0","0"
"B7H2300","Benign neoplasm of craniopharyngeal duct","14","0"
"C137000","Hormone-induced hypopituitarism","2","0"
"7101100","Implantation of radioactive substance into pituitary gland","32","0"
"7102000","Excision of lesion of pituitary gland","136","0"
"C133000","Isolated deficiency of growth hormone","2170","9"
"C137200","Post-radiotherapy hypopituitarism","39","0"
"K5B1.00","Female infertility of pituitary - hypothalamic origin","28","0"
"7102400","Operation on pituitary stalk","4","0"
"F4H5000","Disorder of optic chiasm due to pituitary disorder","31","0"
"7102y00","Other specified other operation on pituitary gland","17","0"
"C133y00","Other specified pituitary dwarfism","1","0"
"PK24100","","0","0"
"PK24z00","Anomaly of pituitary gland NOS","25","0"
"710..00","Pituitary gland and pineal gland operations","46","0"
"7100100","Transseptal hypophysectomy","11","0"
"C136000","Inappropriate anti-diuretic hormone secretion syndrome","848","4"
"C13y300","Diencephalic syndrome secondary to tumour","2","0"
"Cyu4300","[X]Other hyperfunction of pituitary gland","1","0"
"C137.11","Iatrogenic hypopituitarism","38","0"
"B542100","Malignant neoplasm of craniopharyngeal duct","27","0"
"C132200","Postinfarction panhypopituitarism","1","0"
"C132.00","Panhypopituitarism","2429","4"
"C134100","FSH - follicle stimulating hormone deficiency","705","67"
"C13y400","Other diencephalic syndrome","6","0"
"B542z00","Malig neop pituitary gland or craniopharyngeal duct NOS","3","0"
"C130300","Constitutional tall stature","1360","0"
"C134z00","Other anterior pituitary disorder NOS","929","4"
"C13X.00","Hypothalamic dysfunction, not elsewhere classified","63","0"
"C133y11","","0","0"
"B920.00","Neop uncertain behaviour pituitary and craniopharyngeal duct","40","0"
"7100z00","Excision of pituitary gland NOS","135","0"
"B7H2000","Benign neoplasm of pituitary gland","537","0"
"7101200","Injection of destructive substance into pituitary gland NEC","2","0"
"C137100","Post-hypophysectomy hypopituitarism","47","0"
"C135.00","Diabetes insipidus","3315","3"
"710..11","Pineal gland operations","35","0"
"C136011","Syndrome of inappropriate secretion of antidiuretic hormone","1708","3"
"710..12","Pituitary gland operations","422","0"
"7101.00","Destruction of pituitary gland","21","0"
"F395200","Myopathy due to hypopituitarism","2","0"
"C13..12","","0","0"
"K5B1100","Secondary pituitary - hypothalamic infertility","2","0"
"C131.00","Other anterior pituitary hyperfunction","70","0"
"C13..11","Hypothalamus disorders","163","0"
"C135000","Cranial diabetes insipidus","51","1"
"C133z00","Pituitary dwarfism NOS","4","0"
"B7H2.11","Pituitary adenoma","7267","11"
"7102z00","Other operation on pituitary gland NOS","48","0"
"PK24.00","Anomalies of pituitary gland","291","0"
"7100200","Transcranial hypophysectomy","30","0"
"C13y000","Abscess of pituitary","13","0"
"C134.00","Other anterior pituitary disorder","124","0"
"Cyu4400","[X]Other disorders of pituitary gland","11","0"
"7100.00","Excision of pituitary gland","129","0"
"B542.00","Malignant neoplasm pituitary gland and craniopharyngeal duct","3","0"
