"Code","Description","MedicalFrequency","AHDFrequency"
"D313.00","Primary thrombocytopenia","2112","0"
"D313011","Idiopathic purpura","339","0"
"D313000","Idiopathic thrombocytopenic purpura","2679","1"
"D313.13","Idiopathic purpura","12","0"
"D313.12","Idiopathic thrombocytopenic purpura","1590","5"
"D313y00","Other specified primary thrombocytopenia","19","0"
"D313z00","Primary thrombocytopenia NOS","61","0"
"D313z11","Essential thrombocytopenia NOS","170","0"
"Dyu3200","[X]Other primary thrombocytopenia","7","0"
"D313.15","Thrombocytopenic purpura","1670","4"
"D313012","ITP - idiopathic thrombocytopenic purpura","9324","8"
"42P2.11","Auto-immune thrombocytopenia","372","568"
"D313300","[X]Essential thrombocytopenia NOS","199","0"
