"Code","Description","MedicalFrequency","AHDFrequency"
"Nyu4300","","0","0"
"N000.00","Systemic lupus erythematosus","19496","31"
"N000100","Libman-Sacks disease","12","0"
"N000000","Disseminated lupus erythematosus","496","1"
"M154.00","Lupus erythematosus","6186","5"
"K01x400","Nephrotic syndrome in systemic lupus erythematosus","74","0"
"K01x411","Lupus nephritis","747","0"
"K0B4000","Renal tubulo-interstitial disorder in SLE","9","0"
"F371000","Polyneuropathy in disseminated lupus erythematosus","33","0"
"F396100","Myopathy due to disseminated lupus erythematosus","1","0"
"N000z00","Systemic lupus erythematosus NOS","640","1"
"M154700","Subacute cutaneous lupus erythematosus","1037","1"
"H57y400","Lung disease with systemic lupus erythematosus","111","0"
"M154z00","Lupus erythematosus NOS","272","0"
"N000300","Systemic lupus erythematosus with organ or sys involv","102","1"
"N000400","Systemic lupus erythematosus with pericarditis","38","0"
"ZRq9.00","Systemic lupus erythematosus disease activity index","12","0"
"ZRq8.00","Systemic lupus activity measure","21","0"
"ZRq9.11","SLEDAI-Sys lup ery dis act ind","3","0"
