code,description,,,,,
1464,H/O: schizophrenia,,,,,
146H.00,H/O: psychosis,,,,,
1BH..00,Delusions,,,,,
1BH0.00,Delusion of persecution,,,,,
1BH..11,Delusion,,,,,
212W.00,Schizophrenia resolved,,,,,
212X.00,Psychosis resolved,,,,,
225E.00,O/E - paranoid delusions,,,,,
225F.00,O/E - delusion of persecution,,,,,
285..11,Psychotic condition; insight present,,,,,
286..11,Poor insight into psychotic condition,,,,,
8HHs.00,Referral to psychosis early intervention service,,,,,
E1...00,Non-organic psychoses,,,,,
E10..00,Schizophrenic disorders,,,,,
E100.00,Simple schizophrenia,,,,,
E100000,Unspecified schizophrenia,,,,,
E100100,Subchronic schizophrenia,,,,,
E100.11,Schizophrenia simplex,,,,,
E100200,Chronic schizophrenic,,,,,
E100300,Acute exacerbation of subchronic schizophrenia,,,,,
E100400,Acute exacerbation of chronic schizophrenia,,,,,
E100500,Schizophrenia in remission,,,,,
E100z00,Simple schizophrenia NOS,,,,,
E101.00,Hebephrenic schizophrenia,,,,,
E101000,Unspecified hebephrenic schizophrenia,,,,,
E101400,Acute exacerbation of chronic hebephrenic schizophrenia,,,,,
E101500,Hebephrenic schizophrenia in remission,,,,,
E101z00,Hebephrenic schizophrenia NOS,,,,,
E102.00,Catatonic schizophrenia,,,,,
E102000,Unspecified catatonic schizophrenia,,,,,
E102100,Subchronic catatonic schizophrenia,,,,,
E102400,Acute exacerbation of chronic catatonic schizophrenia,,,,,
E102500,Catatonic schizophrenia in remission,,,,,
E102z00,Catatonic schizophrenia NOS,,,,,
E103.00,Paranoid schizophrenia,,,,,
E103000,Unspecified paranoid schizophrenia,,,,,
E103100,Subchronic paranoid schizophrenia,,,,,
E103200,Chronic paranoid schizophrenia,,,,,
E103300,Acute exacerbation of subchronic paranoid schizophrenia,,,,,
E103400,Acute exacerbation of chronic paranoid schizophrenia,,,,,
E103500,Paranoid schizophrenia in remission,,,,,
E103z00,Paranoid schizophrenia NOS,,,,,
E104.00,Acute schizophrenic episode,,,,,
E104.11,Oneirophrenia,,,,,
E105.00,Latent schizophrenia,,,,,
E105000,Unspecified latent schizophrenia,,,,,
E105200,Chronic latent schizophrenia,,,,,
E105500,Latent schizophrenia in remission,,,,,
E105z00,Latent schizophrenia NOS,,,,,
E106.00,Residual schizophrenia,,,,,
E10y.00,Other schizophrenia,,,,,
E10y000,Atypical schizophrenia,,,,,
E10y100,Coenesthopathic schizophrenia,,,,,
E10y.11,Cenesthopathic schizophrenia,,,,,
E10yz00,Other schizophrenia NOS,,,,,
E10z.00,Schizophrenia NOS,,,,,
E12..00,Paranoid states,,,,,
E120.00,Simple paranoid state,,,,,
E121.00,Chronic paranoid psychosis,,,,,
E122.00,Paraphrenia,,,,,
E123.00,Shared paranoid disorder,,,,,
E123.11,Folie a deux,,,,,
E12y.00,Other paranoid states,,,,,
E12y000,Paranoia querulans,,,,,
E12yz00,Other paranoid states NOS,,,,,
E12z.00,Paranoid psychosis NOS,,,,,
E13..00,Other nonorganic psychoses,,,,,
E130.11,Psychotic reactive depression,,,,,
E13..11,Reactive psychoses,,,,,
E132.00,Reactive confusion,,,,,
E133.00,Acute paranoid reaction,,,,,
E133.11,Bouffee delirante,,,,,
E134.00,Psychogenic paranoid psychosis,,,,,
E13y.00,Other reactive psychoses,,,,,
E13y100,Brief reactive psychosis,,,,,
E13yz00,Other reactive psychoses NOS,,,,,
E13z.00,Nonorganic psychosis NOS,,,,,
E13z.11,Psychotic episode NOS,,,,,
E1y..00,Other specified non-organic psychoses,,,,,
E1z..00,Non-organic psychosis NOS,,,,,
Eu2..00,[X]Schizophrenia; schizotypal and delusional disorders,,,,,
Eu20.00,[X]Schizophrenia,,,,,
Eu20000,[X]Paranoid schizophrenia,,,,,
Eu20011,[X]Paraphrenic schizophrenia,,,,,
Eu20100,[X]Hebephrenic schizophrenia,,,,,
Eu20111,[X]Disorganised schizophrenia,,,,,
Eu20200,[X]Catatonic schizophrenia,,,,,
Eu20211,[X]Catatonic stupor,,,,,
Eu20212,[X]Schizophrenic catalepsy,,,,,
Eu20213,[X]Schizophrenic catatonia,,,,,
Eu20214,[X]Schizophrenic flexibilatis cerea,,,,,
Eu20300,[X]Undifferentiated schizophrenia,,,,,
Eu20311,[X]Atypical schizophrenia,,,,,
Eu20500,[X]Residual schizophrenia,,,,,
Eu20511,[X]Chronic undifferentiated schizophrenia,,,,,
Eu20600,[X]Simple schizophrenia,,,,,
Eu20y00,[X]Other schizophrenia,,,,,
Eu20y12,[X]Schizophreniform disord NOS,,,,,
Eu20y13,[X]Schizophrenifrm psychos NOS,,,,,
Eu20z00,[X]Schizophrenia; unspecified,,,,,
Eu21.00,[X]Schizotypal disorder,,,,,
Eu21.11,[X]Latent schizophrenic reaction,,,,,
Eu21.12,[X]Borderline schizophrenia,,,,,
Eu21.13,[X]Latent schizophrenia,,,,,
Eu21.14,[X]Prepsychotic schizophrenia,,,,,
Eu21.15,[X]Prodromal schizophrenia,,,,,
Eu21.16,[X]Pseudoneurotic schizophrenia,,,,,
Eu21.17,[X]Pseudopsychopathic schizophrenia,,,,,
Eu22.00,[X]Persistent delusional disorders,,,,,
Eu22000,[X]Delusional disorder,,,,,
Eu22011,[X]Paranoid psychosis,,,,,
Eu22012,[X]Paranoid state,,,,,
Eu22013,[X]Paraphrenia - late,,,,,
Eu22014,[X]Sensitiver Beziehungswahn,,,,,
Eu22015,[X]Paranoia,,,,,
Eu22100,[X]Delusional misidentification syndrome,,,,,
Eu22111,[X]Capgras syndrome,,,,,
Eu22200,[X]Cotard syndrome,,,,,
Eu22300,[X]Paranoid state in remission,,,,,
Eu22y00,[X]Other persistent delusional disorders,,,,,
Eu22y11,[X]Delusional dysmorphophobia,,,,,
Eu22y12,[X]Involutional paranoid state,,,,,
Eu22y13,[X]Paranoia querulans,,,,,
Eu22z00,[X]Persistent delusional disorder; unspecified,,,,,
Eu23.00,[X]Acute and transient psychotic disorders,,,,,
Eu23000,[X]Acute polymorphic psychot disord without symp of schizoph,,,,,
Eu23011,[X]Bouffee delirante,,,,,
Eu23012,[X]Cycloid psychosis,,,,,
Eu23100,[X]Acute polymorphic psychot disord with symp of schizophren,,,,,
Eu23112,[X]Cycloid psychosis with symptoms of schizophrenia,,,,,
Eu23200,[X]Acute schizophrenia-like psychotic disorder,,,,,
Eu23211,[X]Brief schizophreniform disorder,,,,,
Eu23212,[X]Brief schizophrenifrm psych,,,,,
Eu23214,[X]Schizophrenic reaction,,,,,
Eu23300,[X]Other acute predominantly delusional psychotic disorders,,,,,
Eu23312,[X]Psychogenic paranoid psychosis,,,,,
Eu23y00,[X]Other acute and transient psychotic disorders,,,,,
Eu23z00,[X]Acute and transient psychotic disorder; unspecified,,,,,
Eu23z11,[X]Brief reactive psychosis NOS,,,,,
Eu23z12,[X]Reactive psychosis,,,,,
Eu24.00,[X]Induced delusional disorder,,,,,
Eu24.11,[X]Folie a deux,,,,,
Eu24.12,[X]Induced paranoid disorder,,,,,
Eu24.13,[X]Induced psychotic disorder,,,,,
Eu25012,[X]Schizophreniform psychosis; manic type,,,,,
Eu25112,[X]Schizophreniform psychosis; depressive type,,,,,
Eu26.00,[X]Nonorganic psychosis in remission,,,,,
Eu2y.00,[X]Other nonorganic psychotic disorders,,,,,
Eu2y.11,[X]Chronic hallucinatory psychosis,,,,,
Eu2z.00,[X]Unspecified nonorganic psychosis,,,,,
Eu2z.11,[X]Psychosis NOS,,,,,
ZV11000,[V]Personal history of schizophrenia,,,,,
