"Code","Description","MedicalFrequency","AHDFrequency"
"F591E00","Severe sensorineural hearing loss","90","0"
"7321211","Removal of cochlear prosthesis","15","0"
"13o8500","Uses British Sign Language interpreter","84","0"
"Z37H.00","","0","0"
"Z8B5.00","Ability to use hearing aid","22","74"
"13o6.00","Preferred method of communication: British Sign Language","81","0"
"13ZM.00","Using British sign language","902","0"
"2DG..00","Hearing aid worn","30700","1"
"7317C00","Placement of hearing implant in middle ear","93","0"
"F591900","Bilateral profound sensorineural hearing loss","43","0"
"ZV45G00","[V]Presence of external hearing-aid","524","0"
"F59A.00","Profound acquired hearing loss","111","0"
"Z8B5311","Uses hearing aid","2413","9"
"FyuU000","[X]Deaf mutism, not elsewhere classified","3","0"
"2DH1.00","Does use hearing aid","193","0"
"Z911B00","Attention to hearing aid","131","0"
"F599.00","Severe acquired hearing loss","59","0"
"ZV53D00","[V]Adjustment and management of implanted hearing device","26","0"
"8D26.00","Provision of replacement hearing aid","102","0"
"8D24.00","Replace hearing aid battery","102","0"
"8E31.00","Lip reading training","5","0"
"7321100","Implantation of extracochlear prosthesis","70","0"
"Z9E8100","Hearing aid provision","1651","0"
"7319300","Attention to fixtures for bone anchored hearing prosthesis","5","0"
"F593.00","Deaf mutism, NEC","967","1"
"7319100","Insertion fixtures bone anchored hearing prosthesis Stage 2","4","0"
"Z911800","Turning off hearing aid","1","0"
"8M41.00","Hearing aid requested","4054","0"
"13o5.00","Preferred method of communication: Makaton","23","0"
"Z911400","Changing hearing aid battery","15","0"
"ZV53200","[V]Fitting or adjustment of hearing aid","6026","0"
"13o8M00","Uses sign language","17","0"
"7308500","Attention to hearing implant in external ear","11","0"
"9NfL.00","Requires information in Makaton","1","0"
"Z472900","","0","0"
"Z911.00","Hearing aid procedure","403","0"
"8O0E.00","Provision of support as Makaton user","4","0"
"9NUx.00","Interpreter needed - Makaton Sign Language","12","0"
"Z8B5300","Does use hearing aid","1794","52"
"7319500","Fitting external hearing prosthesis bone anchored fixtures","9","0"
"7319z00","Attachment of bone anchored hearing prosthesis NOS","11","0"
"2DH0.00","Uses hearing loop","25","0"
"8D2..12","Hearing aid provision","28958","2"
"Z8B5100","Able to use hearing aid","33","0"
"8D21.00","Provide head worn hearing aid","276","0"
"Z8B5500","Difficulty using hearing aid","770","0"
"7311A00","Insertn bone anchors subcutaneous bone anchored hearing aid","1088","0"
"F591B00","Profound sensorineural hearing loss","70","0"
"9NnS.00","Hands-on signing interpreter needed","1","0"
"7317D00","Attention to hearing implant in middle ear","12","0"
"Z912.00","Adjustment of cochlear implant processor","10","0"
"8O0F.00","Provision of support as signing user","27","0"
"ZV45N00","[V]Bone anchored hearing aid in situ","71","0"
"9NUw.00","Interpreter needed - British Sign Language","193","0"
"Z911E00","Fit ear mould for existing hearing aid","35","0"
"7.32E+03","","0","0"
"8D22.00","Provide body worn hearing aid","27","0"
"Z911A00","Listening for feedback whistle of hearing aid","11","0"
"7321000","Implantation of intracochlear prosthesis","772","0"
"7319.00","Attachment of bone anchored hearing prosthesis","50","0"
"7321200","Attention to cochlear prosthesis","58","0"
"Z911900","Putting on hearing aid","15","0"
"1C17.00","Hearing aid problem","517","0"
"9NnR.00","Visual frame sign language interpreter needed","1","0"
"7319200","Reduction soft tissue for bone anchored hearing prosthesis","4","0"
"Z37G.00","Provision of support as Makaton user","2","0"
"Z911700","","0","0"
"13ZP.00","Using Makaton sign language","125","0"
"7319000","Insertion fixtures bone anchored hearing prosthesis Stage 1","11","0"
"7321800","Removal of cochlear prosthesis","7","0"
"Z911500","Checking hearing aid","243","0"
"Z911300","Adjust hearing aid settings","89","0"
"Z911100","Fit hearing aid","4382","0"
"7308400","Placement of hearing implant in external ear","93","0"
"7308600","Removal of hearing implant from external ear","2","0"
"7319600","","0","0"
"7319y00","Other specified attachment bone anchored hearing prosthesis","2","0"
"Z8B5200","Unable to use hearing aid","257","0"
"7319400","One stage insert fixtures bone anchored hearing prosthesis","12","0"
"8D23.00","Ear fitting hearing aid","34791","8"
