"Code","Description","MedicalFrequency","AHDFrequency"
"G61X100","Right sided intracerebral haemorrhage, unspecified","246","2"
"Gyu6200","[X]Other intracerebral haemorrhage","37","0"
"7P24200","Delivery of rehabilitation for stroke","318","0"
"G65..00","Transient cerebral ischaemia","173965","77"
"G604.00","Subarachnoid haemorrhage from posterior communicating artery","83","0"
"G610.00","Cortical haemorrhage","120","0"
"G64z111","Lateral medullary syndrome","285","0"
"G662.00","Posterior cerebral artery syndrome","506","0"
"G613.00","Cerebellar haemorrhage","1577","73"
"G65z.00","Transient cerebral ischaemia NOS","3379","1"
"G63y100","Cerebral infarction due to embolism of precerebral arteries","382","13"
"662e.11","Stroke annual review","38","0"
"G651.00","Vertebral artery syndrome","187","0"
"G601.00","Subarachnoid haemorrhage from carotid siphon and bifurcation","14","0"
"G65..11","Drop attack","4576","0"
"G65..12","Transient ischaemic attack","171467","92"
"G65..13","Vertebro-basilar insufficiency","7041","2"
"662M.00","Stroke monitoring","97776","22"
"G64z400","Infarction of basal ganglia","1338","4"
"14AB.00","H/O: TIA","11051","8"
"Gyu6F00","[X]Intracerebral haemorrhage in hemisphere, unspecified","13","0"
"662M200","Stroke initial post discharge review","21","0"
"8HHM.00","Ref to multidisciplinary stroke function improvement service","170","0"
"G668.00","Right sided CVA","5376","7"
"G64z000","Brainstem infarction","757","6"
"G616.00","External capsule haemorrhage","35","0"
"G641.11","Cerebral embolus","74","0"
"G665.00","Pure motor lacunar syndrome","540","0"
"G640000","Cerebral infarction due to thrombosis of cerebral arteries","807","3"
"G60..00","Subarachnoid haemorrhage","29519","415"
"Gyu6600","[X]Occlusion and stenosis of other cerebral arteries","56","0"
"662e.00","Stroke/CVA annual review","127622","11"
"G654.00","Multiple and bilateral precerebral artery syndromes","8","0"
"G61X.00","Intracerebral haemorrhage in hemisphere, unspecified","155","3"
"G6X..00","Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","2462","2"
"G602.00","Subarachnoid haemorrhage from middle cerebral artery","329","19"
"G660.00","Middle cerebral artery syndrome","733","5"
"G615.00","Bulbar haemorrhage","16","0"
"G641.00","Cerebral embolism","1226","2"
"G64..12","Infarction - cerebral","3483","69"
"G64..13","Stroke due to cerebral arterial occlusion","5004","45"
"G64..11","CVA - cerebral artery occlusion","29974","226"
"G657.00","Carotid territory transient ischaemic attack","55","0"
"G63y000","Cerebral infarct due to thrombosis of precerebral arteries","1591","20"
"G65z100","Intermittent cerebral ischaemia","169","0"
"G60z.00","Subarachnoid haemorrhage NOS","1127","5"
"G64z300","Right sided cerebral infarction","2345","11"
"Gyu6G00","[X]Cereb infarct due unsp occlus/stenos precerebr arteries","31","0"
"662M100","Stroke 6 month review","52","0"
"9N0p.00","Seen in stroke clinic","22074","0"
"G666.00","Pure sensory lacunar syndrome","198","0"
"F423600","Amaurosis fugax","15748","1"
"G663.00","Brain stem stroke syndrome","1221","40"
"G618.00","Intracerebral haemorrhage, multiple localized","33","0"
