"Code","Description","MedicalFrequency","AHDFrequency"
"C024100","","0","0"
"C022000","Toxic multinodular goitre with no crisis","33","0"
"C024000","Thyrotoxicosis from ectopic thyroid nodule with no crisis","1","0"
"C020.00","Toxic diffuse goitre","1322","0"
"C022.00","Toxic multinodular goitre","2095","1"
"C020000","Toxic diffuse goitre with no crisis","106","0"
"C02yz00","Thyrotoxicosis of other specified origin NOS","44","0"
"C02..00","Thyrotoxicosis","99617","43"
"C022100","","0","0"
"C020200","Thyroid-associated dermopathy","5","0"
"C020100","Toxic diffuse goitre with crisis","10","0"
"C020z00","Toxic diffuse goitre NOS","126","0"
"C022z00","Toxic multinodular goitre NOS","138","0"
"C024z00","Thyrotoxicosis from ectopic thyroid nodule NOS","4","0"
"C02y.11","Factitia thyrotoxicosis","3","0"
"C02z000","Thyrotoxicosis without mention of goitre or cause no crisis","159","0"
"C02z.00","Thyrotoxicosis without mention of goitre or other cause","1762","0"
"C02z100","Thyrotoxicosis without mention of goitre, cause with crisis","197","0"
"C+B2:C5302","","0","0"
"1431.11","H/O: thyrotoxicosis","8390","8"
"C023000","Toxic nodular goitre unspecified with no crisis","9","0"
"C023100","Toxic nodular goitre unspecified with crisis","1","0"
"C023.00","Toxic nodular goitre unspecified","212","1"
"C020.11","Basedow's disease","27","0"
"C021.00","Toxic uninodular goitre","95","0"
"C021100","","0","0"
"C02..11","Hyperthyroidism","71196","58"
"C020.12","Graves' disease","21767","5"
"C021000","Toxic uninodular goitre with no crisis","10","0"
"C02zz00","Thyrotoxicosis NOS","3190","0"
"C02..12","Toxic goitre","2121","2"
"C021z00","Toxic uninodular goitre NOS","18","0"
"C023z00","Toxic nodular goitre NOS","55","0"
"L181500","Postpartum thyroiditis","832","0"
"C02y.00","Thyrotoxicosis of other specified origin","66","0"
"C02y200","Thyrotoxicosis factitia","5","0"
"C024.00","Thyrotoxicosis from ectopic thyroid nodule","47","0"
"C02y300","Thyroid crisis","36","0"
"C02y000","Thyrotoxicosis of other specified origin with no crisis","27","0"
"1431.00","H/O: hyperthyroidism","10387","0"
"C02y100","Thyrotoxicosis of other specified origin with crisis","1","0"
