"Code","Description","MedicalFrequency","AHDFrequency"
"PJ63100","Turner's phenotype, karyotype 45X","24","0"
"PJ63200","Turner's phenotype, karyotype 46X iso (Xq)","5","0"
"PJ63500","Turner's,mosaic, 45X/other cell line with abn.sex chromosome","83","0"
"PJ63600","Turner's phenotype, other variant karyotypes","6","0"
"PJ63611","Turner's phenotype, ring chromosome karyotype","1","0"
"PJ63300","Turner's,karyotype 46X + abnorm. sex chromosome,not iso(Xq)","4","0"
"PJ63400","Turner's phenotype, mosaicism 45X/46XX or 45X/46XY","46","0"
"PJ63z11","Bonnevie-Ullrich syndrome NOS","8","0"
"PJ63z00","Turner's syndrome NOS","53","0"
"PJ63612","Turner's phenotype, partial X deletion karyotype","2","0"
"PyuA500","[X]Other variants of Turner's syndrome","5","0"
"PJ63.00","Turner's syndrome","2501","5"
