"Code","Description","MedicalFrequency","AHDFrequency"
"14F2.00","H/O: psoriasis","32453","6"
"M161H00","Erythrodermic psoriasis","628","1"
"M16y000","Scalp psoriasis","32668","0"
"Myu3000","[X]Other psoriasis","131","0"
"M166.00","Palmoplantar pustular psoriasis","1116","0"
"M161J00","Flexural psoriasis","366","0"
"M161D00","Pustular psoriasis","10320","1"
"M161C00","Psoriasis punctata","52","0"
"M161F00","Psoriasis vulgaris","890","0"
"M16y.00","Other psoriasis and similar disorders","155","0"
"M161E00","Psoriasis universalis","90","0"
"M161B00","Psoriasis plantaris","1723","0"
"M161A00","Psoriasis palmaris","1468","0"
"M16..00","Psoriasis and similar disorders","85977","1"
"M161.00","Other psoriasis","2456","0"
"M16z.00","Psoriasis and similar disorders NOS","6238","0"
"M161F11","Chronic large plaque psoriasis","3078","0"
"38Gg.00","Psoriasis area and severity index","122","89"
"M161800","Psoriasis inveterata","8","0"
"M161z00","Psoriasis NOS","392600","7"
"M161700","Psoriasis gyrata","9","0"
"M161900","Psoriasis ostracea","2","0"
"M161400","Psoriasis discoidea","363","0"
"M161300","Psoriasis diffusa","67","0"
"M161600","Guttate psoriasis","46799","1"
"M161500","Psoriasis geographica","22","0"
"M161000","Psoriasis unspecified","321401","100"
"M161200","Psoriasis circinata","44","0"
"M161100","Psoriasis annularis","127","0"
