"Code","Description","MedicalFrequency","AHDFrequency"
"K122.00","Calculus of kidney with calculus of ureter","119","0"
"7B43900","Endoscopic removal of urethral calculus","87","0"
"7B0By00","Extracorporeal shockwave lithotripsy for renal calculus OS","69","0"
"ZG41.00","","0","0"
"7B07011","Endoscopic ultrasound fragmentation of renal calculus","84","0"
"7B0B000","ESWL for renal calculus of unspecified size","406","0"
"4G3..00","O/E: prostatic calculus","28","47"
"7B07y00","Other specified percutaneous renal stone surgery","24","0"
"7B07400","Endoscopic extraction of calculus of kidney nec","152","0"
"C341111","Renal stone - uric acid","7992","0"
"7B05900","Anatrophic nephrolithotomy","8","0"
"7B19000","Cystoscopic laser lithotripsy of ureteric calculus","748","0"
"7B1C300","Extracorporeal shockwave lithotripsy stone in lower ureter","28","0"
"7B42300","Open urethrotomy and removal of calculus","134","0"
"7B17200","Nephroscopic extraction of ureteric calculus","43","0"
"7B19z00","Cystoscopic removal of ureteric calculus NOS","40","0"
"7B15300","Middle third ureterolithotomy","22","0"
"K140.00","Bladder calculus","3416","11"
"7B2B400","Removal of bladder calculus by urethral catheter suction","29","0"
"Kyu3000","[X]Other lower urinary tract calculus","1","0"
"C341100","Uric acid nephrolithiasis","440","0"
"4G83.00","O/E-vesical phosphate calculus","0","3"
"7B1F000","Endoscopic extraction of calculus of urinary diversion","3","0"
"4G42.11","Phosphate kidney stone","9","51"
"14D3.00","H/O: urinary stone","328","0"
"K121.11","Ureteric calculus","8960","3"
"K121.12","Ureteric stone","9390","1"
"K121.13","Ureterolithiasis","88","0"
"7B19212","Dormia basket extraction of ureteric calculus","195","0"
"7B0Bz00","Extracorporeal shockwave lithotripsy for renal calculus NOS","288","0"
"K140.11","Bladder stone","5346","14"
"K120000","Staghorn calculus","2242","3"
"7B0B100","ESWL for renal calculus less than 2 cm in diameter","50","0"
"4G8..00","O/E - bladder calculus","226","246"
"K220.00","Calculus of prostate","285","6"
"7B1Cy00","Extracorporeal shockwave lithotripsy of ureteric calculus OS","27","0"
"7B05600","Pyelolithotomy","1842","2"
"4G83.11","Phosphate bladder stone","1","3"
"7B1C000","Extracorp shockwave lithotripsy of unspec ureteric calculus","33","0"
"4G42.00","O/E: phosphate -staghorn-stone","30","25"
"7B07z00","Percutaneous renal stone surgery NOS","123","0"
"7B18011","Ureteroscopic laser fragmentation of ureteric calculus","255","0"
"7B19100","Other cystoscopic fragmentation of ureteric calculus","34","0"
"7B3B400","Endoscopic removal of prostatic calculus","9","0"
"7B15000","Unspecified open ureterolithotomy","1689","0"
"K121.00","Calculus of ureter","6670","2"
"7B15400","Lower third ureterolithotomy","80","0"
"K14y.00","Other lower urinary tract calculus","27","0"
"4G4Z.00","O/E: renal stone NOS","52","306"
"K12..12","Urinary calculus","896","15"
"7B07000","Nephroscopy and ultrasound lithotripsy of renal calculus","35","0"
"K12..11","Kidney calculus","709","0"
"K140100","Other calculus in bladder","22","0"
"K14..00","Lower urinary tract calculus","99","0"
"7B0C200","Percutaneous nephrolithotomy NEC","505","0"
"7B29012","Cystoscopic litholapaxy","1445","0"
"7B29011","Bigelow litholapaxy","1","0"
"Kyu3100","[X]Calculus of urinary tract in other diseases CE","6","0"
"7B29400","Electrokinetic lithotripsy of bladder calculus","291","0"
"K220.11","Stone of prostate","72","0"
