DRUG_CODE,DESCRIPTION
d4...,ANTIPSYCHOTIC DRUGS
d41..,CHLORPROMAZINE HYDROCHLORIDE
d411.,CHLORPROMAZINE 10mg tablets
d412.,CHLORPROMAZINE 25mg tablets
d413.,CHLORPROMAZINE 50mg tablets
d414.,CHLORPROMAZINE 100mg tablets
d415.,CHLORPROMAZINE 25mg/5mL syrup
d416.,CHLORACTIL 25mg tablets
d417.,CHLORACTIL 50mg tablets
d418.,CHLORACTIL 100mg tablets
d419.,*DOZINE 25mg/5mL syrup
d41A.,CHLORPROMAZINE 25mg/5mL sugar free solution
d41B.,CHLORPROMAZINE 100mg/5mL sugar free solution
d41a.,*LARGACTIL 10mg tablets
d41b.,*LARGACTIL 25mg tablets
d41c.,*LARGACTIL 50mg tablets
d41d.,*LARGACTIL 100mg tablets
d41e.,*LARGACTIL 25mg/5mL syrup
d41f.,LARGACTIL FORTE 100mg/5mL syrup
d41g.,*LARGACTIL 25mg/mL injection
d41h.,LARGACTIL [CNS] 50mg/2mL injection
d41i.,*LARGACTIL 100mg suppositories
d41j.,CHLORPROMAZINE 100mg/5mL sugar free suspension
d41k.,CHLORPROMAZINE 100mg suppositories
d41l.,CHLORPROMAZINE 25mg/1mL injection
d41m.,CHLORPROMAZINE 50mg/2mL injection
d41o.,CHLORPROMAZINE 100mg/5mL syrup
d42..,BENPERIDOL
d421.,ANQUIL 250micrograms tablets
d422.,*BENQUIL 250micrograms tablets
d42z.,BENPERIDOL 250microgram tablets
d43..,*CHLORPROTHIXENE
d431.,*TARACTAN 15mg tablets
d432.,*TARACTAN 50mg tablets
d43y.,*CHLORPROTHIXENE 15mg tablets
d43z.,*CHLORPROTHIXENE 50mg tablets
d44..,DROPERIDOL [CENTRAL NERVOUS SYSTEM USE]
d441.,*DROLEPTAN 10mg tablets
d442.,*DROLEPTAN 1mg/mL oral liquid
d443.,*DROLEPTAN 10mg/2mL injection
d444.,XOMOLIX 2.5mg/1mL solution for injection
d44w.,DROPERIDOL 2.5mg/1mL solution for injection
d44x.,*DROPERIDOL 10mg tablets
d44y.,*DROPERIDOL 1mg/mL oral liquid
d44z.,*DROPERIDOL 10mg/2mL injection
d45..,FLUPENTIXOL [ANTIPSYCHOTIC]
d451.,DEPIXOL 3mg tablets
d45z.,FLUPENTIXOL 3mg tablets
d46..,FLUPHENAZINE HYDROCHLORIDE
d461.,*MODITEN 1mg tablets
d462.,*MODITEN 2.5mg tablets
d463.,*MODITEN 5mg tablets
d46x.,FLUPHENAZINE HYDROCHLORIDE 1mg tablets
d46y.,FLUPHENAZINE HYDROCHLORIDE 2.5mg tablets
d46z.,FLUPHENAZINE HYDROCHLORIDE 5mg tablets
d47..,HALOPERIDOL [ANTIPSYCHOTIC]
d471.,HALOPERIDOL 1.5mg tablets
d472.,HALOPERIDOL 5mg tablets
d473.,HALOPERIDOL 10mg tablets
d474.,HALOPERIDOL 20mg tablets
d475.,HALOPERIDOL 2mg/mL liquid
d476.,DOZIC 1mg/mL liquid
d477.,*DOZIC 2mg/mL liquid
d478.,FORTUNAN 500micrograms tablets
d479.,*FORTUNAN 1.5mg tablets
d47A.,HALOPERIDOL 2mg/5mL sugar free solution
d47B.,HALOPERIDOL 1mg/5mL sugar free solution
d47C.,KENTACE 1.5mg tablets
d47D.,KENTACE 5mg tablets
d47E.,KENTACE 10mg tablets
d47F.,KENTACE 20mg tablets
d47a.,*FORTUNAN 5mg tablets
d47b.,*FORTUNAN 10mg tablets
d47c.,*FORTUNAN 20mg tablets
d47d.,*HALDOL 5mg tablets
d47d.,HALDOL 5mg tablets
d47e.,HALDOL 10mg tablets
d47e.,*HALDOL 10mg tablets
d47f.,HALDOL 2mg/mL liquid
d47g.,*HALDOL 10mg/mL liquid
d47h.,HALDOL 5mg/1mL injection
d47h.,*HALDOL 5mg/1mL injection
