DRUG_CODE,DESCRIPTION
d2...,ANXIOLYTICS
d21..,DIAZEPAM [ANXIOLYTIC]
d211.,*DIAZEPAM 2mg capsules
d212.,*DIAZEPAM 5mg capsules
d213.,DIAZEPAM 2mg tablets
d214.,DIAZEPAM 5mg tablets
d215.,DIAZEPAM 10mg tablets
d216.,DIAZEPAM 2mg/5mL elixir
d217.,*ALUPRAM 2mg tablets
d218.,*ALUPRAM 5mg tablets
d219.,*ALUPRAM 10mg tablets
d21A.,DIAZEPAM 5mg/5mL oral solution
d21B.,*RIMAPAM 2mg tablets
d21C.,*RIMAPAM 5mg tablets
d21D.,*RIMAPAM 10mg tablets
d21E.,DIALAR 2mg/5mL syrup
d21F.,DIALAR 5mg/5mL syrup
d21G.,*VALCLAIR 10mg suppositories
d21J.,DIAZEPAM 10mg/5mL suspension
d21a.,*ATENSINE 2mg tablets
d21b.,*ATENSINE 5mg tablets
d21c.,*ATENSINE 10mg tablets
d21d.,DIAZEMULS 10mg/2mL ampoules
d21e.,*EVACALM 2mg tablets
d21f.,*EVACALM 5mg tablets
d21g.,*SOLIS 2mg capsules
d21h.,*SOLIS 5mg capsules
d21i.,*STESOLID 10mg/2mL injection
d21j.,*STESOLID 20mg/4mL injection
d21k.,STESOLID 5mg rectal solution
d21l.,STESOLID 10mg rectal solution
d21m.,TENSIUM 2mg tablets
d21n.,TENSIUM 5mg tablets
d21o.,TENSIUM 10mg tablets
d21p.,*VALIUM 2mg capsules
d21q.,*VALIUM 5mg capsules
d21r.,*VALIUM 2mg tablets
d21s.,*VALIUM 5mg tablets
d21t.,*VALIUM 10mg tablets
d21u.,*VALIUM 2mg/5mL syrup
d21v.,VALIUM [ANXIOL] 10mg/2mL injection
d21w.,*VALIUM DUP DEL injection
d21x.,*VALIUM 5mg suppositories
d21y.,*VALIUM 10mg suppositories
d21z.,*DIAZEPAM 10mg suppositories
d22..,ALPRAZOLAM
d221.,XANAX 250micrograms tablets
d222.,XANAX 500micrograms tablets
d22y.,ALPRAZOLAM 250microgram tablets
d22z.,ALPRAZOLAM 500microgram tablets
d23..,BROMAZEPAM
d231.,*LEXOTAN 1.5mg tablets
