DRUG_CODE,DESCRIPTION
c1...,SELECTIVE BETA-ADRENOCEPTOR STIMULANT
c11..,SALBUTAMOL [ORAL PREPARATIONS]
c111.,*ASMAVEN 2mg tablets
c112.,*ASMAVEN 4mg tablets
c113.,*COBUTOLIN 2mg tablets
c114.,*COBUTOLIN 4mg tablets
c115.,*SALBULIN 2mg tablets
c116.,*SALBULIN 4mg tablets
c117.,*SALBULIN 2mg/2mL liquid
c118.,*VENTOLIN 2mg tablets
c119.,*VENTOLIN 4mg tablets
c11A.,*VENTOLIN CR 4mg m/r tablets
c11B.,*SALBUTAMOL 4mg m/r tablets
c11C.,*VENTOLIN CR 8mg m/r tablets
c11D.,SALAPIN 2mg/5mL sugar free syrup
c11a.,*VENTOLIN 8mg m/r tablets
c11b.,VENTOLIN 2mg/5mL syrup
c11c.,*VOLMAX 4mg m/r tablets
c11d.,*VOLMAX 8mg m/r tablets
c11e.,*SALBUVENT 2mg tablets
c11f.,*SALBUVENT 4mg tablets
c11g.,*SALBUVENT 2mg/5mL syrup
c11h.,SALBUVENT 2mg/5mL syrup 2litre
c11i.,*VENTOLIN CR 4mg m/r tablets
c11j.,*SALBUTAMOL 4mg m/r tablets
c11k.,*VENTOLIN CR 8mg m/r tablets
c11m.,LIBETIST 2mg/5mL sugar free syrup
c11n.,*SALBUTAMOL 4mg m/r capsules
c11n.,SALBUTAMOL 4mg m/r capsules
c11o.,SALBUTAMOL 8mg m/r capsules
c11o.,*SALBUTAMOL 8mg m/r capsules
c11p.,*VENTMAX SR 4mg m/r capsules
c11p.,VENTMAX SR 4mg m/r capsules
c11q.,*VENTMAX SR 8mg m/r capsules
c11q.,VENTMAX SR 8mg m/r capsules
c11v.,SALBUTAMOL 4mg tablets
c11w.,*SALBUTAMOL 2mg/2mL liquid
c11x.,SALBUTAMOL 2mg tablets
c11y.,*SALBUTAMOL 8mg m/r tablets
c11z.,SALBUTAMOL 2mg/5mL sugar free syrup
c12..,SALBUTAMOL [PARENTERAL PREPARATIONS]
c121.,VENTOLIN 250micrograms/5mL injection
c122.,VENTOLIN 500microgram/1mL injection
c123.,VENTOLIN 5mg/5mL intravenous infusion
c124.,SALBUVENT 250microgram/5mL injection
c125.,SALBUVENT 500micrograms/1mL injection
c126.,SALBUVENT 5mg/5mL intravenous infusion
c12w.,*SALBUTAMOL 5mg/50mL injection
c12x.,SALBUTAMOL 250micrograms/5mL injection
c12y.,SALBUTAMOL 500microgram/1mL injection
c12z.,SALBUTAMOL 5mg/5mL intravenous infusion
c13..,SALBUTAMOL [INHALATION PREPRATIONS]
c131.,*ASMAVEN 100micrograms inhaler
c132.,COBUTOLIN 100microgram inhaler
c133.,SALBULIN 100micrograms inhaler
c134.,VENTOLIN 100micrograms inhaler
c135.,VENTOLIN 2.5mg/2.5mL Nebules
c136.,VENTOLIN 200micrograms rotacaps
c137.,VENTOLIN 400micrograms rotacaps
c138.,ROTAHALER DEVICE
c139.,VENTOLIN 100mg/20mL respirator solution
c13A.,STERI-NEB SALAMOL 2.5mg nebulisation units
c13B.,STERI-NEB SALAMOL 5mg nebulisation units
c13C.,SALBUTAMOL 200micrograms disks+disk inhaler
c13D.,SALBUTAMOL 400micrograms disks+disk inhaler
c13E.,SALBUTAMOL 200micrograms disk refill
c13F.,SALBUTAMOL 400micrograms disk refill
c13G.,SALBUTAMOL 100micrograms breath-act aerosol inhaler
c13H.,*SALAMOL 100micrograms inhaler
c13I.,AIROMIR 100micrograms CFC-free inhaler
c13J.,SALBUTAMOL 100micrograms CFC-free inhaler
c13K.,SALAMOL EASI-BREATHE 100micrograms breath-actuated aerosol inhaler
c13L.,SALBUTAMOL 200micrograms breath-actuated dry powder inhaler
c13M.,VENTOLIN 200micrograms Accuhaler
c13N.,SALBUTAMOL 100micrograms vortex metered dose inhaler
c13O.,VENTOLIN EASI-BREATHE 100microgram inhaler
c13P.,SALBUTAMOL 100micrograms Spacehaler
c13Q.,ASMASAL 95micrograms Clickhaler
c13R.,SALBUTAMOL 100micrograms breath-act dry powder inhaler
c13S.,SALBUTAMOL 95micrograms breath-actuated dry powder inhaler
c13T.,VENTOLIN 100micrograms Evohaler
c13U.,SALBUTAMOL 100micrograms CFC-free breath-actuated aerosol inhaler
c13V.,AIROMIR 100micrograms CFC-free Autohaler
c13W.,MAXIVENT 2.5mg/2.5mL Steripoules
c13X.,MAXIVENT 5mg/2.5mL Steripoules
c13Y.,SALBULIN 100micrograms CFC-free inhaler
c13Z.,SALAMOL 100micrograms CFC-free inhaler
c13a.,AEROLIN-400 100microgram inhaler
c13b.,*ROTAHALER DEVICE
c13c.,AEROLIN AUTO 100microgram inhaler
c13d.,VENTODISKS 200micrograms diskhaler 14x8
c13e.,VENTODISKS 400micrograms diskhaler 14x8
c13f.,VENTODISKS 200micrograms disk refill 14x8
c13g.,VENTODISKS 400micrograms disk refill 14x8
c13h.,SALBUVENT 100micrograms inhaler
c13i.,SALBUVENT RONDO 100microgram inhaler
c13j.,SALBUVENT 5mg/mL respirator solution
c13k.,*SALBUVENT RONDO spacer x1
c13l.,AEROLIN 100micrograms Autohaler 200d
c13m.,VENTOLIN 5mg/2.5mL Nebules
c13n.,AEROLIN 100micrograms Autohaler 100d
c13o.,SALBUTAMOL 5mg/2.5mL nebulisation units
c13p.,*MAXIVENT 100microgram inhaler
c13q.,*SALBUTAMOL 200 cyclocaps
c13r.,*SALBUTAMOL 400 cyclocaps
c13s.,*VENTOLIN rotahaler device
c13v.,SALBUTAMOL 100microgram inhaler
c13w.,SALBUTAMOL 2.5mg/2.5mL nebulisation units
c13x.,SALBUTAMOL 200micrograms inhalation capsules
c13y.,SALBUTAMOL 400micrograms inhalation capsules
