DRUG_CODE,DESCRIPTION
e75..,DOXYCYCLINE
e751.,*DOXATET 100mg tablets
e752.,DOXYLAR 100mg capsules
e753.,*NORDOX 100mg capsules
e754.,*VIBRAMYCIN 50mg capsules
e755.,*VIBRAMYCIN 100mg capsules
e756.,*VIBRAMYCIN 50mg/5mL syrup
e757.,VIBRAMYCIN-D 100mg dispersible tablets
e758.,DOXYCYCLINE 100mg capsules
e759.,*DEMIX-100 100mg capsules
e75A.,*RAMYSIS 100mg capsules
e75B.,*DEMIX-50 50mg capsules
e75C.,*CYCLODOX 100mg capsules
e75D.,VIBRAMYCIN ACNE PACK 50mg capsules
e75E.,DOXYLAR 50mg capsules
e75F.,*PERIOSTAT 20mg capsules
e75G.,PERIOSTAT 20mg tablets
e75H.,EFRACEA 40mg m/r capsules
e75s.,DOXYCYCLINE 40mg m/r capsules
e75t.,DOXYCYCLINE 20mg tablets
e75u.,*DOXYCYCLINE 20mg capsules
e75v.,*DOXYCYCLINE 100mg tablets
e75w.,*DOXYCYCLINE 100mg capsules
e75x.,DOXYCYCLINE 50mg capsules
e75y.,*DOXYCYCLINE 50mg/5mL syrup
e75z.,DOXYCYCLINE 100mg dispersible tablets
e76..,LYMECYCLINE
e761.,*TETRALYSAL 204mg capsules
e762.,TETRALYSAL-300 408mg capsules
e76y.,*LYMECYCLINE 204mg capsules
e76z.,LYMECYCLINE 408mg capsules
ef1..,METRONIDAZOLE
ef11.,METRONIDAZOLE 200mg tablets
ef12.,METRONIDAZOLE 400mg tablets
ef1D.,METRONIDAZOLE 500mg tablets
ef1c.,FLAGYL 200mg tablets
ef1d.,FLAGYL 400mg tablets
ef1g.,*FLAGYL S suspension 100mL
ef1g.,FLAGYL S suspension 100mL
ef1j.,*FLAGYL S suspension 50mL
ef1l.,*METROLYL 200mg tablets
ef1m.,*METROLYL 400mg tablets
ef1r.,*NIDAZOL 200mg tablets
ef1s.,VAGINYL 200mg tablets
ef1t.,VAGINYL 400mg tablets
ef1u.,*ZADSTAT 200mg tablets
e911.,ERYTHROMYCIN 250mg e/c tablets
e912.,ERYTHROMYCIN 500mg tablets
e913.,ERYTHROMYCIN STEARATE 250mg tablets
e914.,ERYTHROMYCIN STEARATE 500mg tablets
e915.,ARPIMYCIN 125mg/5mL sugar free suspension
e916.,ARPIMYCIN 250mg/5mL sugar free suspension
e917.,ARPIMYCIN 500mg/5mL sugar free suspension
e918.,*ERYCEN 250mg tablets
e919.,*ERYCEN 500mg tablets
e91A.,ERYTHROPED FORTE granules 500mg/sachet
e91B.,ERYTHROPED P.I. granules 125mg/sachet
e91C.,ERYTHROPED P.I. 125mg/5mL sugar free suspension 140mL
e91D.,ERYTHROPED 250mg/5mL sugar free suspension 140mL
e91E.,ERYTHROMYCIN 125mg/5mL sugar free suspension
e91F.,ERYTHROMYCIN 250mg/5mL sugar free suspension
e91G.,*ROMMIX-125 suspension
e91H.,*ROMMIX-250 tablets
e91I.,KERYMAX 250mg e/c granules in capsules
e91J.,*ROMMIX-500 tablets
e91L.,*ERYTHROMYCIN 250mg capsules
e91M.,ERYTHROMYCIN 125mg/sachet granules
e91N.,ERYTHROMYCIN 250mg/sachet granules
e91P.,ERYTHROMYCIN 500mg/sachet granules
e91Q.,ERYTHROMYCIN 1g/sachet granules
e91R.,ERYTHROMYCIN 500mg/5mL sugar free suspension
e91S.,TILORYTH 250mg e/c granules in capsules
e91T.,ERYMIN 250mg/5mL sugar free suspension
e91U.,ARPIMYCIN 125mg/5mL suspension
e91V.,ARPIMYCIN 250mg/5mL suspension
e91W.,ARPIMYCIN 500mg/5mL suspension
e91X.,ERYTHROMYCIN 250mg e/c granules in capsules
e91Y.,ERYTHROPED FORTE SF 500mg/5mL sugar free suspension
e91Z.,PRIMACINE 125mg/5mL suspension 100mL
e91a.,ERYMAX 250mg e/c granules in capsules
e91b.,ERYTHROCIN 250mg tablets
e91c.,ERYTHROCIN 500mg tablets
e91e.,*ERYTHROLAR 250mg tablets
e91f.,*ERYTHROLAR 500mg tablets
e91g.,ERYTHROLAR 250mg/5mL suspension
e91h.,*ERYTHROMID 250mg tablets
e91i.,*ERYTHROMID DS 500mg tablets
e91j.,ERYTHROPED P.I. 125mg/5mL suspension
e91k.,ERYTHROPED 250mg/5mL suspension 140mL
e91l.,ERYTHROPED 250mg/sachet sugar free granules
e91m.,ERYTHROPED FORTE 500mg/5mL suspension
e91n.,ERYTHROPED A 500mg tablets
e91o.,*ILOSONE 250mg capsules
e91p.,*ILOSONE 500mg tablets
e91q.,*ILOSONE 125mg/5mL suspension
e91r.,ILOSONE FORTE 250mg/5mL suspension
e91s.,*ILOTYCIN 250mg tablets
e91t.,RETCIN 250mg tablets
e91u.,ERYTHROMYCIN 125mg/5mL suspension
e91v.,ERYTHROMYCIN 250mg/5mL suspension
e91w.,ERYTHROMYCIN 500mg/5mL suspension
e91x.,ERYTHROPED A 1g/sachet granules
e91y.,ERYMAX SPRINKLE 125mg capsules
e91z.,ERYTHROPED 250mg/sachet granules
e92..,CLARITHROMYCIN
e921.,CLARITHROMYCIN 250mg tablets
e922.,KLARICID 250mg tablets 14CP
e923.,CLARITHROMYCIN 125mg/5mL paediatric suspension
e924.,KLARICID 125mg/5mL paediatric suspension
e927.,CLARITHROMYCIN 500mg tablets
e928.,KLARICID 500mg tablets
e929.,CLARITHROMYCIN 500mg m/r tablets
e92A.,KLARICID XL 500mg m/r tablets
e92B.,CLARITHROMYCIN 250mg/sachet granules
e92C.,KLARICID adult 250mg/sachet granules
e92D.,CLARITHROMYCIN 250mg/5mL paediatric suspension
e92E.,KLARICID 250mg/5mL paediatric suspension
e92F.,CLARITHROMYCIN 125mg granules straw
e92G.,*CLAROSIP 125mg granules straw
e92H.,CLARITHROMYCIN 187.5mg granules straw
e92I.,CLAROSIP 187.5mg granules straw
e92J.,CLARITHROMYCIN 250mg granules straw
e92K.,CLAROSIP 250mg granules straw
e92L.,XETININ XL 500mg m/r tablets
e92M.,FEBZIN XL 500mg m/r tablets
e92N.,MYCIFOR XL 500mg m/r tablets
ea1..,CLINDAMYCIN
ea11.,DALACIN C 75mg capsules
ea12.,DALACIN C 150mg capsules
ea13.,DALACIN C 75mg/5mL paediatric suspension
ea1v.,CLINDAMYCIN 75mg capsules
ea1w.,CLINDAMYCIN 150mg capsules
ea1x.,*CLINDAMYCIN 75mg/5mL syrup
ed6..,RIFAMPICIN
ed61.,RIFAMPICIN 150mg capsules
ed62.,RIFAMPICIN 300mg capsules
ed63.,RIFAMPICIN 100mg/5mL syrup
ed64.,RIFADIN 150mg capsules
ed65.,RIFADIN 300mg capsules
ed66.,RIFADIN 100mg/5mL syrup
ed69.,RIMACTANE 150mg capsules
ed6a.,RIMACTANE 300mg capsules
ed6b.,*RIMACTANE 100mg/5mL syrup
ed6d.,RIFATER tablets
ed6e.,RIFINAH 150mg/100mg tablets
