DRUG_CODE,DESCRIPTION
d6...,LITHIUM SALTS
d61..,LITHIUM CARBONATE
d611.,CAMCOLIT 250mg tablets
d611.,*CAMCOLIT 250mg tablets
d612.,CAMCOLIT 400mg tablets
d613.,LISKONUM 450mg m/r tablets
d614.,*PHASAL 300mg m/r tablets
d615.,PRIADEL 400mg m/r tablets
d616.,PRIADEL 200mg m/r tablets
d617.,PRIADEL 520mg/5mL sugar free liquid
d618.,LITHIUM CARBONATE 520mg/5mL sugar free liquid
d619.,LITHONATE 400mg m/r tablets
d61s.,LITHIUM CARBONATE 200mg m/r tablets
d61v.,LITHIUM CARBONATE 250mg tablets
d61w.,LITHIUM CARBONATE 400mg tablets
d61x.,LITHIUM CARBONATE 450mg m/r tablets
d61y.,LITHIUM CARBONATE 300mg m/r tablets
d61z.,LITHIUM CARBONATE 400mg m/r tablets
d62..,LITHIUM CITRATE
d621.,*LITAREX 564mg m/r tablets
d622.,LI-LIQUID 5.4mmol/5mL liquid
d623.,LI-LIQUID 10.8mmol/5mL liquid
d624.,PRIADEL 520mg/5mL sugar free liquid 150mL
d625.,PRIADEL 520mg/5mL sugar free liquid
d62w.,LITHIUM CITRATE 520mg/5mL sugar free liquid
d62x.,LITHIUM CITRATE 5.4mmol/5mL liquid
d62y.,LITHIUM CITRATE 10.8mmol/5mL liquid
d62z.,LITHIUM CITRATE 564mg m/r tablets
d4x..,ASENAPINE
d4x1.,SYCREST 5mg sublingual tablets
d4x2.,ASENAPINE 5mg sublingual tablets
d4x3.,SYCREST 10mg sublingual tablets
d4x4.,ASENAPINE 10mg sublingual tablets
