DRUG_CODE,DESCRIPTION
djc..,METHADONE HCL [ANALGESIC]
djc1.,PHYSEPTONE 5mg tablets
djc2.,PHYSEPTONE 10mg/1mL injection
djc3.,METHADONE 1mg/1mL mixture
djc4.,METHADONE HYDROCHLORIDE 50mg/5mL sugar free liquid
djc5.,MARTINDALE METHADONE DTF 1mg/1mL mixture
djc6.,METHODEX 1mg/1mL mixture
djc7.,METHADOSE 10mg/mL sugar free liquid
djc8.,METHADONE HYDROCHLORIDE 20mg/mL sugar free liquid
djc9.,METHADOSE 20mg/mL sugar free liquid
djcA.,METHADONE DILUENT liquid
djcB.,METHADOSE DILUENT liquid
djcC.,METHADONE 1mg/1mL sugar free mixture
djcD.,METHAROSE 1mg/1mL sugar free oral solution
djcE.,*PINADONE 1mg/1mL mixture
djcF.,PINADONE 1mg/1mL sugar free mixture
djcG.,PHYSEPTONE 20mg/2mL injection
djcH.,PHYSEPTONE 35mg/3.5mL injection
djcJ.,PHYSEPTONE 50mg/5mL injection
djcK.,PHYSEPTONE 1mg/1mL sugar free mixture
djcL.,PHYSEPTONE 1mg/1mL mixture
djcM.,SYNASTONE 10mg/1mL injection
djcN.,SYNASTONE 20mg/2mL injection
djcO.,SYNASTONE 35mg/3.5mL injection
djcP.,SYNASTONE 50mg/5mL injection
djcQ.,SYNASTONE 50mg/2mL injection
djcR.,SYNASTONE 50mg/1mL injection
djcS.,PHYSEPTONE 50mg/2mL injection
djcT.,PHYSEPTONE 50mg/1mL injection
djcU.,EPTADONE 1mg/mL oral solution
djcV.,EPTADONE 5mg/mL oral solution
djcW.,EPTADONE 20mg/20mL oral solution unit dose
djcX.,EPTADONE 40mg/40mL oral solution unit dose
djcY.,EPTADONE 60mg/60mL oral solution unit dose
djcZ.,EPTADONE 100mg/20mL oral solution unit dose
djco.,METHADONE 20mg/20mL oral solution unit dose
djcp.,METHADONE 40mg/40mL oral solution unit dose
djcq.,METHADONE 60mg/60mL oral solution unit dose
djcr.,METHADONE 100mg/20mL oral solution unit dose
djcs.,METHADONE 5mg/mL oral solution
djct.,METHADONE HYDROCHLORIDE 50mg/2mL injection
djcu.,METHADONE HYDROCHLORIDE 50mg/1mL injection
djcv.,METHADONE HYDROCHLORIDE 20mg/2mL injection
djcw.,METHADONE HYDROCHLORIDE 35mg/3.5mL injection
djcx.,METHADONE HYDROCHLORIDE 50mg/5mL injection
djcy.,METHADONE HYDROCHLORIDE 5mg tablets
djcz.,METHADONE HYDROCHLORIDE 10mg/1mL injection
