READ_CODE,DESCRIPTION
dl...,ACUTE MIGRAINE TREATMENT
dl1..,ANALGESICS WITH ANTI-EMETICS
dl11.,MIGRALEVE DUO-PACK tablets
dl12.,MIGRALEVE PINK tablets
dl13.,MIGRALEVE YELLOW tablets
dl14.,*MIGRAVESS dispersible tablets
dl15.,MIGRAVESS FORTE effervescent tablets
dl16.,PARAMAX tablets
dl17.,PARAMAX sachets
dl18.,MIGRALEVE DUO-PACK tablets x48
dl19.,MIGRALEVE PINK tablets x48
dl1A.,PARACETAMOL+DOMPERIDONE 500mg/10mg tablets
dl1B.,*DOMPERAMOL tablets
dl1C.,MIGRAMAX sachet powder
dl1a.,*MIGRALEVE YELLOW tablets x48
dl1b.,ASPIRIN+METOCLOPRAMIDE 900mg/10mg/sachet powder
dl2..,ERGOTAMINE TARTRATE
dl21.,CAFERGOT 1mg tablets
dl21.,*CAFERGOT 1mg tablets
dl22.,*CAFERGOT 2mg suppositories
dl23.,*LINGRAINE 2mg tablets
dl24.,MEDIHALER-ERGOTAMINE 360micrograms inhaler
dl25.,MIGRIL tablets
dl26.,ERGOTAMINE TARTRATE 1mg tablets
dl26.,ERGOTAMINE TARTRATE 1mg tablets
dl27.,ERGOTAMINE TARTRATE 2mg suppositories
dl2y.,ERGOTAMINE TARTRATE 2mg tablets
dl2z.,ERGOTAMINE TARTRATE 360micrograms inhaler
dl3..,*DIHYDROERGOTAMINE MESYLATE
dl31.,*DIHYDERGOT 1mg tablets
dl32.,DIHYDERGOT 2mg/mL oral solution
dl33.,*DIHYDERGOT 1mg/1mL injection
dl3x.,DIHYDROERGOTAMINE MESYLATE 1mg tablets
dl3y.,DIHYDROERGOTAMINE MESYLATE 2mg/mL oral solution
dl3z.,DIHYDROERGOTAMINE MESYLATE 1mg/1mL injection
dl4..,ISOMETHEPTENE MUCATE
dl41.,MIDRID capsules
dl5..,SUMATRIPTAN SUCCINATE
dl51.,SUMATRIPTAN 6mg/0.5mL injection
dl52.,*IMIGRAN 6mg/0.5mL injection
dl53.,IMIGRAN 6mg/0.5mL injection refill
dl54.,SUMATRIPTAN 100mg tablets
dl55.,IMIGRAN 100mg tablets
dl56.,IMIGRAN SUBJECT 6mg/0.5mL injection
dl57.,IMIGRAN SUBJECT 6mg/0.5mL injection refill
dl58.,*IMIGRAN 100mg tablets x3
dl59.,IMIGRAN 50mg tablets
dl5A.,SUMATRIPTAN 50mg tablets
dl5B.,SUMATRIPTAN 6mg/0.5mL injection refill
dl5C.,IMIGRAN RADIS 100mg tablets
dl5D.,IMIGRAN RADIS 50mg tablets
dl5E.,IMIGRAN RECOVERY 50mg tablets
dl5F.,MIGRAITAN 50mg tablets
dl6..,TOLFENAMIC ACID
dl61.,TOLFENAMIC ACID 200mg capsules
dl62.,*CLOTAM 200mg capsules
dl63.,TOLFENAMIC ACID 200mg tablets
dl64.,CLOTAM RAPID 200mg tablets
dl7..,SUMATRIPTAN
dl71.,SUMATRIPTAN 20mg nasal spray
dl72.,IMIGRAN 20mg nasal spray
dl73.,SUMATRIPTAN 10mg nasal spray
dl74.,IMIGRAN 10mg nasal spray
dl8..,ZOLMITRIPTAN
dl81.,ZOLMITRIPTAN 2.5mg tablets
dl82.,ZOMIG 2.5mg tablets
dl83.,ZOLMITRIPTAN 2.5mg oro-dispersible tablets
dl84.,ZOMIG RAPIMELT 2.5mg oro-dispersible tablets
dl85.,ZOLMITRIPTAN 5mg nasal spray
dl86.,ZOMIG 5mg nasal spray
dl87.,ZOLMITRIPTAN 5mg oro-dispersible tablets
dl88.,ZOMIG RAPIMELT 5mg oro-dispersible tablets
dl9..,NARATRIPTAN
dl91.,NARATRIPTAN 2.5mg tablets
dl92.,NARAMIG 2.5mg tablets
dlA..,RIZATRIPTAN
dlA1.,RIZATRIPTAN 5mg tablets
dlA2.,RIZATRIPTAN 10mg tablets
dlA3.,RIZATRIPTAN 10mg wafer
dlA4.,MAXALT 5mg tablets
dlA5.,MAXALT 10mg tablets
dlA6.,MAXALT MELT 10mg wafer
dlAz.,RIZATRIPTAN 10mg oro-dispersible tablets
dlB..,DIHYDROERGOTAMINE
dlB1.,DIHYDROERGOTAMINE MESYLATE 2mg/0.5mL nasal spray
dlB2.,MIGRANAL 2mg/0.5mL nasal spray
dlC..,ALMOTRIPTAN
dlC1.,ALMOGRAN 12.5mg tablets
dlCz.,ALMOTRIPTAN 12.5mg tablets
dlD..,ELETRIPTAN
dlD1.,ELETRIPTAN 20mg tablets
dlD2.,ELETRIPTAN 40mg tablets
dlDa.,RELPAX 20mg tablets
dlDb.,RELPAX 40mg tablets
dlE..,FROVATRIPTAN
dlE1.,FROVATRIPTAN 2.5mg tablets
dlE2.,MIGARD 2.5mg tablets
