DRUG_CODE,DESCRIPTION
d8...,MONOAMINE-OXIDASE INHIBITORS
d81..,PHENELZINE
d811.,NARDIL 15mg tablets
d81z.,PHENELZINE 15mg tablets
d82..,*IPRONIAZID
d821.,*MARSILID 25mg tablets
d822.,*MARSILID 50mg tablets
d82y.,*IPRONIAZID 25mg tablets
d82z.,*IPRONIAZID 50mg tablets
d83..,ISOCARBOXAZID
d831.,*MARPLAN 10mg tablets
d83z.,ISOCARBOXAZID 10mg tablets
d84..,TRANYLCYPROMINE
d841.,*PARNATE 10mg tablets
d84z.,TRANYLCYPROMINE 10mg tablets
d85..,MOCLOBEMIDE
d851.,MANERIX 150mg tablets
d852.,MOCLOBEMIDE 150mg tablets
d853.,MANERIX 300mg tablets
d854.,MOCLOBEMIDE 300mg tablets
