READ_CODE,DESCRIPTION
da1..,FLUPENTIXOL [ANTIDEPRESSANT]
da11.,FLUANXOL 500micrograms tablets
da12.,FLUANXOL 1mg tablets
da1y.,FLUPENTIXOL 500micrograms tablets
da1z.,FLUPENTIXOL 1mg tablets
da2..,TRYPTOPHAN
da21.,*OPTIMAX 500mg tablets
da21.,OPTIMAX 500mg tablets
da22.,*OPTIMAX 1g/6g powder
da23.,*OPTIMAX WV 500mg tablets
da24.,*PACITRON 500mg tablets
da2y.,*TRYPTOPHAN 500mg tablets
da2y.,TRYPTOPHAN 500mg tablets
da2z.,*TRYPTOPHAN 1g/6g powder
da7..,VENLAFAXINE
da71.,VENLAFAXINE 37.5mg tablets
da72.,VENLAFAXINE 75mg tablets
da73.,*EFEXOR 37.5mg tablets
da74.,*EFEXOR 75mg tablets
da75.,*VENLAFAXINE 50mg tablets
da76.,*EFEXOR 50mg tablets
da77.,VENLAFAXINE 75mg m/r capsules
da78.,EFEXOR XL 75mg m/r capsules
da79.,VENLAFAXINE 150mg m/r capsules
da7A.,EFEXOR XL 150mg m/r capsules
da7B.,RODOMEL XL 75mg m/r capsules
da7C.,RODOMEL XL 150mg m/r capsules
da7D.,WINFEX XL 75mg m/r capsules
da7E.,WINFEX XL 150mg m/r capsules
da7F.,TRIXAT XL 75mg m/r capsules
da7G.,TRIXAT XL 150mg m/r capsules
da7H.,VIEPAX XL 75mg m/r tablets
da7I.,VENLAFAXINE 75mg m/r tablets
da7J.,VIEPAX XL 150mg m/r tablets
da7K.,VENLAFAXINE 150mg m/r tablets
da7L.,*TARDCAPS XL 75mg m/r capsules
da7M.,*TARDCAPS XL 150mg m/r capsule
da7N.,VIEPAX 37.5mg tablets
da7O.,VIEPAX 75mg tablets
da7P.,VENSIR XL 75mg m/r capsules
da7Q.,VENSIR XL 150mg m/r capsules
da7R.,TIFAXIN XL 75mg m/r capsules
da7S.,TIFAXIN XL 150mg m/r capsules
da7T.,VEXARIN XL 75mg m/r capsules
da7U.,VEXARIN XL 150mg m/r capsules
da7V.,VENLALIC XL 75mg m/r tablets
da7W.,VENLALIC XL 150mg m/r tablets
da7X.,VENLALIC XL 225mg m/r tablets
da7Y.,VENLAFAXINE 225mg m/r tablets
da7Z.,VENAXX XL 75mg m/r capsules
da7a.,VENAXX XL 150mg m/r capsules
da7b.,VAXALIN XL 75mg m/r capsules
da7c.,VAXALIN XL 150mg m/r capsules
da7d.,ALVENTA XL 75mg m/r capsules
da7e.,ALVENTA XL 150mg m/r capsules
da7f.,RANFAXINE XL 150mg m/r capsules
da7g.,RANFAXINE XL 75mg m/r capsules
da7h.,BONILUX XL 75mg m/r capsules
da7i.,BONILUX XL 150mg m/r capsules
da7j.,TONPULAR XL 75mg m/r capsules
da7k.,TONPULAR XL 150mg m/r capsules
da7l.,FORAVEN XL 75mg m/r capsules
da7m.,FORAVEN XL 150mg m/r capsules
da7n.,DEPEFEX XL 75mg m/r capsules
da7o.,DEPEFEX XL 150mg m/r capsules
da7p.,VENLALIC XL 37.5mg m/r tablets
da7q.,VENLAFAXINE 37.5mg m/r tablets
da7r.,SUNVENIZ XL 75mg m/r tablets
da7s.,SUNVENIZ XL 150mg m/r tablets
da7t.,VENLADEX XL 75mg m/r tablets
da7u.,VENLADEX XL 150mg m/r tablets
da7v.,EFEXOR XL 225mg m/r capsules
da7w.,VENLAFAXINE 225mg m/r capsules
daA..,REBOXETINE
daA1.,REBOXETINE 4mg tablets
daA2.,EDRONAX 4mg tablets
daB..,MIRTAZAPINE
daB1.,MIRTAZAPINE 30mg tablets
daB2.,*ZISPIN 30mg tablets
daB3.,MIRTAZAPINE 30mg oro-dispersible tablets
daB4.,ZISPIN SOLTAB 30mg oro-dispersible tablets
daB5.,MIRTAZAPINE 15mg oro-dispersible tablets
daB6.,ZISPIN SOLTAB 15mg oro-dispersible tablets
daB7.,MIRTAZAPINE 45mg oro-dispersible tablets
daB8.,ZISPIN SOLTAB 45mg oro-dispersible tablets
daBy.,MIRTAZAPINE 45mg tablets
daBz.,MIRTAZAPINE 15mg tablets
daD..,AGOMELATINE
daD1.,VALDOXAN 25mg tablets
daD2.,AGOMELATINE 25mg tablets
daE..,VORTIOXETINE
daE1.,BRINTELLIX 5mg tablets
daE2.,VORTIOXETINE 5mg tablets
daE3.,BRINTELLIX 10mg tablets
daE4.,VORTIOXETINE 10mg tablets
daE5.,BRINTELLIX 20mg tablets
daE6.,VORTIOXETINE 20mg tablets
gde..,DULOXETINE
gde1.,YENTREVE 20mg gastro-resistant capsules
gde2.,YENTREVE 40mg gastro-resistant capsules
gde3.,CYMBALTA 30mg gastro-resistant capsules
gde4.,CYMBALTA 60mg gastro-resistant capsules
gdew.,DULOXETINE 60mg gastro-resistant capsules
gdex.,DULOXETINE 30mg gastro-resistant capsules
gdey.,DULOXETINE 20mg gastro-resistant capsules
gdez.,DULOXETINE 40mg gastro-resistant capsules
