READ_CODE,DESCRIPTION
bd11.,PROPRANOLOL 10mg tablets
bd12.,PROPRANOLOL 40mg tablets
bd15.,*ANGILOL 10mg tablets
bd16.,*ANGILOL 40mg tablets
bd19.,*APSOLOL 10mg tablets
bd1A.,*PROPANIX 10mg tablets
bd1B.,*PROPANIX 40mg tablets
bd1a.,*APSOLOL 40mg tablets
bd1d.,*BEDRANOL 10mg tablets
bd1e.,*BEDRANOL 40mg tablets
bd1h.,*BERKOLOL 10mg tablets
bd1i.,*BERKOLOL 40mg tablets
bd1m.,*INDERAL 10mg tablets
bd1n.,*INDERAL 40mg tablets
bd1t.,*CARDINOL 10mg tablets
bd1u.,*CARDINOL 40mg tablets
