DRUG_CODE,DESCRIPTION
e75..,DOXYCYCLINE
e751.,*DOXATET 100mg tablets
e752.,DOXYLAR 100mg capsules
e753.,*NORDOX 100mg capsules
e754.,*VIBRAMYCIN 50mg capsules
e755.,*VIBRAMYCIN 100mg capsules
e756.,*VIBRAMYCIN 50mg/5mL syrup
e757.,VIBRAMYCIN-D 100mg dispersible tablets
e758.,DOXYCYCLINE 100mg capsules
e759.,*DEMIX-100 100mg capsules
e75A.,*RAMYSIS 100mg capsules
e75B.,*DEMIX-50 50mg capsules
e75C.,*CYCLODOX 100mg capsules
e75D.,VIBRAMYCIN ACNE PACK 50mg capsules
e75E.,DOXYLAR 50mg capsules
e75F.,*PERIOSTAT 20mg capsules
e75G.,PERIOSTAT 20mg tablets
e75H.,EFRACEA 40mg m/r capsules
e75s.,DOXYCYCLINE 40mg m/r capsules
e75t.,DOXYCYCLINE 20mg tablets
e75u.,*DOXYCYCLINE 20mg capsules
e75v.,*DOXYCYCLINE 100mg tablets
e75w.,*DOXYCYCLINE 100mg capsules
e75x.,DOXYCYCLINE 50mg capsules
e75y.,*DOXYCYCLINE 50mg/5mL syrup
e75z.,DOXYCYCLINE 100mg dispersible tablets
e911.,ERYTHROMYCIN 250mg e/c tablets
e912.,ERYTHROMYCIN 500mg tablets
e913.,ERYTHROMYCIN STEARATE 250mg tablets
e914.,ERYTHROMYCIN STEARATE 500mg tablets
e915.,ARPIMYCIN 125mg/5mL sugar free suspension
e916.,ARPIMYCIN 250mg/5mL sugar free suspension
e917.,ARPIMYCIN 500mg/5mL sugar free suspension
e918.,*ERYCEN 250mg tablets
e919.,*ERYCEN 500mg tablets
e91A.,ERYTHROPED FORTE granules 500mg/sachet
e91B.,ERYTHROPED P.I. granules 125mg/sachet
e91C.,ERYTHROPED P.I. 125mg/5mL sugar free suspension 140mL
e91D.,ERYTHROPED 250mg/5mL sugar free suspension 140mL
e91E.,ERYTHROMYCIN 125mg/5mL sugar free suspension
e91F.,ERYTHROMYCIN 250mg/5mL sugar free suspension
e91G.,*ROMMIX-125 suspension
e91H.,*ROMMIX-250 tablets
e91I.,KERYMAX 250mg e/c granules in capsules
e91J.,*ROMMIX-500 tablets
e91L.,*ERYTHROMYCIN 250mg capsules
e91M.,ERYTHROMYCIN 125mg/sachet granules
e91N.,ERYTHROMYCIN 250mg/sachet granules
e91P.,ERYTHROMYCIN 500mg/sachet granules
e91Q.,ERYTHROMYCIN 1g/sachet granules
e91R.,ERYTHROMYCIN 500mg/5mL sugar free suspension
e91S.,TILORYTH 250mg e/c granules in capsules
e91T.,ERYMIN 250mg/5mL sugar free suspension
e91U.,ARPIMYCIN 125mg/5mL suspension
e91V.,ARPIMYCIN 250mg/5mL suspension
e91W.,ARPIMYCIN 500mg/5mL suspension
e91X.,ERYTHROMYCIN 250mg e/c granules in capsules
e91Y.,ERYTHROPED FORTE SF 500mg/5mL sugar free suspension
e91Z.,PRIMACINE 125mg/5mL suspension 100mL
e91a.,ERYMAX 250mg e/c granules in capsules
e91b.,ERYTHROCIN 250mg tablets
e91c.,ERYTHROCIN 500mg tablets
e91e.,*ERYTHROLAR 250mg tablets
e91f.,*ERYTHROLAR 500mg tablets
e91g.,ERYTHROLAR 250mg/5mL suspension
e91h.,*ERYTHROMID 250mg tablets
e91i.,*ERYTHROMID DS 500mg tablets
e91j.,ERYTHROPED P.I. 125mg/5mL suspension
e91k.,ERYTHROPED 250mg/5mL suspension 140mL
e91l.,ERYTHROPED 250mg/sachet sugar free granules
e91m.,ERYTHROPED FORTE 500mg/5mL suspension
e91n.,ERYTHROPED A 500mg tablets
e91o.,*ILOSONE 250mg capsules
e91p.,*ILOSONE 500mg tablets
e91q.,*ILOSONE 125mg/5mL suspension
e91r.,ILOSONE FORTE 250mg/5mL suspension
e91s.,*ILOTYCIN 250mg tablets
e91t.,RETCIN 250mg tablets
e91u.,ERYTHROMYCIN 125mg/5mL suspension
e91v.,ERYTHROMYCIN 250mg/5mL suspension
e91w.,ERYTHROMYCIN 500mg/5mL suspension
e91x.,ERYTHROPED A 1g/sachet granules
e91y.,ERYMAX SPRINKLE 125mg capsules
e91z.,ERYTHROPED 250mg/sachet granules
e71..,TETRACYCLINE [SYSTEMIC]
e711.,TETRACYCLINE 250mg capsules
e712.,TETRACYCLINE 250mg tablets
e713.,TETRACYCLINE 125mg/5mL mixture
e714.,*ACHROMYCIN 250mg capsules
e715.,*ACHROMYCIN 250mg tablets
e716.,*ACHROMYCIN 25g powder
e71a.,*ACHROMYCIN V 250mg capsules
e71b.,*ACHROMYCIN V 125mg/5mL syrup
e71c.,*DETECLO 300mg tablets
e71d.,ECONOMYCIN 250mg capsules
e71e.,ECONOMYCIN 250mg tablets
e71f.,*SUSTAMYCIN 250mg m/r capsules
e71g.,*TETRABID 250mg m/r capsules
e71h.,*TETRACHEL 250mg capsules
e71i.,*TETRACHEL 250mg tablets
e71j.,*TETREX 250mg capsules
e71k.,*TETRACYCLINE 25g powder
e71o.,*ACHROMYCIN 125mg/5mL syrup
e71p.,TETRACYCLINE 250mg m/r capsules
e71z.,COMPOUND TETRACYCLINE 300mg tablets
e78..,OXYTETRACYCLINE
e781.,OXYTETRACYCLINE 250mg capsules
e782.,OXYTETRACYCLINE 250mg tablets
e783.,OXYTETRACYCLINE 125mg/5mL mixture
e784.,*BERKMYCEN 250mg tablets
e785.,*CHEMOCYCLINE 250mg tablets
e786.,*CHEMOCYCLINE 125mg/5mL syrup
e787.,*GALENOMYCIN 250mg tablets
e788.,*IMPERACIN 250mg tablets
e789.,OXYMYCIN 250mg tablets
e78a.,*TERRAMYCIN 250mg capsules
e78b.,*TERRAMYCIN 250mg tablets
e78c.,*UNIMYCIN 250mg capsules
e78d.,*OXYTETRAMIX 250mg tablets
e78w.,*UNIMYCIN 250mg capsules
e78y.,OXYTETRACYCLINE 125mg/5mL syrup
